"longitude","latitude"
142.066,-11.764
142.0662052133,-11.7639693456
142.0664,-11.7639
142.06645,-11.763833
142.1676,-12.0653
142.175,-12.075
142.1758725565,-12.0736288729
142.17777778,-12.36388889
142.7645362628,-12.4128643547
142.8175912851,-12.4059198726
142.0925409798,-12.6902923894
142.0925409798,-12.6902923894
142.1092074984,-12.7069589453
142.1092075502,-12.7402921072
142.11018934,-12.67082347
142.309205485,-12.7569583881
142.68,-12.67
142.6842,-12.6653
142.684416927,-12.665216963
142.692534983,-12.6736249278
141.85,-13.1833
141.858,-13.1917
141.8592108855,-13.1902902487
142,-13
142,-13
142,-13
142.475,-13.0083
142.4758707965,-13.0069565095
142.7833,-13.1667
142.7925347143,-13.1736221513
143.365,-14.4
143.3141361111,-15.1182194439
