"longitude","latitude"
132.9,-11.4
133.367853892,-11.631916096
131.18453668,-12.3985936
132.85,-12.0667
134.251179815,-12.031916553
134.884506255,-12.098578074
135.0667,-12.3167
135.5667,-12.0333
136.77945831,-12.18046788
130.9167,-12.5167
131.051204781,-12.481923148
131.0667,-12.6667
131.634530279,-12.715259275
132.325370669,-12.538027078
132.3333,-12.7333
132.3333,-12.6167
132.3333,-12.6167
132.334523352,-12.615259625
132.396471199,-12.681090403
132.396471199,-12.681090403
132.4167,-12.6
132.417866686,-12.581919323
132.7333,-12.6833
132.7333,-12.6833
132.8676750751,-12.8487114335
132.87,-12.85
133.25,-12.6667
133.251185612,-12.665252122
133.351192126,-12.498587327
130.6667,-13.1
130.777324614,-13.151928467
131.0167,-13.2
131.017878145,-13.081926975
131.017880031,-13.131922568
131.0333,-13.2
131.05,-13.18
131.084542952,-13.331924414
131.1167,-13.2333
131.117884805,-13.231925869
131.134543458,-13.315260326
132.634530486,-13.298583886
132.7833,-13.3167
132.784523256,-13.315252291
136.376719936,-13.16050737
130.684548313,-13.68192379
130.751218378,-13.748598425
132.351198839,-13.615255143
132.451205652,-13.515252495
136.7272,-13.8848
126.41611111,-14.08722222
126.75,-14.1167
126.75,-14.1167
129.51789709,-14.23192587
132.0167,-14.1833
132.034536563,-14.1819208
132.05,-14.25
132.05,-14.2333
132.055094207,-14.184134288
132.067876992,-14.265256671
132.067881685,-14.131918585
132.2345353,-14.18191156
132.5257,-14.2595
132.834528541,-14.265256711
132.851204096,-14.298579203
133.1833,-14.1833
136.7,-14.2
144.25,-14.1833
144.2591868916,-14.1902810624
125.701255225,-14.831952886
125.76666667,-14.86666667
125.86388889,-14.86388889
133.0833,-14.5833
128.4167,-15.2
128.8,-15.3333
128.8,-15.3
131.217887959,-15.465262361
135.334512513,-15.331894834
145.0925130254,-15.2569407162
145.2091787287,-15.4236063175
126.34611111,-15.57916667
128.13814097,-15.88979048
136.6167,-15.7333
144.5,-15.6667
144.5,-15.6667
144.525,-15.6416666662
145.2583333333,-15.4916666662
123.78,-16.15
136.301182263,-16.0485593
125.43,-16.75
125.807,-16.925
130.098055556,-16.658888888
137,-16.5
145.2667,-16.9167
145.4175133959,-16.9152656369
145.7508428333,-16.9152647908
145.2811276144,-17.3738754081
145.2841,-17.2153
145.3167,-17.0667
145.3333,-17.3833
145.3333,-17.3833
145.35,-17.05
145.3667,-17.0833
145.367741752,-17.048505976
145.4175138589,-17.0819315923
145.4175138589,-17.0819315923
145.5,-17.0833
145.5091794764,-17.0902646559
145.5091794764,-17.0902646559
124.834608416,-17.498629085
145.28737455,-17.81919972
145.2875,-17.8192
