"longitude","latitude"
130.751203732,-11.381926402
132.140694951,-11.126400539
130.3564,-11.7081
130.467882721,-11.648600921
130.47,-11.65
130.56485,-11.74481
130.584534345,-11.748601137
130.7,-11.6
130.701205529,-11.598600299
130.71243,-11.60408
130.7167,-11.6
130.7167,-11.6
130.717874787,-11.598601108
130.72,-11.6
130.8,-11.7667
130.801204482,-11.765268395
130.817874408,-11.748602601
130.851208258,-11.715268933
130.88,-11.75
130.884536676,-11.748595092
130.88454008,-11.76527197
130.888705849,-11.769438472
130.91790826,-11.74859878
130.92,-11.75
130.9467,-11.7467
131.27574,-11.54836
132.934514702,-11.548587967
132.8667,-12.3167
132.8667,-12.3167
132.867863178,-12.315261752
132.87,-12.32
133.34403,-12.47011
135.76961,-12.04793
136.11511,-12.18206
136.144026982,-12.040016293
136.144026982,-12.040016293
136.67,-12.47
136.684483525,-12.348573545
136.75,-12.3
136.751150642,-12.298572892
136.817827174,-12.381901502
136.861988043,-12.411348785
132.88,-12.83
132.883979616,-12.826013787
132.884492327,-12.831883039
132.9333,-12.8
132.966666666667,-12.9166666666667
132.967860597,-12.915252947
132.988027778,-12.843916666
133.05,-12.62
133.05,-12.62
133.05,-12.6167
133.05,-12.6167
133.051191255,-12.615282221
133.0833,-12.8333
133.08333333,-12.83333333
133.084518376,-12.83191704
133.25,-12.6667
133.25,-12.6667
133.25,-12.6667
133.251185612,-12.665252122
133.43452002,-12.59858648
133.447874991,-12.642824187
135.4,-12.7
135.4,-12.7
135.401169565,-12.698576847
136.65,-12.5167
132.37,-13.44
132.488599808,-13.408986834
132.6417,-13.2917
132.7333,-13.425
132.73449766,-13.4235866
132.734529651,-13.415255689
132.852292844,-13.443857189
132.901193219,-13.448580402
133.851,-13.4453
135.75,-13.18
135.751170527,-13.181897904
132.3395,-13.9083
132.41421,-13.81771
132.4152,-13.8165
132.6,-13.7333
132.6,-13.7333
132.601202826,-13.731887858
132.6167,-13.7333
132.617678,-13.732044
132.617866198,-13.731913777
132.62,-13.73
135.517845187,-13.531906011
136.5809,-13.8804
132.2172222222,-14.4294444444
132.267878582,-14.465258864
136.58657,-14.08264
132.4137,-14.8161
146.13,-18.47
146.13,-18.47
149.4,-36.1667
