"longitude","latitude"
130.5583,-11.275
130.559538393,-11.273604371
130.65,-11.33
130.667878025,-11.331930384
131.201760809,-11.288315416
132.143692325,-11.362497153
132.144494113,-11.154196277
132.149521644,-11.369157002
132.15,-11.17
132.15119692,-11.13192943
132.172035676,-11.325263677
132.192,-11.145
132.1994,-11.2303
132.20008094,-11.17109909
132.200632158,-11.228875178
132.234343,-11.265382
132.251196136,-11.248597935
132.269252099,-11.192200949
132.3167,-11.15
132.32,-11.16
132.32,-11.12
132.334342,-11.158994
132.334520021,-11.165297873
132.3667,-11.25
132.3678583,-11.2485967
132.4164687,-11.24136122
132.53262,-11.04629
132.58,-11.35
132.586456358,-11.340534572
132.58949292,-11.34859266
132.819523938,-11.432201092
132.82,-11.02
132.824722222,-11.02
132.85,-11.4
132.867856987,-11.148594081
132.9,-11.4
132.902284382,-11.422791467
130.317876127,-11.648603666
130.8667,-11.8833
130.8667,-11.8833
130.8667,-11.8833
130.867876185,-11.848594907
130.86788128,-11.8485943
131.284531816,-11.731928864
132.65118632,-11.51526501
132.6667,-11.5333
132.6667,-11.5167
132.667674,-11.515381
133.3217,-11.7739
133.322851892,-11.772481611
131.0845339,-12.1652685
132.168701325,-12.224918137
134.301176195,-11.998579196
136.224756042,-11.992468399
136.708378324,-12.195793504
136.7844797,-12.18190616
136.859458564,-12.426366321
136.88925748,-12.24966707
136.907264593,-12.389404948
130.734538689,-12.498599971
130.784542684,-12.965266199
136.79281232,-12.515239
136.8000447,-12.5074624
136.059494848,-13.226068915
126,-14
126.23,-14.15
126.334584494,-14.065283688
126.41666667,-14.06666667
125.45472222,-14.49472222
128.6833,-15.6833
138.201158001,-16.681877172
139.484471968,-16.531866456
139.4925759223,-16.5402827323
