"longitude","latitude"
130.5333,-11.4667
131.1633,-11.2956
131.48354,-11.40023
132.151190138,-11.148596052
132.15119692,-11.13192943
132.190084687,-11.166940216
132.95,-11.3833
132.95,-11.38
132.9667,-11.3833
131.2167,-11.7667
131.217871432,-11.765268226
131.284531816,-11.731928864
133.101183297,-11.648586134
133.151185322,-11.698591036
131.0294,-12.1692
131.0294,-12.1692
131.0333,-12.15
131.0457,-12.1507
131.317874215,-12.165261415
132.238134034,-12.171423334
132.261894298,-12.182500575
134.251182308,-11.990279406
134.867842734,-12.048579589
135.097278096,-12.247472138
135.584497166,-12.048577039
136.701159312,-12.226367984
136.7167,-12.1833
136.730358784,-12.173568125
136.75,-12.1667
136.751154742,-12.165243279
136.784458264,-12.181867856
136.8667,-12.2667
136.8667,-12.2333
136.8667,-12.2333
136.867823517,-12.248575816
136.867825743,-12.231899295
136.884480838,-12.381899301
136.884485148,-12.248570385
136.885877966,-12.409963435
136.88925748,-12.24966707
136.915041632,-12.342458691
143.08,-12.25
143.08,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0839,-12.2497
143.0847520864,-12.2483489414
143.0925297927,-12.2569599938
143.2333,-12
143.2425278561,-12.0069612304
131.0167,-12.85
131.01787711,-12.84859386
132.5,-12.75
132.501196571,-12.748585064
132.534526401,-12.881913948
132.5417,-12.8833
132.5417,-12.8833
132.5417,-12.8833
132.5417,-12.8833
132.5417,-12.8833
132.542677,-12.882045
141.829166667,-12.6469444436
141.8997484439,-12.5881161157
143.4475,-12.6194444436
130.134549337,-13.174395487
130.501212426,-13.048594113
130.6667,-13.2
130.667882204,-13.198599136
131.851205254,-13.165258797
136.084496351,-13.460242203
136.201162537,-13.198573342
136.3833,-13.2167
136.384491003,-13.215239765
132.51985745,-13.50586833
135.7856,-13.5883
135.790573867,-13.584402121
135.867844301,-13.698571409
136.71783238,-13.91523757
126.4222,-14.0833
126.42232895,-14.08333333
126.6,-14.3
126.7,-14.1
136.5,-14
125.25,-14.6167
125.25,-14.6167
125.25,-14.6167
125.25,-14.6167
125.251256473,-14.615290575
125.755,-14.585
125.755,-14.585
125.7667,-14.6
125.8,-14.6
125.80138889,-14.61138889
125.83333333,-14.56666667
125.85,-14.55
125.85,-14.55
125.85,-14.55
125.85,-14.55
125.851259416,-14.548616489
125.9836,-14.7744
124.95,-15.37
124.95,-15.3667
124.95,-15.05
124.9943,-15.3599
124.9968,-15.3577
125.05305556,-15.42638889
125.0531,-15.4264
125.0531,-15.4264
125.167,-15.075
125.187,-15.075
125.3,-15.1
125.33333333,-15.03333333
125.35,-15.03
125.38333333,-15.41666667
126.66666667,-15.03333333
126.6667,-15.0333
145.379444444,-15.0938888885
124.83,-16.45
124.8333,-16.45
124.8333,-16.45
124.8333,-16.45
124.8333,-16.45
124.93333333,-16.08472222
124.97,-16.35
124.9833,-16.3833
124.98333333,-16.38333333
124.98333333,-16.26666667
145.9667,-16.75
145.975033333,-16.75955
145.9833,-16.75
148.45,-20.1
148.4591531407,-20.1069106415
148.4924859952,-20.0902439364
148.5085968964,-20.0899661045
148.5091524458,-20.0902438794
148.5424852935,-20.0735771683
148.6591505279,-20.0902433972
148.7091505516,-20.273575879
148.7091505516,-20.273575879
148.813888889,-20.2558333324
148.8258155368,-20.2235756883
148.8424821708,-20.2735754456
148.879265432,-20.0578224071
148.8924822618,-20.4735745368
148.9496033015,-20.2566776344
148.71755,-20.681982
148.7258185572,-20.6902409744
148.8258165169,-20.4902413622
148.8333,-20.8333
148.8333,-20.8333
148.8333,-20.8333
148.8424842922,-20.8402400506
148.8924823237,-20.4902411421
148.9758159,-20.8402395986
148.9924826068,-20.9069059729
