"longitude","latitude"
130.51787604,-11.29860126
130.651204819,-11.398605456
130.667877677,-11.41529881
132.217866048,-11.248595031
132.2681,-11.2269
132.269252183,-11.192191916
132.9,-11.4
132.9,-11.4
133.401181912,-11.515256763
132.184525821,-12.215261653
134.2805,-11.9839
134.2806,-11.9839
134.301176195,-11.998579196
134.867842734,-12.048579589
134.9209,-12.0242
136.6333,-12.7
136.6333,-12.7
136.634488907,-12.698566609
130.117889434,-13.148602334
129.884549006,-13.498602736
129.899518966,-13.481931539
130.03333333,-13.51666667
130.037925692,-13.519396784
131.017885585,-14.315263989
134.717850497,-14.231901376
135.7167,-14.2833
135.71784862,-14.28189999
136.501167782,-14.231898264
136.70596,-14.17625
125.09797,-14.58603
130.684550821,-14.898593359
132.15,-14.95
132.15121437,-14.94858254
133.2,-14.95
133.2,-14.95
133.201205028,-14.948582113
128.6842,-15.2792
130.017896611,-15.248599822
130.384554327,-15.231921622
124.7375,-15.8069
130.034563021,-15.7485986
136.4,-15.6167
136.400873695,-15.629029412
136.6,-15.7333
136.6167,-15.7333
136.617838741,-15.731884072
136.641384331,-15.681098638
136.6675,-15.5964
137.751166539,-16.265220979
137.834496478,-16.381881556
137.917835631,-16.465217943
122.73333333,-16.78333333
122.77666667,-16.58305556
135.43452463,-16.81523388
135.751186101,-16.748561858
135.8,-16.85
135.8,-16.8
135.801186723,-16.84856128
138.2575,-16.7255555556
138.7567,-16.8408
138.7567,-16.8408
138.7575839635,-16.8394507121
122.1833,-17.2333
122.18333333,-17.23333333
122.18333333,-17.23333333
124.591667,-17.019444
124.5917,-17.0194
124.94833333,-17.40833333
125.03,-17.42
128.056483,-17.085543
139.1925810846,-17.2569484439
122.13333333,-17.48333333
122.2,-17.9667
122.21666667,-17.96666667
122.2232405,-17.9263908
122.23,-17.97
122.23,-17.96
122.2333,-17.9667
122.23333333,-17.96666667
122.23333333,-17.93277778
125.1,-17.6
125.134610736,-17.598624879
128.43590293,-17.71800925
122.2333,-17.9833
122.23333333,-17.98333333
125.58833333,-18.18166667
125.58833333,-18.18166667
125.71666667,-18.08166667
125.78023,-18.178455
125.784609906,-18.148621723
125.784609906,-18.148621723
139.3925922771,-20.6569421601
117.66666667,-23.16666667
