"longitude","latitude"
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4758679757,-10.7903025974
142.4758679757,-10.7903025974
142.4667,-11.4167
142.47,-11.42
142.4752761603,-11.4269146743
142.7,-11.6833
142.7014157726,-11.6959822198
142.7014157726,-11.6959822198
142.728611111,-11.648055556
142.7295356183,-11.6467572384
142.75,-11.6667
142.28674,-12.25846
143.0667,-12.2333
143.0806,-12.24
143.0814187756,-12.2386267784
143.0833,-12.25
143.0833,-12.25
143.084379043,-12.115249183
143.0903268593,-12.1222552063
143.25,-13.8333
143.2591972118,-13.8402846423
143.4258619783,-13.7902846007
143.45,-13.8333
145.5841781186,-16.915265213
145.6472450454,-17.9455893098
