"longitude","latitude"
142.2167,-10.5833
142.225,-10.5749999997
142.2333,-10.5833
142.25,-10.5833
142.4,-10.8833
130.617873106,-11.415271519
130.6564,-11.4714
130.667877518,-11.415271691
132.134528457,-11.365262608
132.144494113,-11.154196277
132.15,-11.37
132.15,-11.17
132.15,-11.17
132.15,-11.1333
132.151190138,-11.148596052
132.151190138,-11.148596052
132.567858375,-11.148597416
132.819523938,-11.432201092
132.851191112,-11.398588686
132.9167,-11.4167
132.934490151,-11.36526586
132.95,-11.4
132.951187556,-11.415265039
132.951188064,-11.398589342
132.951188064,-11.398589342
132.983686952,-11.056396551
142.9258636796,-11.2402994453
142.9258636796,-11.2402994453
130.548,-11.821
130.634534664,-11.748599457
130.634541298,-11.765269346
133.351182121,-11.631920623
133.360900136,-11.660524752
133.417851553,-11.631914704
133.417851553,-11.631914704
142.85,-11.63
142.85,-11.63
142.8591981637,-11.6402971481
132.4167,-12.1167
132.417868675,-12.115259559
132.417895957,-12.115286918
134.234505131,-12.048581956
134.26785057,-11.98190981
134.26785057,-11.98190981
134.917845594,-12.098580893
134.99597,-12.30215
135.097278096,-12.247472138
135.5667,-12.0333
135.567833075,-12.031909275
136.09556,-12.02797
136.701156671,-12.231905872
136.7667,-12.2
136.7667,-12.2
136.7844797,-12.18190616
136.8,-12.22
136.884485148,-12.248570385
136.887262894,-12.413289028
136.951155574,-12.3652411
141.8989,-12.0294
130.944013671,-12.512191994
141.865277778,-12.6366666666
130.0333,-13.1667
130.051220123,-13.181929243
136.080896063,-13.456632312
141.6167,-13.0833
141.6181020921,-13.0900133535
129.51789709,-14.23192587
129.609531943,-14.04299492
125.83333333,-14.56666667
125.87,-14.65
141.5833,-14.8
141.6154946195,-14.902533064
141.6167,-14.8833
141.61777778,-14.89805556
144.9091803019,-14.556944622
144.9258466795,-14.5069448502
124.57166667,-15.41472222
124.58333333,-15.41666667
145.23,-15.12
145.2341,-15.1153
145.2341,-15.1153
145.2425110133,-15.1236077365
145.2591782677,-15.473605966
145.2925104389,-15.1236076341
145.342509578,-14.9902748772
145.379444444,-15.0938888885
145.421944444,-15.1149999995
145.4425084973,-15.023607839
136.334505557,-15.61523452
136.55,-15.5833
136.667842695,-15.815228573
136.66784415,-15.76522549
136.717514577,-15.611994402
136.751171566,-15.64855447
136.7667,-15.6833
136.861793212,-15.532923104
145.28,-15.5
145.2833,-15.5
145.342510948,-15.6069384699
145.3561111111,-15.9063888884
145.4758430519,-15.740270865
124.1,-16.1
137.751166539,-16.265220979
145.3833,-16.4
145.3925123311,-16.4069346076
145.4091788474,-16.4236011589
145.4167,-16.45
122.78333333,-16.56666667
122.8333,-16.5667
122.83333333,-16.56666667
122.96666667,-16.58333333
122.98333333,-16.53333333
138.7564,-16.8367
138.7564,-16.8367
138.7573061764,-16.8352840596
139.35,-16.6
139.35,-16.6
139.4,-16.55
145.5333,-16.6
145.5333,-16.6
145.5333,-16.6
145.6667,-16.75
145.7222,-16.8131
145.75,-16.8333
145.75,-16.8333
145.7508428333,-16.9152647908
145.7591759554,-16.8735982868
145.9667,-16.75
122.23,-17.96
122.23,-17.96
122.23333333,-17.96666667
122.33333333,-17.96666667
139.75,-17.6
139.7509099852,-17.581945986
140.8258988608,-17.5069429245
145.8,-17.9167
146.0091769084,-18.2069253965
146.2283333333,-18.1958333327
146.3333,-18.5833
146.6258393433,-19.1735865667
146.6333,-19.0333
146.7508380805,-19.2485859042
146.7758374038,-19.1402528922
146.7758374038,-19.1402528922
146.8258367371,-19.1235861335
118.59472222,-20.31166667
118.6,-20.3
118.6,-20.3
119.35,-19.9833
148.2333,-20.05
148.2333,-20
148.2424890521,-20.0569115305
148.25,-20.0167
148.2591552669,-19.990245058
148.2591552669,-19.990245058
148.5841520624,-20.2485763789
148.68,-20.28
148.7167,-20.2667
116.6,-20.6
116.61138889,-20.59472222
116.70305556,-20.66666667
116.70305556,-20.66666667
116.7167,-20.65
117.15013485,-20.61623343
117.72138889,-20.63666667
117.15,-21.4333
117.15,-21.43
149.1833,-21.05
149.2258135495,-21.0735712569
149.2258138751,-21.1569042993
149.2508132556,-21.0819044752
149.3091465782,-21.2735702742
115.11116511,-21.63202485
115.11138889,-21.63805556
115.11138889,-21.63805556
115.113051,-21.638519
150.4319444444,-22.2524999993
150.8024361,-22.6575569693
119.73,-23.35
150.7508015719,-23.0818925145
150.7591349031,-23.1068924077
150.7758015661,-23.1568921947
150.7833,-23.2
150.8424677704,-23.2568916419
150.8924661881,-23.0568920497
150.9174667036,-23.248558044
115.13510868,-23.61990822
117.27638889,-23.57222222
151.250798511,-23.9152214969
151.3686,-23.9439
151.3932962959,-23.8657766229
151.84555556,-24.17333333
151.9091238514,-24.173551484
152.4591191781,-24.8235474892
152.5516191351,-25.0818797713
153.2591097595,-25.2568763835
113.53138889,-25.92166667
113.534192,-25.927175
152.9757832027,-25.773542962
153.0841230724,-27.2485395239
153.1924537013,-27.0568726912
153.2,-27.05
153.3591184676,-27.1568717501
151.25,-27.97
153.4091198472,-27.5235375598
153.4333,-28.0333
153.49,-28.14
153.2,-29.47
153.37,-29.47
153.2,-30.06667
153.2,-30.02
