"longitude","latitude"
142.1592045125,-10.6903034844
142.2072,-10.5586
142.25,-10.75
142.25,-10.5972
132.917859117,-12.465256069
132.9667,-12.45
132.967863082,-12.448591764
136.55471,-12.18153
136.717824181,-12.198573179
136.77,-12.17
132.910856795,-12.805442934
132.913689708,-12.800259891
141.829166667,-12.6469444436
141.890555556,-12.5652777776
143.02,-12.68
143.0258644586,-12.6902910214
143.0258648173,-12.923623099
143.0497,-12.7772
143.05,-12.8
143.2258622633,-12.656957583
143.2637241299,-12.4764860649
143.3333,-12.6333
143.4258600569,-12.6236241509
133.1,-13.1667
141.7333,-13
141.7592122416,-13.3736228665
141.7592122416,-13.3736228665
142.9758662682,-13.473620315
143.2167,-13.9667
143.2167,-13.9667
143.2167,-13.9667
143.2258644901,-13.9736173721
143.2333,-13.9
143.77666667,-14.22222222
144.2425204106,-14.1902810929
144.2591868916,-14.1902810624
125.9,-14.88
134.901184283,-14.598567241
141.6425499054,-14.9069496506
144.0167,-14.7167
144.0258572268,-14.7236121738
134.222640944,-14.979751639
143.7591941972,-15.0402778835
144.45,-15.35
145.2508448976,-15.4152729362
145.27,-15.47
143.5676,-15.6819
143.5758644048,-15.6902753793
144.2925233418,-15.7902732958
144.45,-15.5667
144.509,-15.6505
144.5091868913,-15.5069407692
144.5167,-15.6333
144.8191842268,-15.8649939764
144.8333,-15.5333
144.85,-15.8667
145.2258457422,-15.6569384843
145.2333,-15.6833
145.2333,-15.6833
145.2333,-15.6833
145.2333,-15.6833
145.2333,-15.6833
145.2425122954,-15.6902716212
143.2167,-16.0167
144,-16.1833
144.7942375808,-16.2305070151
144.8792,-16.18
144.8792636351,-16.1799501375
144.8833,-16.4667
145.1931,-16.4442
145.4175120625,-16.4152678431
136.1833,-16.6
136.1833,-16.6
136.184511602,-16.598556509
136.2,-16.6
145.1167,-16.55
145.5167,-16.5833
145.5167,-16.5833
145.5667,-16.6667
145.5667,-16.6667
145.5667,-16.65
145.575,-16.6583333295
145.5925107024,-16.6735995899
145.6258438242,-16.7402658774
145.6333,-16.7167
145.6333,-16.7167
145.65,-16.7167
145.7667,-16.9167
144.7233,-17.3636
144.7242493387,-17.3622837376
144.7333,-17.35
144.7333,-17.35
144.7333,-17.35
145,-17.4333
145,-17.4333
145.05,-17.4167
145.05,-17.4167
137.16784815,-17.96521737
144.9833,-17.6167
142.4,-18.2333333333333
144.6049880028,-18.1685608233
138.4891866951,-18.616049861
146.66841993,-19.20481312
146.7417,-19.2792
146.75,-19.3333
146.75,-19.3167
146.7608382533,-19.3335855639
146.7667,-19.3333
146.816666666667,-19.2666666666667
146.8333,-19.35
146.8667,-19.1167
146.9175021427,-19.0819193419
146.95,-19.4417
146.2333,-19.8833
146.5008419979,-19.4985858027
146.883333333333,-19.4833333333333
146.9175038777,-19.5819175109
147.0167,-19.9
147.0591685389,-19.5069173295
147.2591674995,-19.9069152587
147.7591619998,-20.1069129223
148.233333333333,-20.0666666666667
148.257,-19.9842
148.4424865694,-20.07357749
148.4591527242,-19.9902444172
148.4591529035,-20.0402442283
148.4591530837,-20.0902440406
148.459153144,-20.1069106448
148.459153148,-20.1080217518
