"longitude","latitude"
142.0704316521,-11.758175679
142.0758732494,-11.8069637939
135.58,-12.05
136.098958033,-12.068579522
136.8378,-12.3517
136.8378,-12.3517
136.838,-12.352
136.83803,-12.35186
136.83803,-12.35186
142.176,-12.31106
131.82,-12.64
132.417866686,-12.581919323
132.90119675,-12.7485848
141.8167,-12.5667
141.82,-12.57
141.8258769011,-12.5736267152
141.8333,-12.6667
141.9175426321,-12.5819598718
142.0007101072,-12.6605163598
142.03400895,-12.68868027
142.7425344273,-12.8736237928
143.2091959255,-12.756957059
143.4175272534,-12.9152892213
131.117880452,-13.365265339
132.6833,-12.9833
141.7667,-13.0167
141.7676,-13.0153
141.7758781334,-13.0236245329
142.7926666667,-13.0918749996
132.4494,-14.3319
132.6286,-14.0103
135.370081221,-15.404261728
142.9833,-15.4167
142.9833,-15.4167
144,-15
144.939885153,-15.2725897388
144.0342,-15.5819
145.0588888889,-15.6230555551
145.2202901616,-15.6208275567
145.2333,-15.75
136.185,-16.488
145.2166667,-16.625
145.2508486648,-16.9152660624
145.2627185484,-16.6453825237
145.3667,-16.95
137.68,-17.15
137.68,-17.15
144.87,-17.37
144.8758543016,-17.3735985026
145.053,-17.1581
145.0536294018,-17.1566544556
145.3864842962,-17.1722779757
145.42,-17
137,-17.83
137.08,-17.58
138.1994444444,-17.765
141.6,-17.5833
144.6362305593,-17.9145538671
145.9897407762,-18.9671216291
146.05444444,-19.2047222194
148.4758194177,-20.0569107786
