"longitude","latitude"
132.09689,-11.38829
132.190630077,-11.355812191
132.201189952,-11.281926569
132.3667,-11.2333
132.401187071,-11.315297995
130.21397,-11.79077
130.217885304,-11.781928967
130.351208119,-11.731935592
130.45,-11.6667
130.592904707,-11.636897825
130.734532451,-11.648599814
130.734538331,-11.548602042
130.7364,-11.6164
130.834533269,-11.698599483
130.867874055,-11.715269117
132.934514702,-11.548587967
131,-12.4
131.001212343,-12.398597826
131.067878789,-12.431925989
131.072316715,-12.462764625
131.084537087,-12.415268445
131.085,-12.4594
131.117880761,-12.448592913
131.12,-12.43
131.1333,-12.4333
131.1333,-12.4333
131.1333,-12.4333
131.135185,-12.434826
131.138143802,-12.449156371
131.18453668,-12.3985936
131.217876325,-12.365266158
131.317879263,-12.448596512
132.3167,-12.4667
132.6667,-12.2917
132.6667,-12.2917
132.667867728,-12.281918525
132.851193872,-12.465257837
132.9,-12.47
132.917618,-12.4460628
132.917618,-12.4460628
132.918420079,-12.465260395
132.921188032,-12.465290761
133.15,-12.0667
133.3333,-12.3333
133.33451532,-12.33191287
134.814232068,-12.352470901
136.734483799,-12.315239165
130.6333,-12.5833
130.634538347,-12.581928953
130.849632,-12.730104
130.874632,-12.713993
130.901206959,-12.481928871
130.91,-12.55
130.982,-12.6928
130.984541085,-12.681927063
131.051207184,-12.548594322
131.051207184,-12.548594322
131.051207184,-12.548594322
131.051210571,-12.565268828
131.051210571,-12.565268828
131.067881577,-12.565267221
131.07232543,-12.61382989
131.08,-12.55
131.084542332,-12.615269111
131.0917,-12.55
131.107963,-12.513159
131.116944444,-12.583333333
131.117963,-12.582048
131.117963,-12.523993
131.126852,-12.525382
131.13453907,-12.79859051
131.15,-12.5667
131.15,-12.5667
131.1686,-12.5817
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.782,-12.657
132.219345,-12.783157
132.4167,-12.9667
132.4167,-12.6
132.417866441,-12.848590519
132.6333,-12.6167
132.867864859,-12.648583961
132.8833,-12.6667
132.8833,-12.6667
132.8833,-12.6667
132.88333333,-12.66666667
132.88452284,-12.66525502
132.9,-12.6
132.90119179,-12.59859183
132.930228017,-12.688108957
132.9667,-12.4833
132.9667,-12.4833
132.967860863,-12.481914185
132.967860863,-12.481914185
132.967888665,-12.481887281
132.97788924,-12.8618823
135.83449654,-12.61524078
130.77465,-13.03282
130.84381,-13.08104
130.45,-13.7833
130.70121174,-13.48192836
132.25,-13.5667
132.25,-13.5667
132.251201652,-13.581913252
132.33768,-13.479822
132.6536,-13.8462
126.36666667,-14.20833333
126.3667,-14.2083
126.3667,-14.2083
130.006779857,-14.067770538
130.5314,-14.3456
130.53162,-14.34568
132.467873719,-14.298582122
125.84055556,-14.80872222
126.2025,-14.9045
126.2025,-14.9045
126.50430969,-14.78691023
130.1019,-14.4828
130.103164812,-14.481375367
130.1278,-14.5181
130.129006689,-14.516653449
125.727556,-15.209944
126,-15
126.15,-15.13
125.35476741,-15.91761358
130.29858,-15.50425
125.36666667,-16.08333333
125.4875,-16.6556
