"longitude","latitude"
130.9292,-11.3986
130.929264456,-11.39415383
131.4722,-11.4192
132.31194,-11.17671
132.334520294,-11.121090941
132.634525221,-11.915260704
131.017874401,-12.365268965
131.0575,-12.4136
131.084537087,-12.415268445
131.351204596,-12.348595118
132.134526162,-12.315262134
134.115547443,-12.314034756
134.251179815,-12.031916553
134.402283564,-12.097190317
134.94545,-12.17479
136.767821382,-12.165245592
142.07,-12
142.0758735076,-12.0069626978
132.5,-12.67
132.50119238,-12.66525494
133.934516171,-12.49857912
130.101222007,-13.215270563
130.2,-12.98
130.201218261,-12.981929347
131.1,-13.22
135.901447114,-13.224414908
141.6181020943,-13.0900133524
141.7758787358,-13.3736228381
131.034542001,-13.73191853
131.084544084,-13.86526335
131.184545033,-13.7652632
133.92,-13.92
141.5008817977,-13.4986227262
141.6461111111,-13.8822222218
135.567841152,-14.231899449
135.57,-14.23
136.501169072,-14.048567702
131.629551623,-14.723036184
131.634540344,-14.731922145
131.834545903,-14.665261026
132.251209014,-14.498583892
132.251210564,-14.481919128
132.251210564,-14.481919128
133.134529796,-14.915251775
133.151199703,-14.931906923
133.167875741,-14.915250085
133.2502,-14.9637
135.061666667,-14.810555555
135.0628,-14.8092
144.03,-14.68
144.0425239718,-14.6902793028
131.53,-15.32
131.53454684,-15.3152549
133.25,-15.02
133.251203421,-15.015251565
135.60174,-15.2149
141.584495759,-15.2500039668
145.2208,-15.4667
145.25,-15.4667
128.6864,-15.6911
128.6876919,-15.6896758
130.417901642,-15.665260202
131.4978,-15.5014
135.434518399,-15.58189347
136.517848181,-15.898554762
136.567844575,-15.848554411
136.601178427,-15.898558795
141.5678299148,-15.5154752031
144.75,-15.92
144.75,-15.92
144.7591850571,-15.9236049562
144.85,-15.92
144.8591839172,-15.9236047262
145.2591783058,-15.4902725513
127.93161111,-16.35947222
129.532222222,-16.379722222
135.706744931,-16.302727438
136.334510205,-16.081886079
136.351177199,-16.048557163
136.367845481,-16.08189239
136.75117273,-16.16522563
137.0667,-16.4167
137.067842533,-16.415223652
137.15,-16.17
137.151166006,-16.165227311
137.751165108,-16.281883715
145.4,-16.33
122.66666667,-16.96666667
122.66814,-16.97375
131.334562773,-16.948581593
138.21444444,-16.72361111
141.4758890381,-16.490277514
145.4633451232,-16.5152672817
145.7,-16.8
145.7091763614,-16.8069320405
145.75,-16.97
145.7609034673,-16.8836716292
122.3,-17.15
122.3,-17.1
125.7,-17
126.9,-17.28
128.02383,-17.34025
128.38,-17.38
135.784524788,-17.148559804
144.5425241541,-17.1569335881
139.259249461,-17.9569466982
139.55,-17.75
139.551154756,-17.748532433
139.5592458114,-17.7569461772
139.7530555556,-17.7452777778
139.7531,-17.7453
141.0842297699,-17.5819419472
141.0925632618,-17.6569417161
141.0989521017,-17.6622194602
141.102146512,-17.6619416736
125.78,-18.15
125.917947411,-18.065292656
128.84612686,-18.41992848
133.8933,-18.3936
135.06882,-18.15497
145.9925102309,-18.1402590388
146.0425093255,-18.0402592926
138.4175938767,-18.7486147867
138.5103708625,-18.7747255351
135.634535595,-19.281884832
135.8833,-19.3167
136.083333333,-19.295277777
138.49940905,-19.43861523
138.717842765,-19.031862819
138.72,-19.02
138.7259253009,-19.0236132994
138.7259253665,-19.040279942
144.8091948564,-19.3402584644
146.7667,-19.2167
146.8,-19.2667
121.39409237,-19.76696068
121.4,-19.8
121.434645342,-19.798658596
138.4175972149,-19.5819470429
147.0875,-19.5042
144.4686471242,-20.3508123455
144.47,-20.35
147.2508349159,-20.0819146835
148.2508223703,-20.0819114078
148.4003,-20.2076
148.4424865694,-20.07357749
148.4591530235,-20.0735774363
148.5258188997,-20.0902438258
148.6359311,-20.46271044
148.6920822334,-20.4748495697
116.7883417,-20.6382412
116.78836419,-20.64279535
116.8225,-20.57
117.14472222,-20.77805556
120.11666667,-20.88333333
120.69111111,-20.88416667
137.701195152,-20.481871919
137.701195152,-20.481871919
139.5092579956,-20.7069416454
139.5292,-20.6417
148.6758185092,-20.5069084649
148.7258185572,-20.6902409744
148.7758187437,-20.9069067118
115.95120377,-21.18359754
117.08833333,-20.99166667
117.08833333,-20.99166667
117.1,-21
117.1,-21
117.62638889,-21.09472222
117.62638889,-21.09472222
119.5889877,-21.3778302
120.3608048,-21.3410002
136.851205423,-21.29854153
148.2125,-21.0675
149.1091480797,-20.9902386155
149.1916667,-21.1416667
149.1924809116,-21.1402378055
149.20914782,-21.2569040123
149.2508145727,-21.4152366628
