"longitude","latitude"
142.216666667,-10.58
142.2167,-10.5833
142.2167,-10.5833
142.22,-10.58
142.225,-10.5749999997
142.225716667,-10.5811
142.2258,-10.5811
142.2342,-10.5819
142.2425368935,-10.5903040176
142.2465,-10.595833333
142.24744444,-10.5933333297
142.2475,-10.5933
142.25,-10.5958
142.2592,-10.59
142.2636666667,-10.593583333
131.467871109,-12.348592882
131.517871669,-12.331926126
131.61787225,-12.43192628
132.817888302,-12.431888025
132.834521729,-12.431922221
132.85,-12.43
132.8833,-12.2167
132.884525327,-12.215255884
133.019253542,-12.244421889
135.934492767,-12.365244762
131.0569,-12.4906
131.05815075,-12.48914556
131.251206128,-12.66526148
131.251208348,-12.631925612
131.251208348,-12.631925612
131.284534737,-12.581923924
131.3,-12.6
131.3167,-12.65
131.317876198,-12.64859539
131.3333,-12.6333
131.351205142,-12.515265939
131.35121055,-12.66526366
131.434536784,-12.681925282
131.684499862,-12.615294799
131.8,-12.8667
131.801199923,-12.865258741
132.217870095,-12.531920952
132.384494315,-12.548592669
132.417866686,-12.581919323
132.498789974,-12.667229102
132.5167,-12.6583
132.5167,-12.6583
132.5167,-12.6583
132.517870137,-12.648587664
132.517900249,-12.65689126
132.8833,-12.5167
134.9667,-12.4833
134.967844868,-12.481911135
134.97,-12.48
142.92544444,-12.8216111096
142.925444444,-12.821611111
142.9256,-12.8217
142.9256,-12.8217
143.3483,-12.7867
130.3667,-13.1667
130.534547977,-13.165263338
130.9667,-13.4333
130.967882284,-13.431926769
132.451195894,-13.165261163
142.6944444444,-13.4519444444
142.9925320301,-13.0402892015
131.20082,-13.90371
132.639351888,-13.560331628
135.792284785,-13.579134558
142.5672222222,-13.5916666667
143.1983,-13.9483
143.199444444,-13.949722222
126.6,-14.3
126.6358,-14.3017
126.63583333,-14.30166667
127.24805556,-13.98611111
129.801223789,-14.16527075
130.798,-14.355
130.798,-14.354
130.8425,-14.1158
130.8427,-14.1159
132.167874291,-14.03191389
132.1833,-14.0333
143.4758620307,-14.1069495881
143.5502777778,-13.9927777778
143.5825,-14.085
143.7402777778,-14.3763888889
144.2508540917,-14.4152799301
131.70028,-14.66723
133.384532617,-14.831905792
143.874722222,-14.548055556
144.09083333,-14.78
128.15521,-15.10411
128.734568111,-15.465272525
130.16667,-15.33333
135.3522,-15.3531
135.356,-15.34
144.2772222222,-15.0327777778
144.4236666667,-15.2626666662
145.1783333333,-15.4333333333
145.2333,-15.4667
145.2591782677,-15.473605966
127.5,-15.5
127.55666667,-15.83805556
127.7167,-15.75
128.1833,-15.5333
128.1833,-15.5333
128.18333333,-15.53333333
