"longitude","latitude"
131.32,-11.45
131.32,-11.45
142.359,-11.1731
142.359,-11.1731
142.3730915502,-11.0803009591
142.3730915502,-11.0803009591
142.4142026273,-11.4494654173
142.4142026273,-11.4494654173
142.434,-11.4383
142.434,-11.4383
142.4425356605,-11.4402987792
142.4425356605,-11.4402987792
130.242,-11.5833
130.242,-11.5833
130.52,-11.6
130.52,-11.6
142.48,-11.73
142.48,-11.73
142.5,-11.82
142.5,-11.82
142.5,-11.8
142.5,-11.8
142.586,-11.7392
142.586,-11.7392
142.77,-11.87
142.77,-11.87
143.1,-12.73
143.1,-12.73
130.72,-13.07
130.72,-13.07
132.9,-13.35
132.9,-13.35
132.596,-13.9064
132.596,-13.9064
145,-15.2
145,-15.2
152.97944444,-25.965
152.97944444,-25.965
