"longitude","latitude"
142.25,-10.75
130.66787413,-11.43193269
131.167870841,-11.581928442
142.85,-11.63
142.8591981637,-11.6402971481
133.317671,-12.232045
132.65,-12.725
132.65,-12.725
132.651192438,-12.715253613
132.8167,-12.8167
132.8497,-12.8372
132.8497,-12.8372
143.35,-12.7833
143.359194359,-12.7902899912
130.584356,-13.182048
132.25,-13.3167
130.867888899,-13.531925638
132.4167,-13.6667
132.43452768,-13.48191772
143.25,-13.8833
143.25,-13.8833
143.25,-13.8833
143.25,-13.8833
130.8131,-14.3703
132.417871073,-14.31525324
134.084519717,-14.048575622
134.1,-14.05
143.3167,-14
143.3167,-14
143.3167,-14
143.7325,-14.2855555556
131.25,-14.55
131.251212738,-14.548586501
131.9667,-14.8667
132.25,-14.4833
132.251210564,-14.481919128
143.2591988708,-14.6736139504
144.125855634,-14.4902797923
124.58333333,-15.41666667
126.745,-15.134
128.838056,-15.422222
131.61694,-15.21285
144.2167,-15.45
144.2258566263,-15.4569416197
144.4258540356,-15.3069418874
144.426666667,-15.303333333
144.42666667,-15.30333333
145.24,-15.4599999995
130.1167,-15.75
130.3333,-15.5833
130.3333,-15.5833
130.334559528,-15.581924172
136.384505392,-15.648556798
136.667842667,-15.598559123
142.5008755988,-15.4986119884
144.05,-15.57
144.05,-15.57
144.05,-15.5667
144.051090199,-15.565182693
144.0591920945,-15.5736081291
145.275,-15.4917
145.2758447807,-15.4902725155
124.98333333,-16.38333333
128.73333333,-16.11666667
128.734571424,-16.115272876
130.45,-16.0833
130.45122782,-16.08191944
131.3411,-16.3706
136.0667,-16.2667
136.0667,-16.2667
144.1361814698,-16.0355824552
145.25,-16.4167
145.25,-16.4167
145.25,-16.4167
145.3,-16.2667
145.3,-16.2667
145.3,-16.2667
122.98333333,-16.51666667
125.38333333,-16.70916667
125.4625,-16.7236
128.96666667,-16.53333333
130.6667,-16.75
130.667900578,-16.748591408
130.7167,-16.6333
130.7167,-16.6333
130.717906156,-16.631919084
133.25,-16.65
133.451212166,-16.831901024
136.979166667,-16.762777777
145.25,-16.5333
145.25,-16.5333
145.5175113378,-16.5819335139
145.5425111458,-16.6208221708
145.5675109311,-16.6485997631
145.6167,-16.9667
145.6167,-16.9667
145.65,-16.7333
145.65,-16.7333
145.676,-16.765
145.7,-16.7833
145.7508428333,-16.9152647941
122.16666667,-17.31666667
122.1667,-17.3167
124.70305556,-17.25472222
124.916111,-17.196667
124.981111,-17.146667
125.1548,-17.052
125.21666667,-17.03333333
125.2167,-17.0333
135.6667,-17.3333
139.0842482388,-17.0819491758
144.3833,-17.1
144.3925257188,-17.1069341815
144.4,-17.1
144.4000909922,-17.1101429688
144.4175253632,-17.0819342135
144.5175,-17.1656
144.5175,-17.1656
144.5175,-17.1655555556
145.0208,-16.9878
145.6167,-17.05
145.6167,-17.05
145.6167,-17
145.6667,-17.0667
145.6667,-17.0667
145.6667,-17.0667
145.6667,-17.0667
145.9167,-17.3333
144.55833333,-18.3049999994
144.9892598536,-18.4421749787
145.6231,-17.9822
138.059263416,-18.6069495687
144.1258683112,-19.0402615945
146.3789,-18.9972
138.86972222,-19.5338888894
139.4848290662,-20.4671563871
144.4258703368,-20.4735899719
140.4833,-20.7
148,-22.0167
