"longitude","latitude"
142.383966667,-10.833116667
142.3867,-10.8375
142.4175352135,-10.748636236
142.4175353697,-10.9153018964
142.4833,-10.7833
132.017862235,-11.165264949
132.1333,-11.15
132.144494113,-11.154196277
132.144494113,-11.154196277
132.146745953,-11.154985566
132.15,-11.17
132.15,-11.17
132.15,-11.15
132.15,-11.15
132.15,-11.1333
132.151190138,-11.148596052
132.151190138,-11.148596052
132.15119692,-11.13192943
132.3403,-11.1289
132.3403,-11.1289
142.1425384394,-11.1236342657
142.4175362819,-11.7486303744
142.8244,-11.7939
142.8244,-11.7939
136.657821209,-12.278571382
141.6258787855,-12.4569609354
141.7076815448,-12.2605767067
143.226666667,-12.2438888886
143.232184892,-12.247943984
143.3,-12.0397
143.3,-12.0397
143.4,-12.5833
143.4042634806,-12.6577909412
143.4175267532,-12.5819577287
145.2925104389,-15.1236076341
128.7,-15.65
135.417850883,-15.581898631
