"longitude","latitude"
142.721409669,-11.6660317502
142.75,-11.6667
143.2664041524,-12.4674270251
143.2091959222,-12.7569570557
143.2167,-12.75
143.2167,-12.7167
143.2258623627,-12.7236238837
143.2258624129,-12.7569570314
143.2258624129,-12.7569570314
143.2258624129,-12.7569570314
143.255,-12.4999999996
143.35,-12.6167
143.3591941073,-12.6236242449
143.25,-13
143.2591957716,-13.0069556282
143.4591943274,-13.4402863497
143.25,-13.8333
143.25,-13.8333
143.2591972085,-13.8402846456
143.3,-13.8667
143.3,-13.7
143.3,-13.7
143.3091964223,-13.7069518906
143.3167,-13.95
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.325862942,-13.723618447
143.3316966464,-13.9594505807
143.3333,-13.9167
143.3333,-13.9167
143.3333,-13.75
143.3333,-13.75
143.3333,-13.6667
143.3333,-13.6667
143.3425297979,-13.92361741
143.3425298012,-13.92361741
143.366666667,-13.75
143.3667,-13.75
143.3667,-13.75
143.3667,-13.75
143.3667,-13.7333
143.3667,-13.7333
143.37,-13.75
143.37586243,-13.7402849454
143.37586243,-13.7402849454
143.3758624604,-13.7569515207
143.4091955849,-13.8402843767
143.4167,-13.6667
144.97555556,-15.2744444395
144.9756,-15.2744
144.9833,-15.25
144.9925141716,-15.2569409225
144.9966255153,-15.2538143768
145.275847496,-16.5902674104
