"longitude","latitude"
132.36246,-11.36299
132.362953,-11.360659
132.4,-11.27
132.92,-11.83
133.07,-11.57
131.108,-12.4239
132.88,-12.47
132.9333,-12.45
132.9333,-12.45
132.95,-12.43
132.95,-12.4167
132.95,-12.4
133.067673,-12.332045
133.25,-12.4667
133.25,-12.4667
133.25,-12.33
133.251192022,-12.331915616
136.72,-12.25
136.816666666667,-12.2166666666667
130.751210044,-12.581923245
132.25,-12.55
132.4167,-12.5667
132.4167,-12.5667
132.7833,-12.8667
132.801197441,-12.865258585
132.8106,-12.8689
132.8106,-12.8689
132.8167,-12.85
132.8667,-12.9
132.8667,-12.85
132.87,-12.9
132.87,-12.85
132.8833,-12.4833
132.9,-12.95
132.9,-12.95
132.9,-12.95
132.9,-12.9
132.9,-12.7667
132.9,-12.73
132.9,-12.73
132.9,-12.4833
132.9003,-12.7447
132.9833,-12.5583
132.992849478,-12.596087381
133.0025,-12.8211
133.003691604,-12.819692842
133.01666667,-12.66666667
133.0167,-12.6667
133.0167,-12.6667
133.02,-12.67
133.4,-12.8
135.03450391,-12.84858133
135.15,-12.8833
135.28,-12.92
135.28,-12.92
135.28333333,-12.91666667
131.134544122,-13.231922714
132.42,-13.42
132.77,-13.32
132.7833,-13.325
132.784523256,-13.315252291
132.8,-13.1
132.8333,-13.1833
132.8333,-13.1833
132.8389,-13.2778
132.8583,-13.0833
132.93,-13.12
132.934520665,-13.115258497
132.98,-13.07
135.50731,-13.08005
131.8,-13.8
131.92,-13.92
132.43452768,-13.48191772
132.5,-13.55
130.1833,-14.3333
132.1833,-14.2
132.18453264,-14.19858931
132.27,-14.47
132.43,-14.32
132.4333,-14.3167
132.4333,-14.3167
132.467681,-14.315377
132.467681,-14.315377
132.50656,-14.12823
132.7833,-14.4
132.7833,-14.4
133.1833,-14.2
133.1833,-14.2
134.4803,-14.2553
134.4803,-14.2553
134.4803853,-14.2554771
129.735,-14.7342
129.9783,-14.8219
129.979571124,-14.820545275
129.9906,-14.8942
130.0086,-14.7842
132.25,-14.5
132.5,-14.53
132.501209713,-14.531913689
133.2667,-14.5333
133.267870579,-14.531905929
130.1667,-15.0833
130.167903087,-15.081923328
136.71928,-20.05346
