"longitude","latitude"
142.9091979327,-11.890295647
143.0833,-12.3667
143.0331113691,-13.2336092961
144.90265971,-15.09945226
144.92002775,-15.12006095
145.0425135266,-15.2236076518
145.0833,-15.25
145.0925130287,-15.2569407129
145.161,-15.07
145.1614,-15.07
145.1833,-15.0667
145.2333,-15.45
145.2442,-15.2781
145.5841776634,-16.7485992775
145.5925111534,-16.8402655229
145.63,-16.85
145.6333,-16.8167
145.6397328665,-16.8569319909
145.646,-16.8217
145.646,-16.8217
145.5833,-17.1167
145.5833,-17.1167
146.0425102176,-18.3235915136
146.2258413581,-18.3235909821
146.2508408219,-18.2485912051
146.1425095558,-18.4902572476
148.9833,-20.2667
148.9424830625,-20.8569063191
149.48,-21.55
149.4924786367,-21.5569020011
150.6258024262,-22.8902269041
150.6591345759,-22.7235606283
150.7091333192,-22.5902275324
150.7152777778,-22.4838888882
150.7257994025,-22.5068944069
150.7508001025,-22.7485602068
150.76309725,-22.6466020102
150.7649089243,-22.7780211979
150.7667,-22.8
150.7667,-22.7667
150.7667,-22.7667
150.7667,-22.7667
150.76747,-22.76523
150.77,-22.77
150.77,-22.77
150.77,-22.77
150.7757998703,-22.7735600345
150.7757998703,-22.7735600345
150.7757998703,-22.7735600345
150.7924666038,-22.840226433
150.7591346021,-23.0402259449
150.8258013322,-23.2568917063
150.9591325321,-23.1902247281
151.392463798,-24.0402205876
151.9174574277,-24.248551242
151.9174582289,-24.4152174574
151.9591239383,-24.3402174923
152.0473462992,-24.625549699
152.05269,-24.56297
152.05269014,-24.5629687656
152.0558888889,-24.6120277771
152.05589,-24.61203
152.0591239816,-24.6402162789
152.2091225042,-24.773548648
152.2167,-25.05
152.2167,-25.0167
152.22,-25.02
152.4591200051,-24.9902137227
152.5455084962,-25.1582684929
153.0361,-25.4219
153.0372,-25.4203
153.2433,-24.9856
153.2441778909,-24.9841747588
153.2444,-24.9839
152.3924577998,-25.6735457004
152.3969022869,-25.6938234138
152.45,-25.68
152.4625256152,-25.6944545131
152.465,-25.6956
152.4657901839,-25.6941008934
152.4727352976,-25.8396560972
152.4728588328,-25.7398383651
152.63,-25.58
152.6333,-25.5833
152.7507854759,-25.5818777066
152.8424509421,-25.6068772568
152.85,-25.9333
152.8667,-25.85
152.8757850976,-25.8568765341
152.8847540749,-25.8413083751
152.9,-25.72
152.9,-25.72
152.9141666667,-25.7113888882
152.915,-25.7113888882
152.9233055556,-25.9070277771
152.9579166667,-25.8394722215
152.9579167,-25.8394721993
152.98075,-25.9190555549
152.5552777778,-26.1963888882
152.9174532505,-26.2485421647
152.992,-26.0036
152.9924508316,-26.0021534805
152.9174569544,-26.9152075385
152.9667,-26.9667
152.967526,-26.865284
152.9174579037,-27.0818739096
152.967527,-27.065284
153.016666666667,-27.4666666666667
153.3924508338,-27.0735384153
153.4101666667,-27.0459444436
153.4257851011,-27.3235378179
153.4424498983,-27.040204916
153.4424505653,-27.1568713656
153.4428,-27.3997
153.4583333333,-27.4416666659
153.4591166008,-27.0902047478
152.9253085898,-27.6247271844
152.9257942869,-27.6235396749
153.1424589368,-27.8235383568
153.3951653401,-27.9017811457
153.39517,-27.90178
153.4174534022,-27.5818707566
153.4174553866,-27.9152035873
153.4283524174,-27.6272483846
153.4383469831,-27.6373960307
153.442453078,-27.5902039664
153.44528542,-27.50819963
153.4813889683,-27.5333726478
151.9,-29.37
153.33,-29.37
153.33,-29.37
153.35,-29.35
153.35,-29.35
153.4292,-29.04472
153.43,-29.12
153.43,-29.05
153.43,-29.03
153.4333,-29.0333
153.4333,-29.15
153.4333,-29.11667
153.45,-29.15
153.45,-29.13
152.25,-29.56667
152.25,-29.56667
152.4167,-29.58333
152.4167,-29.58333
153.22,-29.97
153.2667,-29.8333
153.2667,-29.8167
153.27,-29.83
153.27,-29.78
153.27,-29.52
153.28,-29.83
153.28,-29.83
153.28,-29.83
153.2833,-29.8333
153.2841,-29.83187
153.2841,-29.83187
153.3,-29.5
153.3211,-29.68111
153,-30
153.2158,-29.9997
153.22,-30
153.2342,-29.98195
152.8,-31.67
152.85,-31.6
142.5,-32.5
150.9333,-32.75
151.18,-32.55
152.08,-32.75
150.1216,-33.34231
