"longitude","latitude"
142.35,-11.1667
142.359,-11.1731
130.14338,-11.76622
130.242,-11.5833
142.58,-11.73
142.5833,-11.7333
142.5833,-11.7333
142.5833,-11.7333
142.592534434,-11.7402968809
143.1,-12.73
143.2508621312,-12.7486237106
132.2,-13.53
132.6536,-13.8462
132.5216,-14.1199
132.5639,-13.9895
142.9017030639,-14.8227806687
126.2,-15
126.2,-15
145.45779182,-17.311652747
143.8086448967,-17.6052672622
143.8130892553,-17.5936006243
145.96638889,-17.9145555594
145.9664,-17.9144
146.0347972976,-18.4643360068
