"longitude","latitude"
130.667877518,-11.415271691
130.5,-11.6667
130.7012122,-11.7485986
130.7833,-11.7833
130.7833,-11.7833
130.8,-11.5333
130.801205219,-11.53193375
130.8786,-11.8031
130.8833,-11.7667
130.8833,-11.7667
130.884536676,-11.748595092
130.88454008,-11.76527197
130.91787692,-11.76526655
132.917860801,-11.548595434
131.017874401,-12.365268965
130.701214243,-12.548601294
130.984541085,-12.681927063
131.2333,-12.7333
132.5,-12.6667
132.5667,-12.9333
132.5667,-12.9333
132.596362026,-12.663611242
132.7333,-12.8
132.75,-12.75
132.834522039,-12.948584762
132.93,-12.92
132.9333,-12.9167
132.9333,-12.9167
132.9333,-12.9167
132.9333,-12.9167
132.9333,-12.9167
132.9333,-12.9167
132.9333,-12.9167
132.934490646,-12.915289417
132.93452533,-12.74858521
133.01,-12.8219
133.011191003,-12.82053595
133.351190242,-12.798580533
133.4667,-12.8
133.467855564,-12.798579774
134.0667,-12.75
134.06785155,-12.74858238
135.1667,-12.5167
135.167842713,-12.515247416
135.167845872,-12.548579657
135.17,-12.52
130.6667,-13.0833
130.667882204,-13.198599136
130.667882204,-13.198599136
130.667914705,-13.081894957
130.67,-13.08
130.7,-13.07
130.7333,-13.2167
130.767887551,-13.331925405
130.801212357,-13.465269041
131.0833,-13.2
131.1,-13.22
131.1001,-13.2274
131.117881302,-13.248590004
131.117881302,-13.248590004
131.117881302,-13.248590004
131.117884805,-13.231925869
131.2333,-13.1
131.2333,-13.1
131.234541532,-13.098594414
132.351201185,-13.048587731
132.417868902,-13.415255935
132.7797,-13.2311
132.7797,-13.2311
132.9333,-13.0833
130.417887395,-13.748598599
130.71788998,-13.66526264
130.751218378,-13.748598425
132.21787584,-13.5985881
132.43452768,-13.48191772
132.6833,-13.7
130.684545751,-14.115267843
132.2667,-14.4667
132.2667,-14.45
132.267682,-14.465378
132.27,-14.47
132.27,-14.47
132.40120163,-14.29858528
132.4167,-14.3333
132.4167,-14.3333
132.4167,-14.3333
132.4167,-14.3333
132.4167,-14.3333
132.4167,-14.3333
132.4167,-14.3333
132.4167,-14.3333
132.467873719,-14.298582122
132.75,-14
132.25,-14.48
132.251209014,-14.498583892
132.251209014,-14.498583892
132.4167,-14.5
145.4667,-17.2667
