"longitude","latitude"
142.2457901153,-10.9116911061
142.365,-10.857
142.3658691847,-10.855302305
142.3667,-10.85
142.36961111,-10.8453333297
142.3697,-10.8453
142.3697,-10.8453
142.4175352135,-10.748636236
142.1092053153,-10.9903017462
142.1667,-11.1333
142.1667,-11.1333
142.1676,-11.1319
142.1758714443,-11.1403008013
135.76741,-12.05053
136.4496,-12.35
142.9167,-12.2333
143.4,-12.65
143.0019764934,-13.1161221181
143.0667,-13.65
143.07,-13.65
143.0758655208,-13.6569522173
143.2,-13.7167
143.2,-13.7167
143.3925,-14.7975
143.4333,-14.6
143.439,-14.587
143.5214,-14.8297
144.2981,-14.5969
144.781,-14.7169
144.8833,-14.9333
143.23,-15.38
143.2342,-15.3819
143.2342,-15.3819
143.234420794,-15.381856599
143.4667,-15.3833
145.0058,-15.3025
145.0058,-15.3025
145.0167,-15.1667
144.5167,-15.6333
145.25,-15.5833
145.3,-15.5833
145.3,-15.5833
145.3,-15.5833
145.3,-15.5833
145.3136,-15.5975
145.3136,-15.5975
145.3167,-15.6
145.3167,-15.6
145.3167,-15.6
145.3167,-15.6
145.3167,-15.6
145.3167,-15.6
145.0333,-16.1333
145.0342,-16.1347
145.0342,-16.1347
145.0411,-16.2644
145.0411111,-16.2644444
145.0480711869,-16.1430477276
145.1667,-16
145.1,-16.5333
145.2666667,-16.6
145.1833,-17.2333
145.2425168378,-17.4097084768
145.35,-17.3833
145.35,-17.3833
145.35,-17.38
145.3833,-17.2667
145.4044,-17.3228
145.4044,-17.3228
145.4147,-17.1917
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4167,-17.1886
145.4167,-17.1886
145.5667,-17
145.5667,-17
145.5667,-17
145.6,-17.1
145.6,-17.1
145.6336,-17.0192
145.634,-17.0192
145.49777778,-17.6472222195
145.4978,-17.6472
145.5,-20.32
145.51,-20.3242
147.75,-20.1
