"longitude","latitude"
130.2978,-11.5247
130.29854,-11.52329
130.29857,-11.5233
130.30492,-11.53282
130.31167,-11.55691
130.3358,-11.5155
130.33583,-11.51552
130.33592,-11.51535
130.751202525,-11.681927437
142.7359649885,-11.6469608734
131.0428,-12.1644
131.05,-12.17
134.90443,-12.43867
135.201166418,-12.498576529
135.21503,-12.54654
135.217838777,-12.54857991
135.234497462,-12.515251841
143.22,-12.73
143.25,-12.75
143.2591953622,-12.7402904108
132.600825921,-13.625920766
132.60611,-13.63046
143.4333,-13.7
145.4175108121,-15.9152701582
145.0091829896,-16.2402696113
145.0103,-16.2217
145.0103,-16.2217
145.0410359507,-16.2544922504
145.0833,-16.2
145.22648209,-16.4359503962
145.2508464802,-16.0819364271
145.2953,-16.3933
145.32,-16.17
145.3258458426,-16.1736024963
145.38,-16.17
145.3833,-16.25
145.4,-16.25
145.4008451631,-16.2486019754
145.4175112197,-16.081936041
145.4425109919,-16.1069358665
145.25,-16.5833
145.25,-16.5833
145.25,-16.5833
145.25,-16.48
145.27584732,-16.523601035
145.28,-16.52
145.2833,-16.6
145.3,-16.5
145.3,-16.5
145.32,-16.48
145.6667,-16.8333
145.6667,-16.8
145.67,-16.97
145.67,-16.97
145.67,-16.97
145.7167,-16.9667
145.7508428333,-16.9152647908
145.7758426081,-16.9402646176
145.7758426081,-16.9402646176
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4258475912,-17.2569308365
145.4333,-17.4167
145.4333,-17.2833
145.4333,-17.2833
145.5667,-17.1
145.5667,-17.1
145.575845414,-17.1069310753
145.5833,-17.1667
145.5833,-17.1667
145.6167,-17.0667
145.6167,-17.0667
145.6167,-17.0667
145.6667,-16.9833
145.6667,-16.9833
145.6814,-17.2206
145.6814,-17.2206
145.6833,-16.9833
145.7,-17.4167
145.7,-17.4167
145.7028,-17.3939
145.7167,-17.4333
145.7459234505,-17.4681910828
145.75,-17.3333
145.7508442396,-17.4152626465
145.8333,-17.3
145.86,-17.2539
145.8758418452,-17.0902637061
145.8758418452,-17.0902637061
145.884399557,-17.448499452
145.9175089407,-17.4152622024
145.9667,-17.3333
145.9889,-17.3722
145.65,-17.6
145.65,-17.6
145.65,-17.6
145.65,-17.6
145.9439594313,-17.7058902126
146.2935221471,-18.4212433655
145.75,-18.5
146.250842995,-18.9152553329
146.175,-19.0125
146.175,-19.0125
146.1758441501,-18.9902552905
146.2,-19
146.2333,-19
146.4258419402,-19.2235870093
147,-19.5
148.55,-20.25
148.5841520624,-20.2485763789
148.55,-20.8167
148.55,-20.8167
148.5553029645,-20.8315389886
148.4174907059,-21.0819073586
148.5091564274,-21.1402401795
148.5258228137,-21.1235735095
148.55,-21.25
148.5667,-21.1833
148.5667,-21.0667
148.5758224357,-21.1902397816
148.6130844257,-21.0234072401
148.6333,-21.05
151.5333,-24.6914
151.5341991231,-24.6900162304
153.116666666667,-25.3666666666667
152.6257934724,-26.7235425431
152.842457533,-26.8235413758
152.98636111,-26.5502222192
153.3162246641,-28.2223789919
153.39583333,-28.2049999992
153.4833,-28.2667
