"longitude","latitude"
130.251208832,-11.598602945
130.3353,-11.6572
130.351212937,-11.681928716
130.584534345,-11.748601137
132.3333,-12.3667
130.74327,-12.77055
130.767879013,-12.765268682
130.767879013,-12.765268682
130.8708,-12.7769
130.984542407,-12.581921804
131.00175,-12.66497
131.067877116,-12.548592883
131.113045,-12.793529
131.12482,-12.86292
131.134543277,-12.931923398
131.584537852,-12.881922398
131.91278,-12.83077
132.301196982,-12.88191591
132.30557,-12.56127
132.417866686,-12.581919323
133.25,-12.6
130.584544283,-13.33192586
130.719554106,-13.050263308
130.755110507,-13.10125571
130.777324614,-13.151928467
130.777324614,-13.151928467
130.777324614,-13.151928467
130.777324614,-13.151928467
130.777324614,-13.151928467
130.777324906,-13.162205389
130.801212611,-13.198599636
130.8333,-13.0667
130.8478,-13.0706
130.848,-13.0706
130.848986695,-13.069155619
130.934540641,-13.048591386
131.00777778,-13.01694444
131.00795,-13.0172
131.0333,-13.05
131.0333,-13.0333
131.034539209,-13.065266652
131.034539209,-13.065266652
131.034539209,-13.065266652
131.0406,-13.0478
131.041,-13.0478
131.041758861,-13.046366646
131.067878084,-13.231919994
131.1,-13.1167
131.101208663,-13.165261783
131.117878055,-13.265263155
131.117881752,-13.015263723
131.1667,-13.25
131.167880745,-13.248594674
131.2333,-13.1
131.234541532,-13.098594414
132.2667,-13.3833
132.2678724,-13.3819143
130.72526,-13.68384
130.751219677,-13.531929037
130.934542681,-13.915261861
131.034542001,-13.73191853
131.034542001,-13.73191853
131.0833,-13.5
131.08454075,-13.49859383
131.087421473,-13.486127706
131.151213465,-13.481927354
131.58,-13.5
131.5833,-13.5
131.7667,-13.6167
131.76976,-13.91114
