"longitude","latitude"
142.25,-10.75
142.25,-10.75
142.4092020993,-10.8903020544
142.35,-11.17
142.35,-11.17
142.3592029048,-11.1736337526
142.3758693456,-11.1236340302
142.3758693456,-11.1236340302
142.5842006283,-11.2486330795
142.6167,-11.1167
142.625866727,-11.1236337802
142.03666667,-11.6566666696
142.0367,-11.6567
142.0372,-11.6581
142.9833,-11.9333
141.8425426782,-12.0736293078
142.9667,-11.9833
142.992531164,-12.4736255875
143.0925296143,-12.1236274157
143.125,-12.4083
143.1258629763,-12.406959108
141.95,-12.6667
142.57,-12.55
142.57,-12.55
142.57,-12.55
142.5758690428,-12.5569590529
143.1667,-12.75
143.1758629506,-12.7569571076
143.18,-12.72
143.2,-12.75
143.2098068263,-12.7308667773
143.2167,-12.75
143.2258623877,-12.7402904592
143.25,-12.75
143.2591953873,-12.7569569862
143.3758609218,-12.8402896928
142.9761,-13.1094
142.9761,-13.1094
141.6167,-13.5
141.6258805263,-13.5069558017
141.642547021,-13.5069557725
141.6425472366,-13.6236218971
143.48,-13.65
143.4833,-13.65
143.4925276783,-13.6569518342
143.7238888889,-14.3986111106
144.1925210963,-14.2569475096
144.2425204106,-14.1902810929
144.2508540917,-14.4152799301
144.3425196525,-14.3736133019
144.4167,-14.25
144.4258518258,-14.2569470793
144.435,-14.2747222222
144.4505555556,-14.2471666662
144.4591847536,-14.2402804378
141.58,-14.75
141.5842168147,-14.7486170916
141.5925496776,-14.5736178026
141.6167,-14.9
141.625,-14.8916666662
141.6833,-14.8
141.6875493533,-14.8686163768
143.6833,-14.5667
143.6925272614,-14.5736135601
143.8167,-14.5333
143.8258590578,-14.540280127
142.8358333333,-15.1705555556
142.836,-15.17
142.836111,-15.170278
142.836111111,-15.170277777
142.8464,-15.1722
143.8667,-15.1833
143.867586,-15.19035
143.87,-15.1916667
143.8758599109,-15.1902769425
143.9591924715,-15.2569431232
144,-15.25
144.0091919158,-15.2569430156
144.1958333333,-15.0019444444
144.6758513275,-15.3569411109
145.1667,-15.4667
145.1758457782,-15.4236063887
145.1925123294,-15.4569395237
145.1944444444,-15.4630555551
145.2036111111,-15.2811111111
145.2040277778,-15.4659722222
145.25,-15.4667
145.25,-15.4667
145.2508448976,-15.4152729362
145.251071286,-15.465184961
142.6333,-15.6833
145.22,-15.68
145.2258453941,-15.5069392086
145.2258458206,-15.6902716581
145.2298422522,-15.5027164765
145.25,-15.5
145.25,-15.5
145.251070707,-15.498513825
145.2591780107,-15.5069388034
