"longitude","latitude"
132.14427,-11.46558
132.48817,-11.40553
130.917879604,-11.898597417
130.917911093,-11.898593935
132.61106,-11.47612
132.767674,-11.615381
133.360900136,-11.660524752
131.034537653,-12.465266193
136.73916,-12.17889
136.84222,-12.24503
136.856436985,-12.410510101
130.966666666667,-12.6666666666667
131.0135,-12.6665
131.6097,-12.8619
133.284521847,-12.515255191
142.70108874,-12.69854696
130.8369,-13.0556
130.838153123,-13.054156846
130.964546731,-13.263870716
131.101207473,-13.065266319
131.10466,-13.06847
134.85098,-13.158
142.7842,-13.1319
142.7842,-13.1319
142.784416535,-13.131867068
131.151214603,-13.848592244
131.201210382,-13.93192146
131.7,-13.5
132.631040603,-13.560252887
136.64613,-13.84561
136.6818,-13.8859
132.051208519,-14.098587959
132.08661,-14.13052
132.102032966,-14.148589827
132.375,-14.19
125.80138889,-14.61138889
128.57777778,-14.89555556
128.57777778,-14.89555556
129.540389286,-14.546649056
132.234542905,-14.531915914
133.117870071,-14.931906037
133.734523291,-14.84857878
124.5927,-15.3885
125.00805556,-15.10583333
125.009112,-15.104561
125.18342,-15.07238
125.18627,-15.07108
126.33,-15.45
131.3445,-15.447
131.5667,-15.3667
133.2178708,-15.0485756
126.3,-15.5
130.407342969,-15.961094106
133.43319,-16.08728
131.3506,-16.4936
144.001094128,-16.648514108
145.3333,-16.75
145.3333,-16.75
125.3172,-17.1661
125.31722222,-17.16611111
129.95806,-17.26917
130.9547,-17.024
130.9913,-16.9803
144.3,-17
144.3,-17
126.11222,-17.49858
126.21135,-17.52367
129.667920388,-17.498596793
136.25,-17.8333
136.25,-17.8333
128.34,-18.31
134.5667,-18.25
134.9608,-18.4397
135.5305,-17.9864
135.945,-18.641
137.5528,-18.8244
144.751092438,-18.681830434
145.2342,-18.6153
145.2342,-18.6153
147.6667,-19.85
148.2667,-20.0833
148.2667,-20.0833
140.2833,-20.7333
144.6833,-20.85
146.1028,-20.5181
117.72409305,-22.30488783
118.919889,-22.701028
138.7044,-22.9231
144.05,-23.1833
144.166666666667,-23.3833333333333
144.5458,-23.9108
148.4527778,-24.1758333
147,-26.3333
152,-26.3
152.6456,-27.7425
152.08,-28.3
147.4258,-28.7703
141.75,-29.1
147.7167,-29.2
149.8417,-29.2417
150.82,-29.17
146.2833,-29.9
147.7833,-29.75
149.6922,-29.75028
151.1333,-29.5
151.1333,-29.5
151.1333,-29.5
147.2333,-31.3833
147.25,-31.25
150.538,-31.367
150.5383,-31.3675
150.8083,-31.23889
150.6486,-31.51111
