"longitude","latitude"
142.2072,-10.5586
142.2072,-10.5586
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.2183,-10.58
142.2183,-10.5797
142.225,-10.5749999997
142.2258703853,-10.5736374665
142.25,-10.5972
142.3667,-10.7167
142.4092020993,-10.8903020544
142.5,-11.05
142.5,-11.05
142.5,-11
142.5,-11
142.5092008837,-11.0569672936
141.829166667,-12.6469444436
141.842543523,-12.6569595983
143.2508621312,-12.7486237106
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2925283866,-12.7736235131
143.3,-12.75
143.3167,-12.7167
143.3167,-12.7167
143.3167,-12.7167
143.3167,-12.7167
143.3167,-12.7167
143.3167,-12.7167
143.3167,-12.7167
143.3167,-12.7167
143.3167,-12.7167
141.750879069,-13.4152893495
143.13355556,-13.1657777796
143.1336111111,-13.1658333329
143.25,-13
143.2591957749,-13.0069556315
143.25,-13.8333
143.2508641091,-13.9152842828
143.2591972118,-13.8402846423
143.3333,-13.75
143.3333,-13.75
143.3333,-13.6667
143.3333,-13.6667
143.3425293376,-13.6736186728
143.3425296455,-13.8402844979
143.3758626137,-13.8402844389
143.4333,-13.5833
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
144.4167,-14.3333
144.4167,-14.3333
144.4167,-14.3333
144.4167,-14.3333
144.4258519881,-14.3402799832
144.4333,-14.3
144.4333,-14.3
144.4416666667,-14.2749999995
144.82979263,-14.6297131645
145.2508448976,-15.4152729362
145.2925104389,-15.1236076341
145.2183333333,-15.6508333328
144.98502778,-16.1739722195
145,-16.25
145,-16.25
145,-16.25
145.0091830354,-16.2569362
145.0167,-16.25
145.0167,-16.25
145.0167,-16.25
145.0167,-16.25
145.0258495108,-16.2569361603
145.0333,-16.25
145.0333,-16.25
145.0333,-16.25
145.0333,-16.25
145.0333,-16.25
145.0410359507,-16.2544922504
145.05,-16.2333
145.05,-16.2333
145.05,-16.2333
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0925154966,-16.2902691852
145.0925154966,-16.2902691852
145.1167,-16.3
145.1167,-16.3
145.1167,-16.3
145.1167,-16.3
145.1167,-16.2667
145.2199283393,-16.435894866
145.28,-16.08
145.33,-16.08
145.3333,-16.0167
145.4175120625,-16.4152678431
145.1667,-16.5
145.1667,-16.5
145.2667,-16.6
145.2667,-16.6
145.2667,-16.5167
145.2667,-16.5167
145.2667,-16.5
145.2667,-16.5
145.275,-16.5249999995
145.2833,-16.5833
145.2833,-16.5833
145.2833,-16.5833
145.2833,-16.5833
145.2833,-16.5833
145.2925139697,-16.590267366
145.2925139697,-16.590267366
145.5167,-16.6
145.5333,-16.6
145.5333,-16.6
145.5425111091,-16.606933344
145.5667,-16.6833
145.5758442746,-16.6902662236
145.5833,-16.75
145.5841776667,-16.7485992775
145.6333,-16.8167
145.6333,-16.8167
145.65,-16.7667
145.6591768571,-16.7735989799
145.9744,-16.7594
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.4167,-17.25
145.5833,-17.0833
145.5841785799,-17.0819311606
145.5841785799,-17.0819311606
145.6,-17.1
145.6,-17.1
145.6,-17.1
145.6,-17.1
145.6,-17.0333
145.6,-17
145.6091781712,-17.0402646083
145.6167,-17.1667
145.6167,-17.1667
145.6333,-17.15
145.6333,-17.15
145.6333,-17.15
145.5167,-17.6667
145.5333,-17.7167
145.5333,-17.7167
145.5333,-17.7167
145.6667,-17.6667
146.0841766774,-18.4152577059
146.259174611,-18.4235904954
146.3258402124,-18.3402572941
146.3258402124,-18.3402572941
147.442497428,-19.5902491457
148.7053257608,-20.3355946308
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.7508165919,-20.248575837
148.751052553,-20.331769345
148.7591501536,-20.3402421345
152.9472222222,-26.1924999993
152.73562665,-26.6938523427
152.736,-26.694
152.8167,-26.6167
152.8257899872,-26.6235418232
152.9257883363,-26.5902081043
153.1757923774,-27.9235380569
153.1757924784,-27.9402047005
153.2507912083,-27.9152043773
153.1,-28.38
153.1,-28.38
153.1591266688,-28.0402046446
153.183333333333,-28.2833333333333
153.2,-28.37
153.2114188699,-28.1102807881
153.25,-28.1833
153.2507922212,-28.0818708149
153.3,-28.27
153.27,-28.55
153.35,-28.5667
152.421,-29.19
152.6239,-30.40194
152.7667,-30.36667
152.8667,-30.45
152.9,-30.43333
153.02,-30.02
153.03,-30.43
153.03,-30.43
153.0333,-30.43333
153.095,-30.24089
153.1,-30.25
153.1,-30.25
153.1167,-30.25
153.175,-30.1343
152.5,-30.72
152.9501,-30.78631
152.97,-30.65
152.9167,-31.45
152.9167,-31.45
152.9299,-31.45872
