"longitude","latitude"
142.3667,-10.8667
142.3813888889,-10.850833333
142.4175352135,-10.748636236
142.4667,-10.8
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4758679757,-10.7903026007
142.4833,-10.7833
142.4833,-10.7833
142.4925344714,-10.7903025857
142.5676,-12.6319
142.5676,-12.6319
142.5676,-12.6319
142.56775853,-12.63187717
142.5758691671,-12.6402919416
143.25,-12.75
143.25,-12.75
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.2591953589,-12.7402904141
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2925283899,-12.7736235131
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3425279486,-12.8402897419
143.4591930296,-12.623624104
143.462777778,-12.6213888886
142.6667,-13.05
142.6667,-13.05
142.85,-13.8667
143.1833,-13.9667
143.1833,-13.9667
143.1833,-13.9667
143.1833,-13.9667
143.191666667,-13.9666666666
143.25,-13.5667
143.25,-13.5667
143.2508641091,-13.9152842828
143.2508641091,-13.9152842828
143.3,-13.7167
143.3,-13.7167
143.3,-13.7167
143.3,-13.7167
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
126.1417,-14.0875
126.1417,-14.0875
143.7332783788,-14.3059752514
144.1758546147,-14.2569475407
144.2147,-14.2725
144.2147,-14.2725
144.2147,-14.2725
144.215,-14.265
125.33333333,-14.93333333
125.75,-14.67
125.75,-14.67
125.75,-14.6667
125.75,-14.6667
125.75,-14.5667
125.7667,-14.8833
125.7667,-14.5833
125.7667,-14.5833
125.78,-14.55
125.8,-14.6
125.8,-14.5
125.80138889,-14.61138889
125.80138889,-14.61138889
125.81666667,-14.86666667
125.8333,-14.5667
125.8333,-14.5667
125.83333333,-14.56666667
125.83333333,-14.56666667
125.83333333,-14.56666667
125.83333333,-14.56666667
125.85,-14.48
144.123911249,-14.5088908145
144.1258556678,-14.5069463759
144.5833,-14.5833
144.5833,-14.5833
144.5925172827,-14.5902783909
124.95,-15.37
124.95,-15.37
125.0667,-15.2667
125.0667,-15.2667
125.0667,-15.2667
125.0667,-15.2667
125.0667,-15.2667
125.0667,-15.2667
125.06805556,-15.28055556
125.1,-15.1
125.3,-15.1
125.35,-15.05
125.35,-15.05
125.35,-15.05
125.35,-15.05
125.36527778,-15.06527778
126.75361111,-15.12722222
145.1167,-15.0667
145.1258455755,-15.0736082262
124.56666667,-15.93333333
124.64444444,-15.49305556
124.738,-15.807
144.8351666667,-15.4917222217
144.84810909,-15.5007652395
145.0675,-15.6819
145.0758475434,-15.6902719903
145.2167,-15.7667
145.225846018,-15.7736045944
145.2333,-15.8
145.2333,-15.8
145.2333,-15.8
145.2333,-15.8
145.2333,-15.7914
145.2341444689,-15.7899718794
145.2344,-15.7897
145.2425125326,-15.7902711448
145.342510948,-15.6069384699
145.6333,-16.8167
146.7667,-19.1833
146.7667,-19.1833
146.7758375749,-19.1902527073
146.8333,-19.1333
146.8333,-19.1333
146.843644,-19.1455889994
146.8453569989,-19.1441635767
