"longitude","latitude"
142.1833,-10.65
142.2,-10.55
142.2192,-10.5792
142.225,-10.5749999997
142.225,-10.5749999997
142.25,-10.5833
142.3667,-10.85
142.375869082,-10.8569689524
142.4167,-10.7333
142.4175353697,-10.9153018964
130.651205022,-11.365274114
130.667873093,-11.315269332
130.667873093,-11.315269332
132.144494113,-11.154196277
132.151189927,-11.365261724
132.289490222,-11.103595028
132.792581696,-11.447480379
132.853970288,-11.052484807
132.934489955,-11.365292973
132.95,-11.3833
132.95,-11.3833
132.95,-11.38
132.983686952,-11.056396551
142.9258636796,-11.2402994453
130.5478,-11.8211
130.667877832,-11.515273455
130.867879529,-11.865271832
132.701194224,-11.948588789
133.401181912,-11.515256763
133.417851553,-11.631914704
142.4,-11.8
142.85,-11.63
142.8547,-11.6331
142.8556454696,-11.6317571757
142.8591981637,-11.6402971481
131.8,-12.32
132.244504986,-12.176907186
134.884502165,-12.065253717
135.097278096,-12.247472138
135.226168216,-12.194412663
135.366731116,-12.099137685
135.9833,-12.1
135.990325998,-12.14218223
136.010865744,-12.098571511
136.301161228,-12.431907064
136.717824181,-12.198573179
136.717851747,-12.198573007
136.784311,-12.165374
136.784487879,-12.165246899
136.801148817,-12.115242803
136.8333,-12.25
136.8333,-12.25
136.907264593,-12.389404948
136.93126,-12.31486
143.0676,-12.3319
143.0758634186,-12.3402928814
130.591215271,-12.503299678
130.8667,-12.55
130.86730732,-12.55299234
136.61284,-12.96592
136.634488907,-12.698566609
136.788263751,-12.506664183
136.800311475,-12.507460645
141.817222222,-12.5869444436
141.8425435488,-12.6736261802
141.8758764858,-12.6402929673
141.913333333,-12.6999999996
143.25,-12.7333
143.2748058737,-12.4818147436
143.3,-12.7833
143.3,-12.75
143.3,-12.75
143.3,-12.75
143.4,-12.6667
143.4,-12.6667
143.4,-12.6667
143.4,-12.6667
143.4091936439,-12.6736238963
130.051220123,-13.181929243
130.1333,-13.1667
130.134549337,-13.174395487
136.084496351,-13.460242203
129.784552498,-13.715270971
130.037925692,-13.519396784
136.501159289,-13.720795417
136.734491214,-13.848561369
136.9087,-13.7806
141.9092116099,-13.8736202606
129.526525227,-14.054196199
136.7,-14.2
143.7719444444,-14.2202777774
141.6167,-14.9
141.6167,-14.8833
141.6425499437,-14.9236162495
141.85,-14.8
144.1667,-14.6667
144.1667,-14.6667
144.9091803019,-14.556944622
144.9258466795,-14.5069448502
144.975,-14.5083333325
144.975,-14.5083333325
144.9758461115,-14.5069447559
145.25,-15.08
145.25,-15.08
145.2591774163,-15.0902745372
145.2925104389,-15.1236076341
145.379444444,-15.0938888885
145.421944444,-15.1149999995
145.421944444,-15.1149999995
145.4425084973,-15.023607839
145.275,-15.4916666662
145.325,-15.8416666662
145.325,-15.8249999995
145.325,-15.8083333328
145.3525,-15.9061111106
145.4591766176,-15.7569374881
145.4758430519,-15.740270865
137.834496478,-16.381881556
145.2508468987,-16.24860233
145.3167,-16.3
145.3167,-16.3
145.3167,-16.25
145.3258461801,-16.3069352201
145.4,-16.4167
145.4167,-16.2
145.4167,-16.2
145.4167,-16.2
145.4167,-16.2
145.4167,-16.2
145.4167,-16.2
145.4167,-16.2
145.4167,-16.15
145.4258447682,-16.2069354416
145.4333,-16.25
145.4444557936,-16.2586018265
145.4469,-16.1031
145.4469,-16.1031
145.44694444,-16.1030555595
145.45,-16.0667
145.45,-16.0667
145.475843856,-16.073602612
145.5333,-16.6167
145.5736826959,-16.672284065
145.5833,-16.6833
145.5833,-16.6833
145.684404788,-16.748507023
145.6925097556,-16.7569323042
145.6931,-16.925
145.7022,-16.8303
145.7022,-16.8303
145.7022,-16.8303
145.75106622,-16.86517496
145.7591759554,-16.8735982868
145.7697,-16.92
145.9744,-16.7594
145.9744,-16.7594
145.975,-16.7594
145.667572,-17.082004
145.7833,-17.0833
145.7833,-17.0833
145.8667,-17.35
145.8833,-17.1833
145.9,-17.35
145.9175084645,-17.2485962462
145.95,-17.3333
145.95,-17.3333
145.95,-17.3333
145.9284035118,-17.5300575746
145.9175109396,-18.0819261487
146.0091769084,-18.2069253965
146.0091769084,-18.2069253965
146.0333,-18.25
146.0333,-18.25
146.0425100027,-18.2569251055
146.0667,-18.3667
146.1711111111,-18.165555555
146.3258402124,-18.3402572941
146.2667,-18.5
146.3333,-18.5833
146.4667,-19.0833
146.6833,-19.2
146.7758374038,-19.1402528922
146.874298743,-19.1142067155
147.098055556,-19.563333333
147.09805556,-19.5633333294
148.4424865694,-20.07357749
148.4591530235,-20.0735774363
148.5083333333,-20.0916666661
148.5459262365,-20.4748019874
148.9591472729,-20.2569084641
149.092481824,-21.0402384974
149.2258135495,-21.0735712569
150.8022515493,-22.6652261648
