"longitude","latitude"
130.75,-11.8167
130.75120532,-11.79860151
130.751210248,-11.815270428
132.917860801,-11.548595434
131.2167,-12.4167
131.217685,-12.415382
131.217876184,-12.415267258
131.267873271,-12.415269103
132.9167,-12.4167
132.9403,-12.3558
133.801184667,-12.381911424
135.55,-12.07
131.238,-12.552
131.251208348,-12.631925612
131.35,-12.65
131.351205023,-12.648592341
132.484528781,-12.665260471
132.505274332,-12.662772482
141.851097435,-12.498547669
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.2508621312,-12.7486237106
143.2591953622,-12.7402904108
143.2591953873,-12.7569569862
143.2600284019,-12.5472359198
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.2833,-12.7167
143.3,-12.75
143.3947,-12.7419
143.3947,-12.7419
130.551211709,-13.331923996
130.584541739,-13.181926521
130.984543209,-13.315266131
141.750879069,-13.4152893495
142.1667,-13.4167
142.1667,-13.4167
142.1758746589,-13.4236219161
142.459204387,-13.0569566127
142.9580277778,-13.4391388885
143.4167,-13.1667
143.4167,-13.1667
143.4180555556,-13.1649999996
143.484411547,-13.115207566
143.4945241468,-13.1312949311
130.45,-13.4833
130.934542681,-13.915261861
134.3,-13.6667
134.301182163,-13.665245915
135.701169095,-13.581902837
135.792830094,-13.579132826
141.9092116099,-13.8736202606
143.2091979404,-13.9402842338
143.3333,-13.9167
143.3333,-13.9167
143.3333,-13.9167
143.3333,-13.9167
143.3425297979,-13.92361741
143.3425297979,-13.92361741
133.74292,-14.16965
133.751190588,-14.248574192
133.8167,-14.0667
134.084519717,-14.048575622
134.1,-14.05
135.5667,-14.2333
135.567841152,-14.231899449
135.57,-14.23
143.7719444444,-14.2202777778
143.7727777778,-14.2275
125.80138889,-14.61138889
131.65,-14.7167
131.65121255,-14.71525562
141.6875,-14.8667
128.884568856,-15.398598807
128.9,-15.4
144.43,-15.1966666662
144.45,-15.35
144.45,-15.35
144.4591871079,-15.3569415802
144.6,-15.25
144.6091851887,-15.2569417344
129.101240755,-15.765269677
145.225,-15.7916666662
145.2258456254,-15.6069387214
145.2638888889,-15.6322222217
124.9667,-16.35
124.967941691,-16.348624045
124.97,-16.35
137.8833,-16.45
137.884498042,-16.448549603
145.3333,-16.2667
145.3333,-16.2667
145.3333,-16.2667
145.3667,-16.3333
145.3667,-16.3333
145.3667,-16.3333
145.3667,-16.3333
145.3667,-16.3333
128.5,-16.7
128.5,-16.7
128.501251117,-16.748602874
137.9986,-16.5578
138.067834179,-16.965216223
138.0759241921,-16.9736190777
145.5008446435,-16.4986005989
145.62,-16.82
