"longitude","latitude"
130.584535378,-11.398602025
132.067864037,-11.248598607
132.143696954,-11.15526365
132.14696,-11.14898
132.5833,-11.35
132.58949292,-11.34859266
130.4306,-11.8086
130.951204005,-11.931929005
132.6424,-11.4956
142.1,-11.5
142.108,-11.5083
142.1092058737,-11.5069654321
131.0833,-12.4167
132.2833,-12.3833
132.284522988,-12.381920386
132.351192736,-12.348592004
132.3833,-12.4
132.7,-12.0333
132.701194983,-12.031924561
134.25117543,-12.18191413
134.9,-12.1
134.9,-12.0833
134.901169791,-12.115251182
134.967844655,-12.18190639
136.904759731,-12.386340404
136.92615348,-12.3596799
130.92,-12.75
130.933108142,-12.623892276
130.950614824,-12.766693529
131,-12.7
131.001212549,-12.698594352
131.034265673,-12.593595815
131.25,-12.5833
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.284534737,-12.581923924
131.3333,-12.5833
131.35,-12.6667
131.35,-12.6667
131.35,-12.52
131.35,-12.52
131.35,-12.5167
131.351205142,-12.515265939
131.35121055,-12.66526366
132.5,-12.67
132.5,-12.6667
132.50119238,-12.66525494
135.0866,-12.6409
136.484493509,-12.798572348
136.790042768,-12.513847366
141.6583,-12.525
141.6592118763,-12.5236272137
141.8758764858,-12.6402929673
130.101222007,-13.215270563
130.234545673,-13.348597944
130.330665191,-13.326658899
131.117881302,-13.248590004
134.934504754,-13.04857234
136.138387471,-13.429129883
141.7667,-13.3667
141.7667,-13.3667
141.7676,-13.3653
141.7676,-13.3653
141.767773109,-13.365214781
141.77,-13.37
141.7758787358,-13.3736228381
130.4667,-13.65
129.734530827,-14.015294332
135.7167,-14.2833
135.71784862,-14.28189999
144.2508540917,-14.4152799301
128.1833,-14.7333
128.55,-14.9
128.65,-14.81
129.58321,-14.90537
129.61789938,-14.49860284
134.734515833,-14.731905495
141.6,-14.9
141.6167,-14.9
141.6167,-14.9
141.687,-14.87
141.6875493533,-14.8686163768
143.8333,-14.55
143.875,-14.5416666662
143.875858506,-14.5402800295
143.9,-14.5
143.9,-14.5
143.901081178,-14.548524968
143.908,-14.5583
143.9091915053,-14.5569465495
143.9333,-14.7833
143.9425249588,-14.790278686
143.98,-14.65
143.98,-14.65
143.9842,-14.6653
143.992,-14.6583
143.9925241583,-14.6736124831
143.9925244568,-14.6569455643
128.1,-15.4667
128.1,-15.4667
128.13046,-15.06881
128.14008,-15.07945
128.14666667,-15.08972222
128.15,-15.15
128.1552101,-15.1041079
128.1833,-15.25
128.60805556,-15.04138889
129.99028,-15.40898
135.53833,-15.27333
135.710134149,-15.310871625
141.5833,-15.3333
141.5925510488,-15.1736153586
142.17166667,-15.46305556
143.7333,-15.2167
143.7333,-15.2167
143.7342,-15.2153
143.742,-15.225
143.7425281281,-15.2236104093
143.8667,-15.1833
143.8676,-15.1819
143.8676,-15.1819
143.867760171,-15.18185332
143.875,-15.1917
143.8758599109,-15.1902769425
126.61666667,-15.93333333
127.85,-15.72
128.1167,-15.4833
128.119931,-15.486777
128.12166667,-15.64833333
128.12166667,-15.48638889
128.12166667,-15.48638889
128.1217,-15.6483
128.2,-15.5833
128.21791413,-15.54860267
128.25,-15.55
128.25,-15.55
128.25,-15.52
128.251242126,-15.548600861
128.3,-15.5
128.767913122,-15.565273096
129.0903,-15.8347
136.334505557,-15.61523452
136.38,-15.65
136.3833,-15.65
136.384505392,-15.648556798
136.5667,-15.9167
136.567847005,-15.91522445
136.634506386,-15.748560347
141.5,-15.75
141.5,-15.7
141.5092200323,-15.7569466656
141.7472731646,-15.7800015585
128.5333,-16.2833
128.53333333,-16.28333333
128.534577866,-16.281934694
136.167658,-16.065366
129.0775,-16.9439
138.2363888889,-16.7230555556
122.1833,-17.2333
122.18333333,-17.23333333
122.665,-16.985
123.62,-17.32
123.62333333,-17.30333333
123.62333333,-17.25972222
123.633333333333,-17.3166666666667
123.68333333,-17.36666667
123.95416667,-16.98138889
123.9542,-16.9814
138.15518333,-17.4064299995
141.0670072538,-17.435553518
122.27,-17.95
122.2833,-17.9667
122.62555556,-17.84583333
139.55,-17.75
139.5842455353,-17.7486127844
139.9005555556,-17.7569444444
141.08626111,-17.641375
141.0925632618,-17.6569417161
141.0925636467,-17.7736080669
141.0983965482,-17.6611083539
141.0986111111,-17.6638888889
141.0986111111,-17.6638888889
141.113,-17.4948
141.1133958474,-17.4933309961
127.6667,-18.1667
127.79,-18.25
137.116666667,-18.654166666
118.61924477,-20.34552119
119.78944444,-19.97916667
141.1936111111,-20.9633333327
116.242999,-21.026546
119.8725,-23.3175
