"longitude","latitude"
142.3925356226,-10.9069686365
132.25449,-11.39835
132.34208,-11.27266
142.3667,-11.1667
142.3667,-11.1667
142.3667,-11.1667
142.3758693975,-11.1736337356
142.434,-11.4383
142.4344,-11.4383
130.667878549,-11.665265889
130.834533269,-11.698599483
130.834537358,-11.598598021
142.4925354853,-11.7402969992
142.5,-11.8
142.5,-11.8
131.086111111,-12.459166666
132.6636,-12.2872
132.66361,-12.28726
132.6667,-12.2917
132.867890531,-12.315289078
133.33451532,-12.33191287
133.884508966,-12.065258749
131.05,-12.5667
131.051210571,-12.565268828
131.08,-12.55
131.084537753,-12.548599516
131.084537753,-12.548599516
131.892,-12.714
132.83,-12.83
132.83333333,-12.83333333
132.834521248,-12.831918769
132.834525876,-12.848582849
132.834525876,-12.848582849
132.85,-12.85
132.85,-12.8333333333333
132.85,-12.83
132.851190586,-12.831883919
132.851196007,-12.848584319
132.870277777778,-12.8313888888889
132.9,-12.75
132.9,-12.57
132.901195886,-12.565261914
132.90119675,-12.7485848
132.911198075,-12.786358796
132.9471,-12.7581
133.003691604,-12.819692842
133.4189,-12.59
135.584502524,-12.748575559
135.6,-12.72
135.6,-12.7167
135.60117117,-12.71524415
142.0569043684,-12.6422883986
130.692870174,-13.079707754
130.7167,-13.0667
130.72,-13.07
130.7917,-13.1135
130.843388889,-13.095972222
131.151208615,-13.39859154
131.2111,-13.3583
132.406595141,-13.219244943
132.4167,-13.4167
132.451200791,-13.46525675
132.551194875,-13.331919778
132.551199293,-13.281920122
132.5583,-13.3333
132.5583,-13.3333
132.559498983,-13.331882387
132.5667,-13.2833
132.57,-13.28
132.6167,-13.4667
132.617872632,-13.465257129
132.62,-13.47
130.856496115,-13.493318558
131.7053,-13.8531
132.2,-13.53
132.201204531,-13.531921361
132.25,-13.57
132.25119963,-13.56525652
132.2667,-13.5667
132.267875124,-13.565259037
132.451203735,-13.531920683
132.48,-13.57
132.484527651,-13.565251933
136.751165191,-13.898568908
126.36666667,-14.20833333
126.36666667,-14.20833333
126.3667,-14.2083
126.3667,-14.2083
126.367919788,-14.198612135
126.367919788,-14.198612135
126.37,-14.2083
130.1817,-14.3333
130.182,-14.3333
130.182891408,-14.331928075
130.516,-14.243
130.51656,-14.24326
130.688441924,-14.178870605
130.807,-14.135
130.8073,-14.1353
132.1667,-14.1667
132.184535024,-14.181916035
132.417871073,-14.31525324
132.42,-14.32
132.47,-14.33
132.4756,-14.33
132.511,-14.261
136.58446,-14.06194
130.08,-14.52
130.084559956,-14.51526305
130.1019,-14.4828
130.103164812,-14.481375367
126.225,-14.9787
126.22527778,-14.97861111
130.984551533,-15.021933479
145.08,-15.25
145.0833,-15.25
145.0925130254,-15.2569407162
