"longitude","latitude"
142.6811,-11.7603
142.7214801602,-11.6623127204
142.75,-11.6667
142.75,-11.6667
142.759199262,-11.6736304026
142.8028683149,-11.7189789931
142.8217568969,-11.6189795067
142.9167,-12.45
142.9247,-12.4617
142.9255874124,-12.4602924234
143.4,-12.2833
133.301187834,-12.581917555
133.35,-12.82
133.35,-12.82
133.35,-12.8
133.35,-12.8
133.351064167,-12.8094722
133.351190242,-12.798580533
133.351192326,-12.815258205
133.356549558,-12.815834085
133.3586,-12.7786
133.358611111,-12.7786
133.359802212,-12.777192766
133.3667,-12.6667
133.36785561,-12.81525362
133.36785824,-12.66525231
133.37,-12.67
133.384519233,-12.748581425
133.467860859,-12.565259361
133.47,-12.57
143.1667,-12.75
143.1667,-12.75
143.1758629506,-12.7569571076
143.1949180337,-12.5736247533
143.2,-12.75
143.25,-12.9167
143.25,-12.9167
143.2508621312,-12.7486237106
143.3,-12.75
143.25,-13
143.2591957749,-13.0069556315
143.2591963228,-13.3402872003
143.2591963228,-13.3402872003
143.25,-13.9
143.2833,-13.8333
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.325862942,-13.723618447
143.3333,-13.9167
143.3333,-13.9167
143.3333,-13.75
143.3333,-13.75
143.3333,-13.75
143.3333,-13.75
143.3333,-13.6667
143.3333,-13.6667
143.3425293376,-13.6736186728
143.3425294888,-13.7569515822
143.3425297979,-13.92361741
143.348,-13.7392
143.34805556,-13.7391666696
143.3481,-13.7392
143.3667,-13.75
143.3667,-13.7333
143.37586243,-13.7402849454
143.4175286594,-13.7486181605
143.4175289675,-13.915283984
143.4175289675,-13.915283984
143.4175289708,-13.9152839873
143.4258619783,-13.7902846007
143.459195259,-13.9569503667
143.4667,-13.5333
143.4667,-13.5333
143.4758609865,-13.5402858
144.9200277484,-15.1200609464
144.9634079297,-15.2645136668
144.97555556,-15.2744444395
144.9756,-15.2744
144.976,-15.2744
144.9764633665,-15.2731247149
144.98,-15.27
144.9925142055,-15.2736075109
145.1758465536,-15.7569381184
145.2508456707,-15.7486046575
145.2667,-15.75
145.2667,-15.75
145.2667,-15.7167
145.2758454024,-15.7569378954
145.28,-15.8
145.2916666667,-15.8583333328
145.291975634,-15.7867468042
145.2925119596,-15.7902710362
145.325,-15.808333333
145.325,-15.8083333328
145.3591781737,-15.9236035843
145.4175104135,-15.7486042873
145.0602932347,-16.1286033245
145.1167,-16.2667
145.33,-16.33
145.3333,-16.3333
145.3333,-16.3333
145.3333,-16.3333
145.3333,-16.05
145.3425127391,-16.3402683625
145.38,-16.17
145.4,-16.3167
145.4,-16.27
145.408,-16.13
145.4091784631,-16.2736018411
