"longitude","latitude"
142.2833,-10.6167
144.9279156046,-16.2185554381
145.2,-17.47
145.2008,-17.2967
145.2017440412,-17.2953382184
145.2091840761,-17.4735972003
145.22,-17.32
145.225,-17.325
145.2833,-17.2667
145.2833,-17.2667
145.2833,-17.2667
145.2833,-17.2667
145.2833,-17.2667
145.2833,-17.2667
145.2833,-17.2667
145.2925158615,-17.2735977876
145.2925158615,-17.2735977876
145.3,-17.3333
145.3333,-17.4167
145.3333,-17.3667
145.3425155659,-17.3735972444
145.35,-17.3833
145.35,-17.38
145.35,-17.38
145.3506,-17.3761
145.3591820836,-17.3902638017
145.4333,-17.3833
145.4333,-17.3833
145.4333,-17.3833
145.4333,-17.3333
145.4425144482,-17.3902635748
145.12372222,-17.56086111
145.2441666667,-17.4827777773
145.2442222222,-17.4827222217
145.3191666667,-17.5388888889
145.3333,-17.9167
145.1717465019,-17.9889469992
145.32,-18.45
145.3258521741,-18.3735934294
145.33,-18.42
145.3333,-18.4167
145.3333,-18.4167
145.3422222222,-18.3830555556
145.3425183758,-18.2902603521
145.3425188086,-18.4235931983
145.2,-18.6
145.2,-18.6
145.2508537376,-18.5819262405
145.2508537376,-18.5819262405
145.2833,-18.5333
145.2833,-18.5333
146.0200125298,-18.9441448297
145.9333,-19.15
146.03,-18.98
146.049,-18.987
146.0494,-18.9875
146.0494444444,-18.9875
146.05,-19
146.0833,-19
149.08,-23.92
149.0841612837,-23.9152303501
151.2667,-24.1667
151.2757993153,-24.1568874107
151.3041320605,-24.1166096256
147.4121326104,-24.874374864
147.413,-24.874
147.9419596097,-24.972733417
148.500838632,-24.4985650171
150.892474959,-24.8902205536
147.0833,-25
147.6930707576,-25.4272743982
147.87,-25.1
148.3333,-25
149.18,-25.3
149.1833,-25.3
149.2258333056,-25.3068937445
149.4663851039,-25.2130039323
149.9833,-25.2
150,-25.08
150,-25.08
150.13,-25.45
150.13,-25.43
150.1333,-25.45
150.15,-25.45
150.1667,-25.4167
150.1705433358,-25.4288337367
150.7461573244,-25.3394630248
150.7786566348,-25.2905740607
150.955,-25.4311
150.9553,-25.4311
150.9591434818,-25.4235524744
151.0091426973,-25.4068856216
151.0513888889,-25.0813888882
151.3621111111,-25.4223055549
148.825839687,-25.4902286288
148.9198772778,-25.5935940017
151.3386666667,-25.5126388882
151.3386667,-25.5126388993
151.4978152552,-25.5266814739
151.78,-25.9
151.7933009819,-25.9091033824
147.4425290905,-26.2569010643
149.9641666667,-26.4230555548
150.05,-26.4167
150.0841611835,-26.4152214819
150.5,-26.43
150.5,-26.25
150.7333,-26.3667
150.7508185595,-26.4152183544
150.761,-26.469
150.7661,-26.4281
150.7661,-26.4281
150.7661,-26.4281
151.12,-26.43
151.3,-26.0166667
151.305621746,-26.009885698
151.357222222222,-25.9869444444444
151.358,-25.985
151.3580974843,-25.9855702781
151.364905738,-25.9852914659
151.6091381145,-26.1235482407
151.8424676636,-26.0402140217
151.8424677515,-26.0568806529
151.9174677331,-26.2485466209
146.47,-26.58
146.5925441751,-26.8569047283
146.599166666,-26.8819
146.5992,-26.8819
146.6050438577,-26.8844049905
149.5333,-26.8
150.5355555556,-26.9202777778
150.75,-26.97
150.75,-26.9667
152.0258011401,-26.540212274
146.6092124571,-27.1902382512
146.6092124571,-27.1902382512
150.72,-27.07
150.7258227842,-27.0735509229
150.7258228846,-27.0902175699
150.7333,-27.0333
150.7758219784,-27.056884032
150.8091549411,-27.0735505213
150.9167,-27.0833
150.9258199576,-27.0735499602
151.79375,-27.2867222214
151.79375,-27.2867221992
151.8424748066,-27.2902119591
151.9975405105,-27.1616767793
152.0758045627,-27.2568775642
149.3258479915,-27.9735571958
149.5219,-27.9492
149.521944444444,-27.9491666666667
149.5228558196,-27.9478002128
149.5258450057,-27.9402228441
149.53,-27.97
149.5333,-27.9667
149.5333,-27.9667
151.0389,-27.8286
151.0389,-27.8286
151.0397118575,-27.8271596992
151.068320424,-27.4838265701
151.1667,-27.65
151.17,-27.65
152.08,-27.58
152.0841397226,-27.5818770821
152.0899737911,-27.7165991067
152.1071944393,-27.4985437473
147.1667,-28
148,-27.9833333333333
149.2833,-28
149.2833,-28
149.3258481012,-27.9902238552
149.4925126811,-28.0235563097
149.5,-28.0167
149.5,-28
149.58,-28.08
151,-28.2167
151.0029961966,-28.2207973555
151.2133245608,-28.4632694248
151.2258243387,-28.4568804764
151.276388888889,-28.3697222222222
151.2772802334,-28.3683462704
151.7,-28.07
151.7225190975,-28.0823692048
151.7256056323,-28.0811218239
150.775,-28.8
150.775,-28.8
150.851,-28.8072
150.973884264,-28.5696594773
151.0441667,-28.6155556
151.0449946471,-28.6141035292
150.3167,-29.18333
150.82,-29.1
151.114,-29.3978
151.25,-29.38
151.262,-29.399
151.32,-29.23
151.35,-29.4417
151.3667,-29.38333
151.4125,-29.31306
151.4136,-29.3114
151.4167,-29.4167
151.7,-29.37
151.7,-29.3667
151.7,-29.35
151.7,-29.31667
150.2,-29.73
150.2167,-29.71667
150.22,-29.72
150.57,-29.5492
150.57,-29.52
150.58,-29.53
150.5833,-29.55
150.5833,-29.53333
150.5833,-29.53333
150.5833,-29.51667
150.6167,-29.56667
150.6333,-29.56667
151.1167,-29.76667
151.1333,-29.55
151.2333,-29.51667
151.4333,-29.48333
151.4333,-29.48333
153.016,-29.9286
