"longitude","latitude"
142.4,-10.9
142.4,-10.9
142.4,-10.9
142.4,-10.9
142.4,-10.9
142.6,-12.3
142.6,-12.3
142.6,-12.2
142.6,-12.2
142.6,-12.1
142.6,-12.1
135.68,-12.75
135.7,-12.7
135.85,-12.75
132.29,-13.65
143.4,-13.7
143.4,-13.7
143.4,-13.7
125.787719,-14.779837
125.787719,-14.779837
125.787719,-14.779837
145,-15.5
145.1,-15.6
145.2,-15.5
145.2,-15.5
145.2,-15.5
145.3,-15.9
145.3,-15.9
145.3,-15.9
145.3,-15.9
145.3,-15.9
145.3,-15.9
145.3,-15.9
145.3,-15.8
145.3,-15.8
145.3,-15.7
145.3,-15.7
145.3,-15.7
145.3,-15.7
145.3,-15.5
145.3,-15.5
145.3,-15.5
145.3,-15.5
145.4,-15.9
145.3,-16.8
145.5,-16.6
145.5,-16.6
145.5,-16.6
145.5,-16.6
145.5,-16.6
145.5,-16.6
145.5,-16.6
145.5,-16.6
145.5,-16.5
145.5,-16.5
145.6,-16.7
145.6,-16.7
145.6,-16.7
145.6,-16.7
145.6,-16.7
145.6,-16.7
145.7,-16.7
145.2,-17.4
145.2,-17.4
145.2,-17.4
145.2,-17.4
145.2,-17.4
145.2,-17.4
145.2,-17.3
145.3,-17.4
145.3,-17.4
145.3,-17.4
145.3,-17.4
145.3,-17.4
145.3,-17.4
145.3,-17.3
145.4,-17.3
145.4,-17.3
145.4,-17.3
145.4,-17.3
145.4,-17.3
145.4,-17.3
145.4,-17.3
145.4,-17.3
145.5,-17.3
145.5,-17.3
145.5,-17.3
145.5,-17.3
145.5,-17.3
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.5,-17.2
145.6,-17.2
145.6,-17.2
145.6,-17.2
145.6,-17.1
145.6,-17.1
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145.7,-17.2
145,-17.5
145.8,-18.1
146.1,-18.9
146.2,-18.7
146.2,-19
146.4,-19.1
146.8,-19.4
147,-19.5
147,-19.5
147,-19.5
147,-19.5
148.6,-20.8
148.6,-20.8
148.7,-20.8
148.7,-20.8
148.7,-20.8
148.7,-20.7
148.4,-21.1
148.4,-21.1
148.4,-21.1
148.7,-21
148.8,-21
149.2,-21.4
149.2,-21.4
149.1,-21.5
149.1,-21.5
149.3,-21.7
149.3,-21.7
149.3,-21.7
149.3,-22.4
149.3,-22.4
149.3,-22.4
149.4,-22
149.4,-22
149.4,-22
150,-22.9
150,-22.9
150.6,-23.3
150.4,-23.6
150.4,-23.6
150.4,-23.6
150.4,-23.6
152.4,-25.6
152.4,-25.6
152.5,-26.7
