"longitude","latitude"
131.19181,-11.30402
132.101193325,-11.448599383
132.155,-11.3853
132.156195933,-11.38386466
132.36328,-11.36151
130.42801,-11.79893
130.5495,-11.8186
130.567880062,-11.54860138
130.8917,-11.7694
130.8917,-11.7694
130.892870397,-11.768045961
130.90120423,-11.81527283
130.901204231,-11.748602063
130.91787157,-11.74859902
131,-12.1667
131.0845339,-12.1652685
131.0845339,-12.1652685
131.0845339,-12.1652685
133.15,-12.0333
133.2167,-12.4167
133.217861066,-12.41525704
133.240469925,-12.414654518
143.1258629763,-12.4069591047
132.484528794,-12.515261592
132.818612725,-12.841202284
132.884496043,-12.698584219
132.9667,-12.4833
132.967860863,-12.481914185
132.967888665,-12.481887281
133.151188532,-12.53191592
133.734486188,-12.765278855
131.084537697,-13.031927463
131.151208615,-13.39859154
131.1667,-13.1667
131.05,-13.4917
131.051214584,-13.490256344
131.15,-13.4833
131.151213465,-13.481927354
132.4833,-13.5667
132.484527651,-13.565251933
132.5167,-13.5
132.51786758,-13.51525372
132.60120255,-13.73191496
132.601204645,-13.581914316
