"longitude","latitude"
132.781861111,-11.918666667
131.61787225,-12.43192628
131.7336,-12.4064
131.734,-12.4064
132.52,-12.47
132.9022,-12.3692
132.967864688,-12.415260231
133,-12.4
133.001186696,-12.398588886
134.96777,-12.46994
142.6405555556,-12.4552777778
130.518611111,-12.931944444
131.001205234,-12.715296359
131.151207333,-12.848592204
131.1667,-12.95
131.28,-12.55
131.284534628,-12.548597637
131.3,-12.5666666666667
131.301203272,-12.565262727
131.667873341,-12.581927266
131.67,-12.58
131.73,-12.52
132.5253,-12.6719
132.56786422,-12.54859233
132.867864376,-12.665257564
132.88,-12.67
132.88,-12.55
132.884494933,-12.665290949
132.884521387,-12.631916491
132.903662125,-12.672537042
135,-12.48
135.00117736,-12.48191305
135.001177435,-12.498579286
135.01355,-12.4799
136.181722255,-12.699123517
130.2119,-13.1097
130.434549768,-13.281923909
130.517882972,-13.048596297
130.5667,-13.2
130.567885934,-13.198598315
130.57,-13.2
130.6667,-13.2
131.07613,-13.86281
131.1,-13.48
131.101211506,-13.481926227
131.43,-13.77
131.45,-13.75
131.451206571,-13.748595321
144.1,-14.73
144.1,-14.7
144.1,-14.7
144.101082332,-14.731858405
144.109189336,-14.7402789265
132.33444,-15.41882
128.7,-15.7
128.7,-15.7
136.284511839,-16.065227219
145.3008,-16.2503
145.3017,-16.249
145.3017400567,-16.2489531275
145.3258460106,-16.2402688573
141.2196151666,-16.9154212825
145.709,-16.843
145.7091,-16.843
145.7091764589,-16.8430429918
145.7508428333,-16.9152647908
145.5484065995,-17.1714488506
145.5833,-17.3333
145.5986320437,-17.1366294627
145.599,-17.137
145.8758428385,-17.4402622081
145.9,-17.92
146.0675,-19.8153
146.07,-19.82
146.0758483151,-19.8235861011
146.2,-19.87
146.2091802263,-19.8735854972
149.153594848,-22.6790460809
151,-23.8333
151.08,-23.92
151.0841338228,-23.9152224967
151.1333,-23.9333
151.26093469,-24.21515434
151.8091275223,-24.6402173064
151.4806166667,-25.604716666
151.77861111,-25.6849999993
152.762777778,-26.9111111111
152.762777778,-26.9111111111
152.76277778,-26.91111111
152.7628,-26.9111
152.763,-26.911
152.76357,-26.90965
152.192,-27.257
152.1927472988,-27.2560436793
152.75,-27.42
152.7507956331,-27.4152074789
152.7507956331,-27.4152074789
152.8591267342,-27.3068738072
152.8757940365,-27.4568734942
152.8817384066,-27.4599012384
152.9275,-27.28222222
153.1333,-28.2333
152.5833,-30.5167
