"longitude","latitude"
142.3833,-10.8833
142.3833,-10.8833
142.4425350219,-10.8236357589
142.4758679757,-10.7903026007
132.9,-11.4
142.1683,-11.195
142.2758333333,-11.1047222222
142.4092026132,-11.3902991052
142.4175355346,-11.0819675685
142.5842006283,-11.2486330795
130.5333,-11.5833
132.9197,-11.7703
131,-12.1667
132.4667,-12.4667
132.9442,-12.3575
134.9167,-12.3167
134.9167,-12.3167
134.9167,-12.3167
135.5667,-12.0333
142.4556,-12.4556
142.4556,-12.4556
142.55,-12.0667
142.559201875,-12.0736283785
142.6425348833,-12.473626074
142.764,-11.982
142.7642579059,-11.9825887692
142.7759244574,-11.9798109892
130.966666666667,-12.6666666666667
130.9667,-12.6667
135.4667,-12.8833
141.7780159881,-12.5097938101
141.8592099916,-12.640292992
142.121944444,-12.6761111106
143.2591950196,-12.5069583675
143.2925283866,-12.7736235131
141.7758780781,-12.9902913637
141.7758787358,-13.3736228381
141.959209933,-13.2402898399
143.03305556,-13.19555556
142.2508744656,-13.7486202224
143.3185048239,-13.7148407181
143.3425297979,-13.92361741
126.5417,-14.1833
126.5417,-14.1833
126.5417,-14.1833
126.5417,-14.1833
127.2,-14.1
142.8113669404,-13.9947384294
143.3425301193,-14.090283253
143.3425301808,-14.123616419
144.4166666667,-14.2499999995
144.4925175858,-14.1736140574
125.6833,-14.8333
125.6833,-14.8333
125.7327,-14.6751
125.76666667,-14.86666667
126.2,-14.8833
126.8083,-14.8417
126.95,-14.65
142.8425363547,-14.5069488901
143.2425327849,-14.8569464727
143.292531952,-14.7236136506
143.25611111,-15.14611111
143.256111111,-15.146111111
144.9200277484,-15.1200609464
125.27588889,-15.93647222
143.3631,-15.4842
143.4175325476,-15.5819428748
143.992526254,-15.6069414628
144.2167,-15.7833
144.25,-15.5
144.2591897033,-15.5069413201
144.3091896469,-15.7186069128
144.45,-15.55
144.5008536325,-15.498607493
144.5167,-15.6333
144.5347222222,-15.6427777773
145.02444444,-15.7274999995
145.3425116998,-15.9236036221
145.3758446477,-15.9236035465
143.0991556161,-16.1981140668
145.2397,-16.02
142.0425498925,-16.5402758475
143.8091973523,-16.5402712823
145.3405411989,-16.5933227898
145.60833333,-16.9249999995
145.6091778492,-16.9235984466
125.33866667,-17.16733333
125.4167,-17.2833
125.417728,-17.282065
126.65348,-16.99458
143.7333,-17.3667
143.7333,-17.3667
143.7425338185,-17.3736016119
145.45,-17.2833
145.45,-17.2833
145.45,-17.2833
145.45,-17.2833
145.5841785799,-17.0819311606
145.9092,-17.115
143.95107916,-17.55865035
144.0841983221,-17.9152653794
144.0841983221,-17.9152653794
145.1091858849,-17.6902632885
145.5,-17.6667
145.8428,-17.8669
142.2417200243,-18.2263841022
142.2667,-18.3
144.5091945861,-18.2569296058
144.5391666667,-18.1841666667
145.8758454232,-18.2902587929
145.9833,-18.1333
146.0841761464,-18.2485916845
146.1758414836,-18.1735917169
146.25,-18.4167
146.259174611,-18.4235904954
142.5667,-18.85
142.5842183926,-18.9152669767
143.7425382607,-18.7402637275
143.75,-18.9583
146.4577001404,-19.3368213089
146.6044506741,-19.161920009
146.82,-19.27
146.8925025896,-19.1235859286
146.9925018786,-19.2735850606
146.7508398508,-19.7485841327
146.91310254,-20.4744261084
147.5328120437,-20.2775520706
147.7758284573,-20.1069128677
148.2591552669,-19.990245058
148.2591553836,-20.0235782671
148.45,-20.07
148.45,-20.0667
148.4591527242,-19.9902444172
148.4591529035,-20.0402442283
148.4591530235,-20.0735774363
148.4758194177,-20.0569107786
148.5258188997,-20.0902438258
148.5591520483,-20.1569101347
148.5700815016,-20.4737001524
148.7508165919,-20.248575837
148.7508165919,-20.248575837
148.7508165919,-20.248575837
148.8924822618,-20.4735745368
148.9091474364,-20.1235758018
146.5841783753,-20.5819153395
146.8719523504,-20.5138589963
147.9174951214,-20.5819107484
148.659153667,-20.5843853502
148.8091511338,-20.7735737317
148.9424830625,-20.8569063191
148.9424831265,-20.873572927
148.9758159,-20.8402395986
149.2167,-21.0833
149.2258136145,-21.0902378652
148.2175774758,-21.9652470378
148.2258284224,-21.55690654
148.23,-21.53
148.2306454726,-21.5451412177
148.2333,-21.55
148.234226,-21.765315
148.237442377,-21.5496076476
148.2424948065,-21.5402398635
148.2424957832,-21.7735724994
148.25,-21.9667
148.2508296121,-21.9152387234
148.3424947808,-21.840238601
148.35,-21.9
149.1844444444,-21.6086111105
148.7333,-22.35
150.7966327997,-22.7460600434
150.609138009,-23.3402256396
150.7591346054,-23.0402259416
150.7591346054,-23.0402259416
150.7591346797,-23.0568925579
150.7591349778,-23.1235590246
150.7591349778,-23.1235590246
150.4174758621,-23.7485586166
