"longitude","latitude"
142.3,-11.3
142.3,-11.3
142.3,-11.2667
142.3092035293,-11.2736332197
142.317,-11.274
142.4,-11.3333
142.4092025579,-11.3402993957
142.4092026165,-11.3902991019
142.6167,-11.1167
142.625866727,-11.1236337802
142.5,-11.8333
142.5,-11.8333
142.5092021004,-11.8402964135
142.5092021004,-11.8402964135
142.55,-11.75
142.5592014717,-11.756963492
142.6758667106,-11.5902976471
142.7508661068,-11.7486299798
142.7719,-11.8594
142.77194444,-11.85944444
142.8567569286,-11.9287000464
142.75,-12.0167
142.7566666667,-12.2319444444
142.7566944444,-12.2318888885
142.833333333333,-12.25
142.9167,-12.45
142.9167,-12.45
142.9241554664,-12.4492951733
142.9712476825,-12.4742626769
142.9833,-12.3333
142.9925309791,-12.3402929964
143.0091976525,-12.4736255645
143.0667,-12.3
143.0667,-12.3
143.0667,-12.25
143.0667,-12.1333
143.0667,-12.1333
143.07,-12.25
143.0758633042,-12.2569600157
143.0758633726,-12.3069597347
143.0833,-12.3667
143.0833,-12.2333
143.0833,-12.1667
143.0833,-12.1667
143.0833,-12.1667
143.0842,-12.2319
143.0842,-12.2319
143.08461111,-12.1742611096
143.0925296838,-12.1736271316
143.0925297701,-12.2402934212
142.9667,-12.4833
143,-12.95
143,-12.92
143.0841975122,-12.915289722
143.1,-12.7666666666667
143.1,-12.75
143.1091969997,-12.7569572049
143.2217,-12.7375
143.2508621312,-12.7486237106
143.27,-12.72
143.42,-12.92
142.8653250774,-13.3246220019
142.9,-13.3833
142.9700277778,-13.2229722218
142.2167,-13.5333
142.2258743438,-13.5402879312
142.9092004334,-13.5402867572
143.16694444,-13.72083333
143.1833,-13.7333
143.1925310815,-13.7402852618
143.7324422531,-14.2889130898
143.7325,-14.2855555556
143.7325,-14.2855555556
144.1667,-14.2333
144.1667,-14.2333
144.1758545823,-14.2402809625
143.2425326395,-14.7902801116
143.518363075,-14.8416682004
143.7927777778,-14.6886111111
143.658,-15.082
143.658208,-15.0819339995
144.4175210446,-15.4152747304
144.45,-15.35
144.4591870695,-15.3402749924
144.6833,-15.2833
144.6833,-15.2833
144.684401253,-15.281852855
144.6925176543,-15.2902747311
144.8378,-15.3072
144.8392238,-15.10107817
144.8808,-15.1139
144.8808,-15.1139
144.8833,-15.2833
144.8833,-15.2833
144.8925153862,-15.2902743105
144.9110013894,-15.2707228664
144.9258482992,-15.2736076513
144.9311111111,-15.2711111111
144.9392,-15.2697
144.9400147926,-15.2683298694
145.0347,-15.3875
145.1831,-15.4386
145.1831,-15.4386
145.18311111,-15.43861111
145.2167,-15.4667
145.2333,-15.45
145.2333,-15.45
145.2341,-15.1153
145.2341,-15.1153
145.2358451515,-15.451106126
145.2425110133,-15.1236077365
145.25,-15.47
145.25,-15.4667
145.25,-15.4667
145.2508448976,-15.4152729395
144.0342,-15.6819
144.0342,-15.6819
144.0425258976,-15.690274312
144.0841918387,-15.5819413689
144.2636,-15.8331
144.2833,-15.5
144.2833,-15.5
144.2925231393,-15.7069403364
144.45,-15.5667
144.4591876119,-15.5736072374
144.4667,-15.6167
144.4667,-15.6167
144.4667,-15.6167
144.46752,-15.61528
144.4676,-15.6153
144.4676,-15.6153
144.4758542091,-15.6236069701
144.5083333333,-15.6583333328
144.5833,-15.6667
144.584410254,-15.665184928
144.5925196765,-15.6736064791
144.6,-15.7167
144.8667,-15.7333
144.867577,-15.732012
144.867748358,-15.73184499
144.9175157662,-15.5819395199
144.99055556,-15.56675
144.990583,-15.56675
144.990583,-15.56675
145.0244444444,-15.7274999995
145.05833333,-15.62333333
145.25,-15.5
145.25,-15.5
145.25,-15.5
145.25,-15.5
145.25,-15.5
145.25,-15.5
145.2591784207,-15.540272308
144.0833,-16.0833
144.7258532446,-16.373603035
144.75,-16.42
144.75,-16.4167
144.75,-16
144.7591852632,-16.0069379121
144.7667,-16.4167
144.767755045,-16.415182878
144.7758528051,-16.4236026961
144.7758528051,-16.4236026961
144.783,-16.4333
144.7833,-16.4333
