"longitude","latitude"
132.52732,-11.41078
142.434,-11.4383
142.4353135023,-11.4369654664
132.89598,-12.09322
132.32,-12.57
132.78,-12.85
132.9,-12.6
132.934524179,-12.79858951
132.9667,-12.6
134.3303,-12.5531
143.1676,-12.5819
143.167753961,-12.581872404
143.1758627027,-12.5902913581
143.176,-12.59
132.454,-13.1108
132.455643673,-13.109417868
132.48,-13.45
132.57,-13.28
132.57,-13.28
132.2,-13.53
132.47,-13.55
132.5513,-13.9205
130.79674,-14.08084
130.797,-14.081
132.33832,-14.0616
132.4624,-14.2847
132.5,-14.3
132.56,-14.23
132.5981,-14.0426
132.60504,-14.06826
132.6271,-14.0857
129.6704,-15.2262
129.6922,-15.2679
130.801,-15.1783
130.80112,-15.17861
135.14607,-15.43478
135.45,-15.32
129.48354,-15.53243
132.7156,-15.5764
135.451182487,-15.648569281
128.75,-16.08
129.451236935,-15.998597036
130.901224009,-16.08191658
134.534531826,-16.465235784
134.134538093,-16.681895337
135.551193688,-16.69856345
126.901265175,-17.298613561
