"longitude","latitude"
142.2458,-10.6481
142.2458,-10.6481
142.2458,-10.6481
142.2458,-10.6481
142.25,-10.9167
142.25,-10.75
142.25,-10.75
142.4175352135,-10.748636236
142.4175353697,-10.9153018964
142.4333,-10.85
142.4333,-10.85
142.4333,-10.85
142.4333,-10.8167
142.4333,-10.8167
142.4425350219,-10.8236357589
142.4425350219,-10.8236357589
142.4667,-10.8333
142.4833,-10.7833
142.5167,-11.6667
142.589444444,-11.7580555556
142.5903704434,-11.7567568236
142.591,-11.757
142.6389183904,-11.6746500254
142.7453690431,-11.852589468
142.8425317131,-11.6736303066
132.917859117,-12.465256069
132.9325,-12.3711
132.934521738,-12.365255659
132.934526115,-12.398586711
132.9428,-12.3561
132.95,-12.3833
132.951187868,-12.381920849
132.975,-12.4583
133.001188271,-12.415255009
133.384520857,-12.448582666
141.9291457615,-12.4270415101
141.9299901099,-12.4264689654
142,-12.45
142,-12.25
142.1758729969,-12.3902938382
142.35,-12.0333
142.63,-12.45
142.63,-12.45
142.6425348592,-12.4569594975
142.786,-11.976
142.7862021311,-11.9759221067
142.9167,-12.4167
142.9167,-12.4167
142.9167,-12.2333
142.9258648823,-12.2402936399
143.0667,-12.1167
143.0758631258,-12.1236274369
143.0833,-12.3667
143.0833,-12.25
143.0925297927,-12.2569599938
143.1091961246,-12.1402939662
143.2508616461,-12.4152922253
132.7833,-12.8667
132.7833,-12.8667
132.7833,-12.8667
132.8,-12.8667
132.8,-12.8667
132.801197441,-12.865258585
132.801197441,-12.865258585
132.81556,-12.85989
132.817868399,-12.865253316
132.817868399,-12.865253316
132.8333,-12.85
132.8667,-12.85
132.87,-12.85
132.9,-12.53
132.901189386,-12.481918603
132.913121555,-12.753947989
132.9333,-12.8
132.9333,-12.8
132.934524179,-12.79858951
132.934526542,-12.815254581
132.95,-12.7833
132.951197614,-12.781918937
132.9583,-12.7917
132.984522218,-12.58191668
133,-12.5
133,-12.5
133.001193628,-12.498585338
133.001193628,-12.498585338
133.001193628,-12.498585338
133.001194826,-12.548583305
133.001194826,-12.548583305
133.05,-12.4833
133.051192186,-12.481914748
133.084520879,-12.748584821
133.167864183,-12.581914943
133.333415262,-12.831959301
133.33452099,-12.83191208
133.35,-12.7833
133.351192326,-12.815258205
133.3667,-12.8333
133.3667,-12.8333
133.367672,-12.832044
133.36785877,-12.83191333
133.36785877,-12.83191333
133.37,-12.83
133.601182753,-12.548585414
134.084510035,-12.731913283
141.8333,-12.5
141.8425432953,-12.506960367
142.3,-12.75
142.309205485,-12.7569583881
143,-12.9
143.0091983028,-12.9069565464
143.1,-12.7
143.1,-12.7
143.1,-12.7
143.1091969997,-12.7569572049
143.1829312741,-12.5471885464
143.2167,-12.75
143.2167,-12.75
143.2167,-12.75
143.2167,-12.75
143.2167,-12.7333
143.2167,-12.7333
143.2167,-12.7333
143.2167,-12.7333
143.2167,-12.7333
143.217782685,-12.731845532
143.2258623877,-12.7402904592
143.2333,-12.7333
143.2333,-12.7333
143.2333,-12.7333
143.2333,-12.7333
143.2333,-12.7333
143.242528875,-12.740290435
143.25,-12.5167
143.25,-12.5
143.25,-12.5
143.25,-12.5
143.2508621312,-12.7486237106
143.2591950196,-12.5069583675
143.2591950196,-12.5069583675
143.2591950435,-12.5236249412
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2925,-12.7103
143.2925287199,-12.7736235131
143.3,-12.75
143.3333,-12.6667
143.3333,-12.6667
143.3333,-12.6667
143.3333,-12.6667
143.3333,-12.6667
143.3425276975,-12.6736239913
143.3430832544,-12.6786239629
143.35,-12.6167
143.35,-12.6167
143.35,-12.6167
143.358333333,-12.7916666666
143.358333333,-12.7916666666
143.3591941106,-12.6236242449
143.3667,-12.7833
143.3758609218,-12.8402896928
143.4,-12.8333
143.4,-12.8333
143.432833333,-12.616666667
143.4475,-12.6194444436
132.7667,-13.2333
132.76786422,-13.23191839
132.767895696,-13.398583323
132.784528407,-13.331915347
132.917869114,-13.415255032
132.9333,-13.1167
132.9333,-13.1167
132.9333,-13.1167
132.9333,-13.1167
132.934520665,-13.115258497
132.942485279,-12.991863154
133.0333,-13.0333
133.1,-13.1667
133.1,-13.1667
133.1,-13.1667
133.1,-13.1667
133.101189272,-13.165256764
141.85,-13.28
141.85,-13.28
141.8592110586,-13.2902897638
142.1667,-13.4667
142.1667,-13.4167
142.167801247,-13.465238888
142.1811221342,-13.470666118
142.2508738576,-13.4152884961
142.9342,-13.4319
142.9342,-13.4319
142.9342,-13.4319
142.9342,-13.4319
142.94,-13.0897
142.9408659908,-13.0883445818
142.95,-13.4333
142.95,-13.4333
142.95,-13.4333
142.95,-13.4333
142.95,-13.4333
142.9591997219,-13.4402871792
142.9666990837,-13.1102888708
142.97638889,-13.1166666696
142.9764,-13.1167
142.995640455,-13.1190943325
143.0008653973,-13.1180665497
143.0108625255,-13.1273803751
143.02388889,-13.2044444396
143.02527778,-13.0327777796
143.0253,-13.0328
143.04055556,-13.1191666696
143.0406,-13.1192
142.192541919,-13.8402865619
143.2508641091,-13.9152842828
143.3167,-13.7167
143.325862942,-13.723618447
143.3333,-13.7167
143.3333,-13.7167
143.3758626137,-13.8402844389
143.3833,-13.8667
143.3833,-13.8667
143.3833,-13.8667
143.3833,-13.8667
143.3833,-13.8667
143.3925291613,-13.8736175714
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.5833
143.4258617665,-13.6736185295
143.4258617665,-13.6736185295
143.4667,-13.9167
143.4667,-13.9167
143.4667,-13.8833
143.4667,-13.8833
143.4667,-13.8833
143.4667,-13.8833
143.4667,-13.8833
143.4758616192,-13.8902840059
143.4758616815,-13.923617171
143.4833,-13.8333
143.6579472825,-14.2229476353
143.6580555556,-14.2230555552
143.6691689476,-14.2314762661
144.2425203467,-14.1569479313
144.2508537638,-14.2486141114
144.3333,-14.3333
144.3425195868,-14.3402801387
144.4667,-14.2833
144.4869623926,-14.3291688156
143.8333,-14.5333
143.8452101498,-14.5348568939
143.8485,-14.5352499995
144.1,-14.5
144.1,-14.5
144.1167,-14.5
144.1167,-14.5
144.132,-14.5097
144.1327391562,-14.5083749263
144.1333,-14.5
144.1350222366,-14.5088907931
144.82979263,-14.6297131645
144.8333,-14.75
144.8333,-14.75
144.8333,-14.75
144.917513931,-14.7486102873
144.9783366761,-15.3793039773
145.1333,-15.1167
145.1425121598,-15.1236079415
145.1591785272,-15.0736081583
145.1597222222,-15.1658333328
145.178533333,-15.455616667
145.1819,-15.4556
145.25,-15.0833
145.25,-15.0833
145.2758443667,-15.3069400845
145.0675,-15.6819
145.0675,-15.6819
145.0675,-15.6819
145.0719444444,-15.6833333333
145.0758475434,-15.6902719903
145.183,-15.5167
145.1833,-15.5167
145.1925050008,-15.5302024646
145.2091796628,-15.8236043952
145.2167,-15.5333
145.2167,-15.5333
145.2167,-15.5333
145.2167,-15.5333
145.225,-15.525
145.225,-15.525
145.2255555556,-15.5236111106
145.2333,-15.4833
145.2591783055,-15.4902725516
145.2591783055,-15.4902725516
145.0602932347,-16.1286033245
145.3167,-16.4667
145.5,-16.5667
145.5,-16.5667
145.55,-16.6333
145.55,-16.6333
145.55,-16.6333
145.55,-16.6333
145.55,-16.6333
145.5641666667,-16.6472222217
145.5641666667,-16.6472222217
145.5641666667,-16.6472222217
145.565,-16.6464
145.5667,-16.7
145.5667,-16.7
145.5667,-16.7
145.5667,-16.7
145.5667,-16.7
145.5667,-16.6667
145.5667,-16.65
145.5667,-16.65
145.5667,-16.6333
145.5667,-16.6333
145.5667,-16.6333
145.5667,-16.6333
145.5667,-16.6333
145.5667,-16.6333
145.5758443191,-16.7069328162
145.5758443191,-16.7069328162
145.5758443191,-16.7069328162
145.5833,-16.6667
145.5833,-16.6333
145.5833,-16.6333
145.5833,-16.6333
145.5833,-16.6333
145.5833,-16.6333
145.5833,-16.6333
145.5841776667,-16.7485992775
145.5841776667,-16.7485992775
145.5841776667,-16.7485992775
145.6333,-16.7333
145.6333,-16.7333
145.6333,-16.7333
145.6833,-16.8167
145.6833,-16.8
145.2,-17.4333
