"longitude","latitude"
142.2342,-10.5819
142.2342,-10.5819
142.2425368935,-10.5903040176
142.4592023218,-11.5902978934
142.85,-11.62
142.8591981409,-11.6236305786
142.85919818,-11.6569637144
142.8592566379,-11.7109234153
136.8472,-12.2419
143.0758633726,-12.3069597347
143.300555556,-12.0397222216
132.45327,-13.06226
131.76682537,-13.91235424
142.58361111,-13.61861111
143.225863994,-13.7069520351
143.2522,-13.9719
134.6136,-14.1908
134.61372,-14.19103
134.61372,-14.19103
143.4176,-14.5819
143.4176,-14.5819
143.4258635498,-14.5902806744
143.43993333,-14.58983333
143.44,-14.59
143.44049722,-14.59079167
143.44049889,-14.5907930595
143.4406,-14.5908
143.63793056,-14.5813499995
143.638,-14.581
126.337417,-15.388417
134.9083,-14.9892
134.9083,-14.9892
134.90857,-14.98922
126.34583333,-15.94555556
126.34588,-15.94569
128.1,-15.9
128.66666667,-15.93333333
128.66666667,-15.78333333
129.22993,-15.74056
129.23459,-15.57343
130.04057,-15.51067
130.0406,-15.5106
131.35361,-15.49815
135.55609,-15.90663
135.7397,-15.8714
135.7397,-15.8714
135.7397,-15.8714
135.7399,-15.8715
135.74,-15.87
144.4758542091,-15.6236069701
144.96638889,-15.61861111
144.9880555556,-15.6605555556
123.75,-16.15
124.61666667,-16.43333333
127.05194444,-15.98444444
127.12727778,-16.39644444
127.18766667,-16.40619444
127.2,-16.3
130.23,-16.22
135.644166667,-16.124888888
144.79708509,-16.2124313795
145.14166667,-16.4583333295
125.45694444,-16.71805556
125.45694444,-16.71805556
125.45972222,-16.71388889
125.48416667,-16.75611111
125.4842,-16.7561
125.6822,-16.9311
125.68222222,-16.93111111
125.6822222222,-16.9311111111
125.68237,-16.93125
125.84722222,-16.79416667
125.85694444,-16.82972222
125.85709,-16.8299
126.11694444,-16.56027778
126.11704,-16.56039
130.9959,-16.9562
135.7547,-16.7767
136.947777778,-16.721388888
144.2997476912,-16.8896078271
144.3286111111,-16.7545555556
144.3286111111,-16.7544444444
144.8591864914,-16.9069337698
144.9,-16.9
144.9,-16.9
145.16138889,-16.50888889
145.2243513351,-16.8719726273
145.2244444444,-16.8719444444
145.3091806651,-16.6736002919
145.5466777826,-16.6291554612
126.35942,-17.17424
130.27833333,-17.23388889
130.2783333333,-17.2338888889
130.27849,-17.23405
130.40111111,-17.22972222
130.40121,-17.22974
133.643611111,-17.330277777
144.4075,-17.1005555556
144.56,-17.02194444
144.59611111,-17.0625
144.6475,-17.4
144.8889698315,-17.3672832642
144.9200808733,-17.4558939798
145.1847996356,-17.246449556
145.2,-17.4
145.20666667,-17.43055556
145.2091839256,-17.4235974009
145.2091839289,-17.4235974009
145.2156,-17.2969
145.216466106,-17.2956159548
145.2176,-17.4319
145.221944444,-17.419166667
145.222981674,-17.417707244
145.2258500621,-17.306931162
145.2258503533,-17.4069307563
145.2258504021,-17.4235973558
145.2258504511,-17.4402639554
145.2258505492,-17.473597155
145.24,-17.4139
145.2411279699,-17.4124862482
145.2811273922,-17.3738751859
145.2841,-17.2153
145.2841,-17.2153
145.2925157147,-17.2235979938
145.3066,-17.36078333
145.307,-17.361
145.3103543957,-17.4339485287
145.3425156177,-17.3902638465
145.35,-17.38
145.3591820869,-17.3902637984
145.4175148129,-17.4152635395
145.5,-17.1
145.5091794764,-17.0902646559
145.559178989,-17.1235977143
126.02135,-17.57523
130.50879,-17.53544
130.91205,-17.63758
137.53333333,-17.86666667
144.4075,-17.9483333333
144.61666667,-17.47805556
144.8680555556,-17.7938888889
144.8681,-17.7939
144.9375819446,-17.8608925504
144.95916667,-17.79388889
144.96361111,-17.78916667
145.0630555556,-17.6391666667
145.1372409171,-17.6247079105
145.2764,-17.5939
145.3247222222,-17.5388888889
145.4158485875,-17.5585962963
145.465277778,-17.640555556
142.9175451881,-18.0819349645
142.96527778,-18.21416667
143.40277778,-18.02972222
143.7066666667,-18.2866666667
143.70666667,-18.28666667
143.706667,-18.286667
143.7602777778,-18.3130555556
143.7603,-18.3131
143.8425355459,-18.2735982204
143.9925329304,-17.9902653881
144.15194444,-18.20666667
144.249,-18.177
144.2494444444,-18.1775
145.172,-17.989
145.172,-17.989
145.1897417698,-18.0985948409
145.50918341,-18.3902594922
145.5841815441,-18.0819271007
146.0366666667,-18.2927333333
146.037,-18.293
143.613055556,-18.579444444
143.61944444,-18.57944444
143.6775,-18.5777777778
143.88694444,-18.54222222
143.887,-18.542
143.9852777778,-18.5472222222
144.02472222,-18.54083333
144.689166667,-18.694166666
144.8925256291,-18.8902596267
145.629698854,-18.849708577
145.6307486887,-18.8482554295
143.6094444444,-19.0205555556
143.6844444444,-19.1277777772
143.6845312605,-19.1277514068
143.685,-19.128
144.352,-19.226
144.352222222,-19.225833333
144.3522222222,-19.2258333333
145.0841907316,-19.0819250596
145.2425222401,-19.0902578629
145.2425223573,-19.1235910863
145.6425185261,-19.3735889827
146.0200739359,-18.991441165
146.0813888889,-19.1227777778
146.0925122741,-19.1235884067
146.3091772635,-19.3902534606
146.442508521,-19.2569201714
146.7508380805,-19.2485859042
146.8091707309,-19.2569190254
143.9428177054,-19.8108155908
146.6633,-19.9136
146.6641748389,-19.912194973
146.66437188,-19.9120861
144.5417019211,-20.3744231342
144.8583651357,-20.4341440738
144.8597,-20.4378
144.8605873408,-20.4363662823
145.3150971065,-20.0968148892
146.929115,-20.0598377794
147.0258386725,-20.3402479098
147.2841,-20.3153
147.2925019708,-20.3235803957
147.725829146,-20.1235796394
148.2655441657,-20.0155227209
148.417486918,-20.0819108727
148.459153144,-20.1069106448
148.498,-20.0905
145.71333333,-20.545
146.89139127,-20.5237231394
147.1258385286,-20.623579994
148.8758173228,-20.8735731537
148.9424831265,-20.873572927
146.059188006,-21.368303946
147.7091665461,-21.1235763883
148.1549942723,-21.1338525576
148.93805556,-21.33972222
149.2424808499,-21.2902371157
146.93916667,-21.67805556
146.97083333,-21.76583333
146.9741785456,-21.7866327611
148.0841636712,-21.5819069807
148.2508296121,-21.9152387234
149.1718384661,-21.9184292414
149.42666667,-21.94833333
150.0424737413,-22.140231437
150.1680211255,-22.3718994236
150.3141375459,-22.3280076062
147.3597344604,-22.909406003
148.0091694085,-22.6735709548
150.33450322,-22.8457400693
150.7091333192,-22.5902275324
150.79222222,-22.6447222193
150.80611111,-22.81388889
150.8325,-22.6841666693
147.0116666667,-23.0008333326
147.5925116399,-23.4235709575
150.0352558462,-23.1085618646
150.19412387,-23.0559679893
150.259141254,-23.0068946222
150.2758082214,-23.1235608878
150.8924662622,-23.0735586656
150.9091327003,-23.0735586021
150.9257991384,-23.0735585386
150.9257995104,-23.1568916161
149.0424946359,-23.8068974308
149.0841612837,-23.9152303501
151.0591346209,-23.9402221961
151.1591330774,-23.9068885525
151.250798511,-23.9152214969
151.3083333333,-23.7583333326
151.3091309941,-23.9068879539
149.4722784808,-24.2169706712
150.5841434881,-24.4152229424
151.2632996258,-24.18522072
151.8924574231,-24.1735515506
150.575812593,-24.8735552785
151.5364213372,-24.6925162154
148.2258453327,-25.0735653119
150.7286571457,-25.2669632226
151.8424630678,-25.173549197
151.8923951836,-25.440420877
152.0560717685,-25.2960480034
152.4091210529,-25.0568804246
150.7508148175,-25.7485527843
150.9711574726,-25.877238937
151.1944879197,-25.8822378736
151.5396918253,-25.6021606757
152.11718406,-25.6891024155
152.3757921669,-25.8235454433
151.8091393077,-26.8402127737
152.9373259221,-26.9380747669
152.9591230521,-26.9235406634
152.9615354072,-26.8410250928
152.2214286086,-27.5150086222
152.85661111,-27.5337222192
152.9460709565,-27.4874286727
153.0424598225,-27.7235389759
153.1091257986,-27.7735385871
153.2507902067,-27.7485379523
152.5083333333,-28.0749999992
152.585,-28.259
152.5850395984,-28.259172783
152.7205555556,-28.1025
152.721,-28.102
