"longitude","latitude"
130.901204231,-11.748602063
131.0731,-12.44
131.084537087,-12.415268445
131.084537087,-12.415268445
132.1758,-12.4058
134.234505131,-12.048581956
134.90117669,-12.11524612
136.967857089,-12.34576626
130.687,-12.726
130.6872,-12.7261
130.984541085,-12.681927063
131.034537944,-12.615266254
131.034537944,-12.615266254
131.0833,-12.75
131.101204702,-12.781922664
131.1389,-12.9025
131.1667,-12.6
131.65,-12.85
131.65,-12.85
131.65,-12.85
131.767875489,-12.598589652
131.784536129,-12.848589657
131.7875,-12.8636
131.817871037,-12.848595043
131.8267,-12.8522
131.8267,-12.8522
131.8278,-12.8556
131.8278,-12.8556
133.267862839,-12.748584149
135.051175564,-12.665244657
130.67115,-13.09179
130.7075,-13.0719
130.734543852,-13.198599064
130.767040206,-13.140258177
130.775664964,-13.172484766
130.777324614,-13.151928467
130.792869481,-13.104159987
130.823162092,-13.123045717
130.834824994,-13.056657011
131.017877714,-13.031922166
131.017883882,-13.048596432
131.017883882,-13.048596432
131.0333,-13.0833
131.0333,-13.0667
131.084537697,-13.031927463
131.1,-13.25
131.1,-13.25
131.1,-13.2333
131.1,-13.2333
131.101208663,-13.165261783
131.105,-13.1558
131.1086,-13.2569
131.1167,-13.35
131.1172,-13.0403
131.117882631,-13.348592309
131.11801,-13.34119
131.11801,-13.34119
131.12,-13.35
131.151208615,-13.39859154
131.1667,-13.1667
131.1667,-13.1667
131.167880889,-13.415265954
131.2,-13.3333
131.2,-13.3333
131.3231,-13.4586
131.5,-13.45
132.2167,-13.1833
132.406595141,-13.219244943
136.080896063,-13.456632312
130.751218378,-13.748598425
130.751218378,-13.748598425
131.1333,-13.8
131.184537978,-13.481919634
131.2219,-13.5453
131.25,-13.5333
131.25120881,-13.83192572
131.2833,-13.8167
131.3,-13.6333
131.3,-13.6333
131.3,-13.6333
131.30121391,-13.63191838
131.3833,-13.55
131.4186,-13.5447
131.4569,-13.5839
131.484542603,-13.581925578
131.4981,-13.5864
131.4981,-13.5864
131.51788329,-13.58192525
131.567882043,-13.481921984
131.6,-13.6167
131.601207851,-13.615262834
131.601213111,-13.581918646
131.634541173,-13.631922298
131.70120611,-13.73191738
131.701212477,-13.748592538
131.8264,-13.8153
131.8333,-13.8167
131.884535098,-13.881920571
131.9075,-13.9336
131.9092,-13.9528
131.9094,-13.9528
131.917876091,-13.948583947
132.051209013,-13.66525455
132.2667,-13.7333
132.4667,-13.4833
132.46787175,-13.48191311
132.608642117,-13.583530803
132.628198414,-13.567454145
132.636581454,-13.560305412
132.642077736,-13.564875089
133.001194393,-13.565253781
126.26694444,-14.24194444
131.8333,-13.9833
131.9333,-14.2833
131.9333,-14.0333
131.934534492,-14.015261137
131.934542417,-14.081921701
131.9353,-14.0186
131.9472,-14.0461
131.95,-14.08
131.95,-14.08
131.95185,-14.157045
131.9525,-14.0436
131.9525,-14.0436
131.9667,-14.45
131.9833,-14.0833
131.9833,-14.0833
131.9833,-14.05
131.984534592,-14.265259381
131.984542008,-14.081921839
132.001204408,-13.998585232
132.001205192,-14.248586556
132.001205192,-14.248586556
132.001205192,-14.248586556
132.0266,-14.1532
132.0333,-14.2167
132.0333,-14.2167
132.034536563,-14.1819208
132.034536563,-14.1819208
132.0428,-14.2381
132.0459,-14.1811
132.0461,-14.2414
132.05,-14.2167
132.05,-14.2167
132.0508,-14.2331
132.0508,-14.2331
132.0508,-14.2331
132.051208519,-14.098587959
132.051208519,-14.098587959
132.051210669,-14.215253097
132.051210669,-14.215253097
132.0547,-14.25
132.057127,-14.259822
132.0631,-14.2124
132.0667,-14.25
132.0833,-14.2833
132.0833,-14.2833
132.084534284,-14.281916327
132.1,-14.3333
132.102032966,-14.148589827
132.1236,-14.34
132.13453902,-14.33191826
132.151211615,-14.398584089
132.2,-14.45
132.201212333,-14.398585813
132.2167,-14.4
132.2167,-14.4
132.2167,-14.4
132.217873511,-14.398583959
132.2333,-14.4333
132.2397,-14.4503
132.2447,-14.4742
132.2667,-14.4667
132.2667,-14.4667
132.2667,-14.4667
132.2667,-14.4667
132.2667,-14.4333
132.2667,-14.25
132.30663,-14.03186
132.35,-14.3833
132.35,-14.3833
132.3552,-14.1366
132.384533367,-14.39858237
132.3889,-14.3328
132.389,-14.333
132.3947,-14.3947
132.434538549,-14.348587498
132.4892,-14.2371
132.5902,-14.1118
132.63295,-14.04231
134.201187031,-13.998575946
131.9333,-14.7667
131.9333,-14.7667
131.9333,-14.7667
132.051207624,-14.698585251
132.0606,-14.7119
132.084540373,-14.665257565
132.0875,-14.6769
132.1,-14.65
132.1,-14.65
132.20120616,-14.51525319
132.2289,-14.5294
132.2333,-14.4833
132.251206954,-14.58191654
132.3333,-14.4833
132.35,-14.5
132.367877178,-14.515250606
132.472600301,-14.577471236
134.71667,-14.71667
129.5833,-15.9167
133.334535577,-16.248574339
124.992,-17.145
130.834568872,-17.415258405
122.83583333,-17.78333333
130.251944444,-17.974722222
130.751242293,-17.498593499
