"longitude","latitude"
131.1831,-11.3881
130.55437,-11.57352
130.7108,-11.605
130.8,-11.5833
130.801203851,-11.581931094
131,-12.15
131.05,-12.1833
131.051205392,-12.181930907
131.051206875,-12.148599079
132.153937905,-12.316901475
132.583496397,-12.265021639
133.034523263,-12.381921949
136.38333333,-12.41666667
136.384486982,-12.415238704
136.551160942,-12.248568508
136.8964,-12.2819
131.9667,-12.6
133.984511368,-12.73191031
143.2667,-12.7333
143.2667,-12.7333
143.2667,-12.7333
130.517885563,-13.315266791
143.3091957792,-13.3402871223
143.3425296455,-13.8402844979
143.4167,-13.9
143.4167,-13.9
143.4167,-13.9
143.4167,-13.9
143.4167,-13.9
143.4167,-13.9
143.4258621945,-13.9069506776
143.4667,-13.8167
143.4667,-13.8167
125.1,-15.3
125.1,-15.3
125.1,-15.3
125.1,-15.3
125.1,-15.3
125.1,-15.3
145.0833,-15.05
145.0833,-15.05
145.0833,-15.05
145.125,-15.0749999995
145.125,-15.0749999995
145.1333,-15.1167
145.1425121631,-15.1236079415
124.6,-15.9
124.7,-15.8
124.7,-15.8
125.2,-15.5
125.3,-15.6
125.3,-15.6
125.3,-15.6
145,-16.25
145,-16.25
145,-16.25
145.0643218483,-16.2645553311
145.0643218489,-16.2645553329
145.2199283393,-16.435894866
145.3302893978,-16.3410130349
145.3333,-16.1667
145.25,-16.5167
145.25,-16.5167
145.25,-16.5167
145.25,-16.5
145.25,-16.5
145.25,-16.5
145.25,-16.5
145.25,-16.5
145.2591808024,-16.506934483
145.2591819245,-16.9235993389
145.2652744997,-16.4959153837
145.2652744997,-16.4959153837
145.2667,-16.5167
145.267775869,-16.481812979
145.27,-16.48
145.275,-16.5417
145.27584732,-16.523601035
145.2758473639,-16.5402676312
145.2761,-16.54
145.2764029563,-16.5566564429
145.2786855468,-16.5489519722
145.2833,-16.5
145.3011,-16.5853
145.4726,-16.737817
145.5833,-16.9667
145.6167,-16.9667
145.6167,-16.9667
145.6167,-16.9667
145.6358,-16.8353
145.6522,-16.8119
145.3667,-17.3833
145.367576,-17.382004
145.4167,-17.25
145.4167,-17.25
145.4258475912,-17.2569308365
145.43,-17.3
145.4333,-17.3167
145.4333,-17.3
145.4333,-17.2833
145.4333,-17.2833
145.4333,-17.2833
145.4425142071,-17.3069305849
145.45,-17.3666666666667
145.4667,-17.3
145.4667,-17.3
145.4833,-17.3833
145.4833,-17.3833
145.5,-17.4333
145.5,-17.4333
145.5,-17.3333
145.509180191,-17.3402636029
145.614444444,-17.090277778
145.615350034,-17.0889490089
145.615350074,-17.0889489889
145.6314932308,-17.2812738853
145.65,-17.1833
145.65,-17.1833
145.65,-17.1833
145.65,-17.1833
145.7,-17.2833
145.7,-17.2833
145.7028853929,-17.2953040368
145.75,-17.3333
145.75,-17.1667
145.7890943462,-17.2755087023
145.8667,-17.2833
145.8667,-17.2833
145.8667,-17.2833
145.8667,-17.2833
145.91666667,-17.4166666695
145.3758488523,-17.4902633473
145.5418383718,-17.7311173306
145.55,-17.55
145.6125,-17.8956
145.6472450454,-17.9455893098
145.8896800928,-17.5205605401
145.6,-18.0167
145.6,-18.0167
145.6091810677,-18.023593921
145.78,-18.27
145.8017910124,-18.2665094358
146.1667,-19
146.1775725305,-19.002317265
146.1778,-19.0022
144.7758661934,-20.4569220844
144.9591974443,-20.4735880547
148.55,-20.25
144.8091992713,-20.4902552157
148.2508255139,-20.9152418223
148.4822,-20.8039
148.4822,-20.8039
148.4830443279,-20.8024636275
148.4997,-21.1447
148.4997,-21.1447
148.5,-21.1667
148.5,-21.1667
148.5091565602,-21.1735734034
148.5167,-21.1167
148.5167,-21.1167
148.5175,-21.1156
148.517554,-21.081982
148.5187558298,-21.1137039161
