"longitude","latitude"
142.25,-10.75
142.25,-10.5972
142.4879131701,-13.3406746102
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.25,-13.9
143.2508641091,-13.9152842861
143.2591973365,-13.9069509759
126,-14
126,-14
127.5,-14.1
127.5333,-14.1
127.6167,-14.1833
127.6167,-14.1833
127.8601,-14.4568
142.81136694,-13.9947384269
143.3222,-14.0108
143.323085725,-14.009450348
144.2083333333,-14.2583333328
125.12,-14.55
125.7167,-14.5833
125.75,-14.58
125.755,-14.585
125.755,-14.585
125.76666667,-14.86666667
125.7667,-14.8667
125.8,-14.6333
125.8,-14.55
125.801259029,-14.631917799
125.8167,-14.55
125.83333333,-14.56666667
125.85,-14.67
125.92,-14.85
126.3403,-14.8625
144.3452983938,-14.8597219798
124.55,-15.32
124.997926615,-15.103619766
125,-15
125,-15
125,-15
125.00928,-15.10525
125.05,-15.1
125.06666667,-15.28333333
125.0667,-15.2833
125.0667,-15.2833
126.664444,-15.028056
126.66666667,-15.03333333
124.5,-15.5
126.7367,-15.5175
144.9,-15.9
144.9,-15.9
144.9091832241,-15.8736048414
124.95638889,-16.28333333
124.98333333,-16.28333333
124.98333333,-16.26666667
127.9125,-16.1778
127.91333333,-16.17777778
145,-16.25
127.54222222,-16.73583333
128.5,-16.7
128.501251117,-16.748602874
145.25,-16.7167
127.22833333,-17.44333333
127.25,-17.42
127.2667,-17.3833
127.2667,-17.3833
127.2667,-17.3833
127.3,-17.4167
127.301264137,-17.415278628
128.25,-17.1833
128.25,-17.1833
128.25,-17.18
128.251257222,-17.181931308
128.43333333,-17.21666667
128.43458513,-17.2152766
128.58333333,-17.16666667
144.5036611111,-17.1023472222
144.504,-17.102
145.3333,-17.3667
145.1,-17.6833333333333
144.6676,-18.2319
144.6676,-18.2319
144.6758592849,-18.2402625015
144.75,-18.25
144.7508579116,-18.0819295112
144.8,-18.12
144.8,-18.1167
144.8,-18.1
144.8,-18.1
144.8,-18.1
144.8091907057,-18.1235958572
144.8151858297,-18.1340311919
144.8167,-18.1333
144.8167,-18.1333
144.8167,-18.1333
144.8167,-18.1167
144.8167,-18.1167
144.8167,-18.1167
144.8167,-18.1167
144.8167,-18.1
144.8176,-18.1153
144.8176,-18.1153
144.8176,-18.1153
144.8176,-18.1153
144.8176,-18.1153
144.8176,-18.1153
144.8176,-18.1153
144.8176,-18.1153
144.8244,-18.1103
144.8258571267,-18.1069292019
144.8258571267,-18.1069292016
144.82585718,-18.1235958084
144.833333333,-18.083333333
144.8425235479,-18.0902625471
144.8425235512,-18.0902625504
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.85,-18.0667
144.8511,-18.0997
144.8667,-18.0833
144.8667,-18.0833
144.8667,-18.0833
144.8667,-18.0833
144.8667,-18.0833
144.8667,-18.0667
144.86753,-18.08193
144.87,-18.08
144.875,-18.0916667
144.8758564431,-18.0735958439
144.8758564962,-18.0902624533
144.8758564962,-18.09026245
144.9144444444,-18.4138888883
144.9747245675,-18.4709278316
144.7167,-18.9
144.7508595506,-18.5819277625
144.9,-18.5667
144.9833,-18.5667
144.9925237224,-18.5735937204
145.2,-18.6
145.2,-18.6
145.3167,-18.5
145.5008505284,-18.4985924537
145.3425211855,-19.1235907686
146.38,-19.05
146.8333,-19.1333
146.8458,-19.1583
146.9175021427,-19.0819193419
144.75,-19.5
145.3091908483,-19.8402552858
147.8762469414,-19.8713704612
147.9174926469,-19.9152464339
147.9583333333,-19.9249999994
146.75,-20.1667
146.7591746557,-20.1735826856
148.6333,-20.2
148.6333,-20.2
148.634215,-20.215318
148.6424845575,-20.2235762822
148.6465239891,-20.1983583424
148.6591510712,-20.2402428326
148.6924837953,-20.1902429118
144.45,-20.6667
147.8215873737,-20.9152324775
146.8186225423,-21.2266348492
146.818685,-21.22671
147.5841686336,-21.2485764555
147.88585004,-21.21270723
147.917497753,-21.2485752602
148.25,-21.08
148.250826172,-21.0819079415
148.455833333,-21.2380555554
148.455833333,-21.2380555554
148.4575,-21.239167
147.9,-21.55
148.2667,-21.9333
148.4174941338,-21.9152381036
148.8333,-21.7333
148.8333,-21.7333
148.8413924296,-21.7418207689
148.8417,-21.7417
147.9591686914,-22.3735719105
149.1028669538,-22.1694432467
149.1167,-22.3833
149.1167,-22.3333
149.5758142111,-22.3568991426
149.6878677366,-22.3604595501
147.8333,-22.5
147.9175034989,-22.5819048765
148.0050031426,-22.7491263412
148.2914449549,-22.9185405834
149.55,-22.5
149.58,-22.58
149.5841484145,-22.5818984415
149.7508128622,-22.5818978103
149.8424795966,-22.8735632768
149.85,-22.7667
149.8591455938,-22.7735635016
149.8758119634,-22.7568968199
149.8908116653,-22.7349523827
150.2258082218,-22.9735615141
149.3320825086,-23.0032707008
149.6488891832,-23.0470300619
150.0316667,-23.1091667
150.0317,-23.1092
150.0324781021,-23.1077285444
150.0424779636,-23.1068951744
150.0483112272,-23.1088395908
