"longitude","latitude"
132.0934,-11.2355
132.143692325,-11.362497153
132.167863565,-11.181925209
132.1828,-11.3678
132.183971622,-11.366372102
132.3778,-11.2386
132.934489955,-11.365292973
132.95,-11.38
132.95,-11.38
130.617913128,-11.809695492
130.667908784,-11.631899028
133.2167,-11.7167
133.2167,-11.7167
133.217671,-11.71538
133.21785834,-11.71525732
131.017874401,-12.365268965
131.05,-12.15
131.051206875,-12.148599079
131.066666666667,-12.45
131.0667,-12.45
131.067882031,-12.448600461
131.084537087,-12.415268445
131.4667,-12.35
131.467871109,-12.348592882
131.467871581,-12.381924566
131.5167,-12.3333
131.517683,-12.332047
131.517871669,-12.331926126
132.41786861,-12.33192202
132.41786861,-12.33192202
132.67,-12.15
132.716666666667,-12.15
132.9,-12.4
132.9167,-12.3833
132.95,-12.3833
132.95,-12.3
132.951187868,-12.381920849
132.951195627,-12.398586567
132.9667,-12.45
132.9671,-12.4288
132.967864688,-12.415260231
132.967864688,-12.415260231
132.9833,-12.35
133.05,-12.35
133.25,-12.47
133.25,-12.4667
133.25,-12.4667
133.31786169,-12.28191236
133.31786169,-12.28191236
134.234505131,-12.048581956
134.83528,-12.27173
134.97942,-12.20715
135.251172674,-12.465247561
135.434499376,-12.148577464
135.934492767,-12.365244762
136.7667,-12.1833
136.76782135,-12.18190494
136.8667,-12.2333
136.867645,-12.23204
136.867825743,-12.231899295
136.867849146,-12.265270206
136.88925748,-12.24966707
130.784542684,-12.965266199
130.98333333,-12.81666667
130.984539441,-12.815263373
131.001212549,-12.698594352
131.1667,-12.95
131.20067,-12.54595
131.21787615,-12.53192383
131.21787615,-12.53192383
131.251206128,-12.66526148
131.251208348,-12.631925612
131.316666666667,-12.65
131.317876198,-12.64859539
131.317876198,-12.64859539
131.3667,-12.6667
131.4667,-12.8333
131.4667,-12.5333
131.467684,-12.515381
131.467872753,-12.515268722
131.467874834,-12.531920836
131.467874834,-12.531920836
131.467874834,-12.531920836
131.467876779,-12.831927422
131.47,-12.52
131.62,-12.8
132.4167,-12.6
132.4167,-12.5667
132.417865408,-12.598588078
132.5,-12.6667
132.50119238,-12.66525494
132.501196571,-12.748585064
132.5333,-12.8833
132.801197441,-12.865258585
132.801197441,-12.865258585
132.8667,-12.85
132.9119,-12.7554
132.9167,-12.75
132.917674,-12.532045
132.917858734,-12.531916966
132.95,-12.7
133.05,-12.4833
133.05,-12.48
133.051192186,-12.481914748
133.07,-12.77
133.7333,-12.7667
133.734513955,-12.765251866
135.067838895,-12.748579768
135.217844651,-12.631909929
136.534489281,-12.598567275
136.8000447,-12.5074624
130.367888921,-13.131925235
130.467885065,-13.298593066
130.667881199,-13.115267672
130.767887551,-13.331925405
131.117881302,-13.248590004
131.8667,-13.1667
131.867870179,-13.165262668
132.3667,-13.35
132.56786871,-13.43191767
132.6333,-13.2833
132.6333,-13.2833
132.6333,-13.2833
132.634526082,-13.281913332
132.7333,-13.4167
132.73449766,-13.4235866
132.9,-13.45
132.917871323,-13.465256651
132.967862041,-13.031918281
135.727005184,-13.104134968
130.03,-13.52
130.037925692,-13.519396784
130.534551257,-13.51526417
130.667888172,-13.698595558
130.75,-13.75
130.751218378,-13.748598425
130.751218378,-13.748598425
131.067885279,-13.481922873
131.2333,-13.5333
131.234541461,-13.531919165
131.33454155,-13.78192131
131.538,-13.611
131.538,-13.611
131.53833333,-13.61111111
131.53837,-13.61136
131.701212477,-13.748592538
131.7333,-13.75
131.734534526,-13.748586323
131.75,-13.7667
131.767874456,-13.81525476
131.767874456,-13.81525476
131.7833,-13.8167
132.134533376,-13.76525953
132.317878596,-13.965252475
132.3326,-13.9403
132.45,-13.4833
132.45,-13.4833
132.451199612,-13.481915965
132.51786758,-13.51525372
132.601204645,-13.581914316
131.55121423,-14.36525869
131.5833,-14.3333
132.2667,-14.45
132.384537339,-14.098582747
132.417871073,-14.31525324
132.467873719,-14.298582122
132.4953,-14.3056
132.551199418,-14.098582635
133.401196386,-14.315251462
133.735,-14.1683
131.65121255,-14.71525562
131.72,-14.67
132.234533569,-14.481913096
132.251209014,-14.498583892
132.251210564,-14.481919128
132.8372,-14.515
133.167875741,-14.915250085
130.401227526,-15.715259004
124.67,-16.45
128.1,-16.6
