"longitude","latitude"
142.3842023603,-10.8939131694
142.4092020516,-10.8403023557
142.4175352135,-10.748636236
142.4425350219,-10.8236357589
143.0833,-12.25
143.0886,-12.2536
143.0894742633,-12.2522378022
143.092529796,-12.2569599905
143.2508621312,-12.7486237106
143.2591950196,-12.5069583675
143.2591953589,-12.7402904141
143.2646675878,-12.4791891817
143.2678055687,-12.48945812
143.2936002895,-12.7337686015
143.4175272534,-12.9152892213
145.2258460578,-15.7902711854
145.2425128659,-15.7902714781
145.0456762862,-16.2581497743
145.2758459655,-15.9902704616
145.45,-16.1166667
145.25,-16.5833
145.2591810189,-16.5902674515
145.2667,-16.5667
145.2667,-16.5667
145.2720268834,-16.579106288
145.2833,-16.5667
145.2925142589,-16.5736007729
145.3,-16.5833
145.3061249077,-16.5844340249
145.5641666667,-16.6472222217
145.567742309,-16.648508998
145.567742309,-16.648508998
145.575844186,-16.6569330387
145.575844186,-16.6569330387
145.675843284,-16.7569323456
145.45,-17.45
145.6091784508,-17.1402641801
145.6925115682,-17.4069295036
145.7006,-17.4125
145.7091774176,-17.3069295451
145.7425112653,-17.3902631066
145.7459234505,-17.4681910828
145.75,-17.35
145.7508442396,-17.4152626465
145.7578525513,-17.375181349
145.7591769732,-17.3569292022
145.417515304,-17.5819295313
145.5167,-17.5667
145.5418386291,-17.7311172592
145.5591808369,-17.7569284417
145.5667,-17.5333
145.5667,-17.5333
145.56752,-17.63193
145.5758466608,-17.5402626016
145.5841800196,-17.5819290761
145.5841805183,-17.7485950722
145.6826486548,-17.6241223025
145.7,-17.5667
145.7,-17.5667
145.7028519687,-17.5664191088
145.7686832815,-17.6097799466
145.9175094264,-17.5819281707
145.9402777778,-17.6386111106
145.6425140639,-18.0402604314
