"longitude","latitude"
132.55,-11.1333
132.551188174,-11.131925581
134.9178405,-12.1152476
134.97955,-12.20372
135,-12.4
135.001176984,-12.398581555
135.03486,-12.31799
142.025,-12.075
131.3,-12.5333333333333
131.301210517,-12.53192766
130.1,-13.2167
130.101222007,-13.215270563
130.284545157,-13.365263934
133.57,-13.07
129.751229582,-13.965269098
132.2667,-14.4667
135.71784862,-14.28189999
126.8,-14.8833
126.834580004,-14.531947829
128.65,-14.81
132.251209014,-14.498583892
132.7167,-14.8333
134.1333,-14.7167
134.134522148,-14.715242782
134.517855303,-14.731899184
134.734332,-14.732038
143.8667,-14.5333
144.075,-14.4917
144.908,-14.5083
127.08,-15.08
128.11111111,-15.45722222
129.82,-15.27
133.07311,-15.08066
128.18333333,-15.53333333
129.00581202,-15.62050089
130.272067018,-15.629702793
131.1,-15.6
131.58,-15.75
131.634356,-15.760655
131.65,-15.75
134.134339,-15.925372
134.134339,-15.925372
141.542,-15.7583
144.258,-15.4917
123.53333333,-16.08333333
123.605,-16.379
123.78194444,-16.13333333
123.78194444,-16.13333333
126.4333,-16.4167
126.47138889,-16.00138889
128.023917,-16.014778
128.336944,-16.230556
130.451236391,-16.115259903
131.147030097,-16.365288087
131.4408,-16.3675
131.967887483,-16.115256885
133.0833,-16.4
133.334535577,-16.248574339
133.484534532,-16.298574711
133.76787307,-16.29857284
136.09784,-16.45197
136.2667,-16
136.267844368,-15.998559623
137.751165108,-16.281883715
124.91666667,-16.83333333
124.9167,-16.8333
125.45,-16.72
130.0742,-16.7139
130.0754399,-16.7124909
133.4167,-16.7333
145.387,-16.8553
123.9667,-17.1833
124,-17
124.24388889,-17.30305556
124.2439,-17.3031
124.8,-17.37
125.384604442,-17.29862582
125.4,-17.3
125.4,-17.3
125.401275945,-17.315290821
128.25,-17.19
128.25,-17.1889
128.25,-17.1889
128.25,-17.1889
130.00124854,-17.46526467
130.936944444,-17.310555556
131.1215116,-17.2771978
133.4239,-17.2831
133.4239,-17.2831
133.4239,-17.2831
135.6667,-17.3333
122.2167,-17.85
122.22,-17.85
122.228518,-17.893335
122.23,-17.96
122.2333,-17.9667
122.23333333,-17.96666667
123.8,-17.6
126.10367,-17.50662
126.10866727,-17.52528347
129.243190447,-17.919984383
136.5,-17.92
137.6833,-17.75
137.6845069,-17.7485501
138.42,-17.6
138.57,-17.85
139.3330555556,-17.6088888889
141.067809338,-17.665193357
141.1,-17.6833
122.18333333,-17.98333333
128.451259953,-18.265271831
