"longitude","latitude"
142.2455927123,-10.9116909695
142.25,-10.9167
142.251086235,-10.915233462
142.3683,-10.8467
142.3692,-10.8469
142.3692,-10.8467
142.369266667,-10.846783333
142.4333,-10.8333
133.398125902,-11.527200322
142.85,-11.62
142.8591981442,-11.6236305786
142.8591981637,-11.6402971481
135.08327,-12.37187
143.0667,-12.25
143.06774944,-12.24854536
143.07,-12.25
143.07,-12.25
143.0758633042,-12.2569600157
143.101078061,-12.248545279
143.1091962809,-12.2569599719
131.1333,-12.8167
132.421152816,-12.701722125
132.851279546,-12.663081715
135.551172334,-12.781905175
141.6592118763,-12.5236272137
143.2756780495,-12.4763854938
130.984537725,-13.198590731
131.017883882,-13.048596432
135.50325,-13.07011
130.901216451,-13.531927617
131.284546544,-13.781920996
131.3667,-13.6667
131.434537883,-13.531922658
131.83614,-13.81528
132.45854,-13.51707
132.589311667,-13.577020016
132.594834521,-13.578880376
132.95962,-13.60617
142.92111111,-13.715
142.9211111111,-13.715
143.0763888889,-13.7505555556
143.1397540049,-13.8111183332
143.14003274,-13.79620986
130.6833,-14.25
130.684520703,-14.248592781
131.08846,-13.98839
131.08846,-13.98839
132.0333,-14.2
132.034536563,-14.1819208
132.054,-14.213
132.084537176,-14.248590556
132.092866137,-14.106644956
132.4167,-14.3333
132.4167,-14.3333
132.417875004,-14.331911204
132.417876291,-14.298586323
132.55478,-14.28224
132.5787,-14.2896
132.6227,-14.0879
132.6233,-14.2237
134.24103,-14.17904
136.55,-14.1
136.55,-14.1
136.551162428,-14.098562747
143.8175,-14.6616666667
134.62927,-15.40091
142.17166667,-15.46305556
142.9430555556,-15.4108888884
144.38972222,-15.20944444
144.8361388889,-15.2041388884
128.7,-15.7
130.03369,-15.86109
141.6425522372,-15.8569459735
144.44064024,-15.5734194895
144.45,-15.58
144.45,-15.58
144.4591876513,-15.5902738273
144.56,-15.6544444444
142.7489994801,-16.2842323765
138.20777778,-16.71583333
143.1371555994,-16.8354385575
143.1446654026,-16.6666080317
144.1491666667,-16.7947222222
145.0124749,-16.50136215
145.0125,-16.5014
145.0125,-16.5013888889
138.25,-17.3333
138.2592569972,-17.3402844309
143.95285268,-17.0432836195
144.1228065669,-17.1152682064
144.5136,-17.1661
144.5136,-17.1661
144.51361111,-17.16611111
144.6667,-17.35
145.3744,-17.4492
145.4405555556,-17.2108333333
138.21027778,-17.81222222
142.28338504,-17.969992782
143.8019,-17.5764
143.80287,-17.575064
143.8133,-17.5856
143.8133,-17.5856
143.8142003248,-17.5841562103
143.9644444444,-17.9641666667
144.4075,-17.9258333333
144.4202777778,-17.8977777778
144.6197222222,-17.4761111111
142.2208333333,-18.1811111111
142.2347,-18.1842
142.23472222,-18.18416667
142.2592194291,-18.2069366143
142.44416667,-18.23111111
142.499,-18.284
142.49916667,-18.28361111
142.4992,-18.2836
142.55333333,-18.46833333
142.5591666667,-18.3644444444
142.5592,-18.3644
142.9583333333,-18.2136111111
142.9819444444,-18.2158333333
143.11611111,-18.23861111
143.1667,-18.05
143.1839310476,-18.0522120313
143.4027777778,-18.0302777778
143.4855555556,-18.12
143.805,-18.2963888889
144.0233333333,-18.0169444444
144.0483333333,-18.0280555556
144.05,-18.05
144.0572546397,-18.0580427429
144.22611111,-18.18138889
138.05583333,-18.58611111
138.3833,-18.6667
138.392593829,-18.6736149848
138.4942597272,-18.7280589943
142.5091666667,-18.9025
143.5008734688,-18.4985985574
143.6775,-18.57777778
143.6916666667,-18.5794444444
143.6922222222,-18.5791666667
143.8333,-18.6
143.8775,-18.61944444
139.6694476399,-19.408579607
143.5336111111,-19.0302777778
143.60944444,-19.02055556
145.7591830334,-19.1569226676
146,-20.1667
146.009183771,-20.173585231
145.2508617852,-20.7485862886
148.95,-21.0167
148.9591501578,-21.0235723462
145.8425265534,-21.9569144925
146.7252924467,-21.7171894385
146.8952777778,-21.6366666667
147.5489553869,-21.520595406
147.549,-21.52
146.0591924573,-22.3683016351
149.2508173255,-22.0819011835
145.6369444444,-23.5719444444
145.8644784857,-23.5680225189
145.8758689068,-23.8902442284
149.4424883449,-23.6068962525
149.48222222,-26.28111111
