"longitude","latitude"
142.775,-11.6
141.759210505,-12.2902949423
143.07,-12.25
143.0758633042,-12.2569600157
143.0833,-12.25
143.101078061,-12.248545279
143.1091962809,-12.2569599719
143.2917,-12.7083
143.0425318514,-13.056955366
145.1675,-15.0653
145.175845003,-15.0736081243
145.1841,-15.1319
145.1925116232,-15.1402744221
145.2167,-15.1167
145.2167,-15.1167
145.2167,-15.1167
145.2258445379,-15.1236077706
145.2508448976,-15.4152729362
144.1333,-15.5333
145.184402529,-15.631846956
145.25,-15.5833
145.25,-15.5833
145.2508452796,-15.5819387905
145.9063765293,-16.9411532241
146.3091736929,-18.3235907411
