"longitude","latitude"
132.3808,-11.2289
142.7677777778,-11.164544444
131.26991,-11.64166
133.33451532,-12.33191287
135.0808,-12.3856
135.08085,-12.3856
132.35,-12.7667
132.35,-12.7667
132.35,-12.7667
132.85,-12.85
133.82,-12.5
135.03,-12.85
136.790874179,-12.513010249
130.6667,-13.1167
130.667881199,-13.115267672
130.667881199,-13.115267672
131.83,-13.6
132.251201652,-13.581913252
132.3333,-13.5333
132.452,-13.834
133.6,-13.9
133.6,-13.9
136.725277778,-13.841944444
136.7263,-13.8406
136.8087,-13.8799
126.23,-14.15
126.6,-14.3
131.16612,-14.02553
131.16612,-14.0255299996
132.0087,-14.0046
132.19305,-14.17906
132.4382,-14.2909
132.4996,-14.3046
132.5133,-14.1324
134.4906,-14.25
134.4907954,-14.2502422
125.63,-14.75
125.66666667,-14.81666667
125.71666667,-14.68333333
125.76666667,-14.86666667
125.80138889,-14.61138889
125.84163889,-14.80713889
125.9,-14.7
125.9333,-14.7
135.094722222,-14.968055555
124.58333333,-15.41666667
124.59293,-15.38801
124.5961,-15.3875
125,-15
125.16666667,-15.08333333
125.17817,-15.07603
126.15,-15.13
126.55,-15.38
131.001217538,-15.065261255
133.07554,-15.05833
133.07674142,-15.0569122
144.9153310309,-15.1133401209
144.9342415576,-15.2581248724
145.0612222222,-15.4354444439
126.5,-15.9
126.5,-15.9
127.35,-15.87
128.1,-15.8
128.52555556,-15.79611111
128.65,-15.77
128.65,-15.77
128.65,-15.77
128.65,-15.75
128.6667,-15.9333
128.7333,-15.7667
128.73333333,-15.78333333
128.8,-15.7
129.0865,-15.6626
129.11018,-15.83376
129.229302879,-15.819713719
129.23212,-15.5712
129.869572649,-15.597480855
130.1806,-15.8367
130.181795908,-15.835256059
130.2289,-15.95
130.2289,-15.95
130.451232714,-15.665258728
131.086775481,-15.609416565
131.11597,-15.61325
133.217679,-15.565374
135.42953,-15.78865
135.6167,-15.8833
135.617849874,-15.881894626
143.6,-15.8
143.6091976173,-15.7902748733
123.728,-16.125
123.78194444,-16.13333333
125.883,-16.3762
126,-16
126.134387,-16.03206
126.9,-16.4
127,-16
128.68333333,-16.31666667
130.2667,-16.2278
130.6667,-16.0167
142.9870513064,-16.1936261509
124.05,-16.75
124.05,-16.75
124.13,-16.92
124.91666667,-16.81666667
124.91666667,-16.78333333
125.45111111,-16.71666667
125.83333333,-16.88333333
125.92,-16.65
125.92,-16.65
125.93,-16.7
125.936335,-16.703451
130.1667,-16.4833
133.05,-16.65
133.051211246,-16.648574638
133.1,-16.6333
133.551211232,-16.648577169
136.16925,-16.48367
136.4667,-16.7
136.467852662,-16.698554873
124,-17
124,-17
124,-17
124.83888889,-17.34305556
124.8389,-17.3431
125.07,-17.15
125.1540549,-17.1180339
127.55,-17.35
127.55,-17.33
127.58,-17.45
127.58,-17.45
127.58333333,-17.43333333
127.584384,-17.432058
128.39666667,-17.35305556
128.42,-17.45
128.451256097,-17.31527525
129.326,-17.474
130.651235395,-17.198593753
137.157777778,-17.354722222
138.3419444444,-17.46
142.4275,-17.39222222
144.5666666667,-17.1399999995
144.8702015,-17.3636663195
145.1583,-17.4667
145.1583,-17.4667
145.3897222222,-17.1727777773
145.39247222,-17.1755517695
122.21666667,-17.91666667
122.23333333,-17.96666667
122.42,-17.51
122.4242,-17.51
122.8833,-17.8
122.9,-17.8
123.2167,-17.9667
123.2167,-17.9667
123.5,-17.8
123.5,-17.8
125.1,-17.7
125.1,-17.7
126.1104,-17.5036
126.21666667,-17.66666667
129.5,-17.5333
133.6333,-17.7333
133.667683,-17.865372
133.8178873,-17.7652421
134.703,-17.675
122.1833,-17.9833
122.18333333,-17.98333333
122.18463077,-17.98197644
123.88333333,-18.16666667
123.884403,-18.165407
125.801618,-18.114011
130.401247716,-18.38192127
125.75,-18.72
125.83333333,-18.58333333
127.01666667,-18.66666667
127.017726,-18.665397
128.3,-18.5
131.323888889,-18.736666666
131.4353,-18.6492
138.1925953592,-18.5736158256
138.4175938767,-18.7486147867
144.7167,-18.9
144.8925256291,-18.8902596267
133.151227054,-19.365243099
133.751227978,-19.431899724
133.933171231,-19.44689448
134.484550624,-19.402451954
146.4521658956,-19.0816322948
146.8092,-19.2597
146.8100040623,-19.2583079044
121.4483,-19.7917
124.667741,-19.665409
129,-19.5
130.7203,-19.5242
131.401247044,-19.715256816
131.434574597,-19.631914918
134.1,-19.7
134.212609916,-19.606894489
136.101209202,-19.88188377
140.8154969866,-19.5269825706
119.57467,-20.24253
122.117987988,-20.398650916
122.117988901,-20.41532133
126.5,-20.25
134.2167,-20.2167
134.217688,-20.215372
136.134540324,-20.298549274
148.45,-20.1
116.78689272,-20.63790507
116.80363706,-20.59005212
116.83333333,-20.48333333
117.71666667,-20.63333333
118.06666667,-20.51666667
118.54805556,-20.78666667
119.922482,-20.521823
130.317935077,-20.54859048
130.35,-20.57
130.35,-20.5667
130.43460237,-20.91526612
130.584382,-20.865388
130.6167,-20.8167
134.2167,-20.6667
134.2333,-20.7167
134.234562243,-20.715237604
134.25,-20.5833
134.251233887,-20.615235065
135.634548031,-20.815222958
139.45325337,-20.82205871
140.025920012,-20.8402727729
118.75,-21.0667
118.8,-21.3
118.8,-21.3
130.884382,-21.282053
131,-21
131.1,-21.0667
131.3,-21.0036
131.3,-21
131.317926611,-21.015259085
134.6469,-21.1461
115.124215,-21.832409
116.51666667,-21.88333333
116.51667,-21.8833299993
130.9667,-21.5167
130.9667,-21.5167
130.9667,-21.5167
130.9667,-21.5167
130.984383,-21.515388
130.984383,-21.515388
130.984383,-21.515388
130.984383,-21.515388
133.734573516,-21.64856719
133.7833,-21.5833
133.83,-21.55
138.5926045677,-21.573611575
139.475929725,-21.7069410439
113.94316667,-22.00496667
117,-22
117.2280176,-22.2289552
117.2646844,-22.2811772
117.96916667,-22.23777778
117.9872,-22.2578
117.98722222,-22.25777778
118.03541468,-22.41778482
118.32,-22.28
122.1,-22.4
130.651275856,-22.465265344
131.501274861,-22.44858941
137.252881266,-21.998545052
118.59944444,-22.61944444
118.737774,-22.489062
124.1,-22.5
124.134655899,-22.49864546
127.6014,-22.8194
128.164278,-22.828333
128.3731,-22.6094
129.64305,-22.79055
131.0053,-22.7681
131.0939,-22.7164
131.55972,-22.80694
133.1353,-22.5864
118.785,-23.121
120.21742,-23.30186
121.25611111,-23.45638889
122.8065064,-23.2827963
129.401293137,-23.281900605
113.58333333,-23.83333333
132.729075216,-23.632179991
132.860094953,-24.091990889
127.6133333333,-24.7261111111
127.61422052,-24.72226499
129.03464722,-24.84861133
