"longitude","latitude"
130.66666667,-11.46666667
130.6667,-11.4667
130.667877044,-11.465272654
131.4694,-11.4
131.470651101,-11.398593887
132.351191861,-11.381928254
130.75120687,-11.61526903
130.8333,-11.75
130.8333,-11.75
132.9167,-11.55
132.917860801,-11.548595434
132.917860801,-11.548595434
132.917860801,-11.548595434
132.92,-11.55
133,-11.53
133,-11.53
133.08,-11.92
133.0833,-11.6167
133.0833,-11.6167
133.084338,-11.615381
133.084517415,-11.915255541
131.05,-12.17
132.25,-12.4167
132.501193987,-12.46526287
132.665399018,-12.354286791
132.943,-12.274
132.95,-12.0833
133.05,-11.9833
133.051190458,-11.998588116
133.31786169,-12.28191236
133.33,-12.33
134.217849117,-12.048580942
134.234505131,-12.048581956
134.251179815,-12.031916553
134.2833,-12.1833
134.2833,-12.1
134.28433,-12.182044
134.284504303,-12.181912133
134.32,-12.15
134.351177335,-12.198579802
134.462570253,-12.199145074
134.925571,-12.330666
134.95,-12.3
134.95,-12.3
135.0825,-12.3883
135.08276,-12.38854
135.58,-12
135.5833,-12
136.67,-12.22
136.701156401,-12.465240992
136.72,-12.25
136.783333333333,-12.1833333333333
136.7844797,-12.18190616
136.8,-12.22
136.801159337,-12.46523638
136.817854517,-12.281867428
136.83682,-12.33621
136.8461,-12.4064
136.847266338,-12.404959677
136.88925748,-12.24966707
130.69097,-12.57096
130.9,-12.7
131.001212549,-12.698594352
131.067881577,-12.565267221
131.217881607,-12.581924367
131.251208348,-12.631925612
131.251208348,-12.631925612
132.55,-12.72
132.6667,-12.75
132.6667,-12.75
132.6667,-12.75
132.751197317,-12.698590383
132.7833,-12.8667
132.8167,-12.8667
132.83,-12.85
132.83,-12.85
132.834522039,-12.948584762
132.834525876,-12.848582849
132.840312724,-12.870843282
132.8667,-12.65
132.8667,-12.65
132.8667,-12.65
132.8833,-12.5
132.884527037,-12.581913141
132.901194524,-12.715291302
132.9167,-12.7667
132.9289,-12.7786
132.967866276,-12.898587734
134.167849692,-12.748581393
134.167849692,-12.748581393
134.167849692,-12.748581393
135.401171347,-12.915246085
136.03,-12.75
136.0333,-12.75
136.03449157,-12.74857254
130.55,-13.07
130.7956,-13.14
130.8,-13.3667
130.814078,-13.397603
130.834542002,-13.398597155
131.1167,-13.0167
131.234541532,-13.098594414
132.2736,-13.4333
132.27480976,-13.43191563
132.4167,-13.4333
132.5456,-13.2811
132.78,-13.33
132.78,-13.33
132.7833,-13.3333
132.7833,-13.3333
132.7833,-13.3167
132.784343,-13.332044
132.784523256,-13.315252291
132.833333333333,-13.3
132.85,-13.3
132.851198898,-13.298583352
132.9,-13.45
132.901193219,-13.448580402
132.93,-13.1336
132.93,-13.12
132.9333,-13.1417
132.9333,-13.1417
132.934520665,-13.115258497
132.934529024,-13.13191423
134.984506329,-13.015249045
131.4167,-13.5833
131.4167,-13.5833
131.5167,-13.5167
131.517882729,-13.531919566
132.43452768,-13.48191772
133.1508,-13.7683
133.152025496,-13.766923606
136.5,-13.8
136.751165191,-13.898568908
126,-14
126.1,-14
126.1,-13.9833
126.1958,-14.0875
126.1958,-14.0875
126.1958,-14.0875
126.1958,-14.0875
126.196,-14.0875
126.39,-14.2264
126.39027778,-14.22638889
126.3903,-14.2264
126.3903,-14.2261
132.17,-14.17
132.1833,-14.1833
132.18450759,-14.18188862
132.184535024,-14.181916035
132.184535024,-14.181916035
132.201207768,-14.181912767
132.267682,-14.218433
132.417,-14.2325
132.423433294,-14.231083952
132.431292,-14.305654
132.43512,-14.23265
132.4667,-14.3167
132.467681,-14.315377
132.467873719,-14.298582122
132.467873719,-14.298582122
132.467873719,-14.298582122
132.467873719,-14.298582122
132.467873719,-14.298582122
132.47,-14.32
132.47,-14.32
133.301200199,-14.398576142
134.17334561,-14.11551705
134.173346,-14.115517
125.78666667,-14.78111111
125.8,-14.8
125.80138889,-14.61138889
125.93,-14.93
125.9333,-14.9333
125.9333,-14.9333
125.93333333,-14.93333333
125.95,-14.93
126.2,-14.6
127.15805556,-14.69666667
128,-14.6667
128,-14.6667
128,-14.6667
130.734553015,-14.631923135
133.8386,-14.6792
133.9,-14.9
134.451191338,-14.698570165
134.775,-14.675
134.917852965,-14.515238158
135.0627,-14.8093
125.4833,-15.4667
125.48333333,-15.46666667
125.48333333,-15.46666667
125.55,-15.12
125.55,-15.12
125.65,-15.47
126.07,-15.13
126.1167,-15.1167
126.13333333,-15.11666667
126.13333333,-15.11666667
126.15,-15.13
126.2,-15.2
126.2,-15.18
126.3,-15.45
126.3,-15.45
126.3,-15.45
126.664444,-15.022222
126.71666667,-15.26666667
126.75,-15.0833
126.801256479,-15.04861392
126.81666667,-15.03333333
126.82,-15.03
126.91666667,-15.03333333
127.1,-15.1
127.2111,-15.0825
129.534568501,-15.448595071
134.642486933,-15.064480494
135.255246727,-15.093875564
124.734605386,-15.798625011
125.21666667,-15.53333333
125.3,-15.8
126.3,-15.5
126.3,-15.4833
126.38,-15.68
126.4,-15.65
126.4,-15.6
126.401259176,-15.648612425
126.5,-15.5
128.1,-15.9
128.25,-15.68
128.25,-15.68
128.483333333333,-15.5833333333333
128.65,-15.77
128.65,-15.7667
128.651244704,-15.765276091
128.735,-15.762
128.75,-15.75
128.75166667,-15.76861111
128.76666667,-15.78333333
128.76666667,-15.78333333
129.017915977,-15.931926966
129.65872,-15.79352
129.659,-15.793
130.185,-15.9492
130.45122578,-15.69859145
131.7667,-15.6833
131.817885076,-15.781913162
134.58,-15.8
134.5833,-15.8
134.584526281,-15.798565541
135.449513595,-15.823295273
136.167850247,-15.581889904
136.25,-15.83
136.301175296,-15.89855829
136.3167,-15.95
136.55,-15.5833
136.65,-15.6833
136.6667,-15.7167
136.6667,-15.7167
136.6667,-15.7167
136.66783872,-15.7485608
136.673294542,-15.668204619
136.81783938,-15.56522577
123.54277778,-16.08805556
123.5428,-16.0881
