"longitude","latitude"
133.1667,-11.7333
133.167859885,-11.731917272
133.5283,-11.8361
133.529523973,-11.83469316
132.9333,-12.3667
132.934521738,-12.365255659
136.7167,-12.1833
136.730358784,-12.173568125
136.75115367,-12.18190277
136.7833,-12.1667
136.7833,-12.1667
136.784487879,-12.165246899
136.801148817,-12.115242803
136.817821065,-12.448572363
136.817857489,-12.081898221
136.8333,-12.25
136.8333,-12.25
136.867823517,-12.248575816
136.867823517,-12.248575816
136.88004,-12.23958
136.8808,-12.4111
136.886987805,-12.408292617
136.88925748,-12.24966707
136.9061,-12.3908
136.907264593,-12.389404948
136.907264593,-12.389404948
136.9256,-12.3072
136.926715711,-12.305788851
141.701101873,-12.231884228
130.9,-12.7
130.966666666667,-12.6666666666667
130.966666666667,-12.6666666666667
131.35,-12.65
131.9167,-12.85
131.9167,-12.85
131.917870345,-12.84859478
132.417866686,-12.581919323
132.417866686,-12.581919323
132.484500914,-12.665287312
134.817843344,-12.698582379
136.761718606,-12.527737581
136.761718606,-12.527737581
136.800311475,-12.507460645
141.892542929,-12.6069597799
134.151189073,-13.331909405
135.87842,-13.25958
136.084496351,-13.460242203
136.084496351,-13.460242203
136.201162537,-13.198573342
131.067688,-13.482047
132.567874866,-13.565256123
132.587565093,-13.56706455
132.597595988,-13.579810516
132.600357481,-13.580740628
132.7333,-13.5667
132.73452768,-13.56525265
134.42,-13.65
135.777843229,-13.552182087
135.908947943,-13.664962525
135.9864,-13.7164
135.987559317,-13.714956762
136.71783238,-13.91523757
136.734491214,-13.848561369
126,-14
127,-14
127.5,-14.1
127.5333,-14.1
127.5333,-14.1
134.084516756,-14.081909258
134.5097,-14.0269
134.50981,-14.02696
134.51,-14.03
134.55,-14
134.551184091,-13.998572017
134.62492,-14.19286
134.62492,-14.19286
134.717850497,-14.231901376
134.751186435,-14.015243489
125.1833,-14.5833
125.7,-14.65
125.75,-14.5667
125.76666667,-14.86666667
125.7667,-14.8667
125.7667,-14.6
125.8,-14.6
125.83333333,-14.56666667
125.84166667,-14.55833333
131.602329595,-14.760524583
132.334535699,-14.748581236
132.401208452,-14.615251003
132.4167,-14.5667
132.417877898,-14.565255688
132.426,-14.619
132.434540506,-14.615250009
132.4667,-14.5667
132.4667,-14.5667
132.467681,-14.565377
132.467874617,-14.581909818
132.467879412,-14.531917107
132.467879451,-14.565251657
132.5333,-14.6
132.534532178,-14.598586466
132.534532178,-14.598586466
133.0597,-14.92
133.067678,-14.932041
133.084530582,-14.915245349
133.1361,-14.9231
133.167875741,-14.915250085
133.184529847,-14.931911982
133.2667,-14.9667
133.267869019,-14.965247676
133.3667,-14.9167
133.367869451,-14.915245609
133.434503662,-14.915277321
134.651184316,-14.73190342
134.951185225,-14.665236637
135.3667,-14.8167
135.3667,-14.8167
135.367850498,-14.815233652
135.367850498,-14.815233652
141.5842171966,-14.9152830768
141.5842171966,-14.9152830768
141.5842171966,-14.9152830768
141.5925496776,-14.5736178026
141.9667,-14.8833
124.58333333,-15.41666667
125.06666667,-15.28333333
125.06666667,-15.28333333
126.66666667,-15.03333333
126.81666667,-15.03333333
126.81666667,-15.03333333
126.8167,-15.0333
131.251221211,-15.415261639
131.3,-15.45
131.3,-15.45
131.3,-15.4
131.301220361,-15.448592529
131.3244,-15.3981
133.1,-15.1
133.101201471,-15.098579009
133.101201471,-15.098579009
133.11,-15.42
133.117877011,-15.081909769
134.084529404,-15.215244247
135.734510071,-15.148566597
141.5342,-15.3819
141.5342,-15.3819
141.5425520933,-15.3902812964
141.7,-15.0333
143.186,-15.157
143.18615,-15.1567
143.48,-15.05
143.48,-15.05
143.48,-15.05
143.4833,-15.05
143.484423371,-15.048530541
143.4925305002,-15.0569450362
