"longitude","latitude"
132.228788,-11.216772
132.234521828,-11.248596866
132.3411,-11.1239
133.217863831,-12.448583988
133.22,-12.45
130.83405,-12.73469
130.876,-12.7183
131.0136,-12.6665
131.0211,-12.5556
131.0211,-12.5556
131.0292,-12.5561
131.034537086,-12.548594724
131.051207184,-12.548594322
131.067906255,-12.798597908
131.088145355,-12.729989168
131.09833,-12.75028
131.1117,-12.7267
131.13453889,-12.69859458
131.1444,-12.8894
131.55466,-12.80208
131.55499,-12.80207
131.5928,-12.8761
131.617909377,-12.881888883
133.001193628,-12.498585338
130.717321041,-13.108597394
130.7850987,-13.0597076
131.034545271,-13.098596755
131.12,-13.27
131.184540756,-13.248597115
131.2333,-13.1
131.234541532,-13.098594414
126.6,-14.3
126.6,-14.3
126.634553163,-14.298613124
126.68333333,-14.26666667
126.68361111,-14.31305556
132.0139,-14.1592
132.0139,-14.1592
125.85,-14.82
126.71666667,-15.26666667
131.85,-15.87
125,-16
126.48811111,-16.17941667
