"longitude","latitude"
142.2455927123,-10.9116909695
142.247317,-10.593152
142.4905555556,-10.778333333
130.81824,-11.36313
131.036218206,-12.155282547
133.31786169,-12.28191236
134.05,-12.1833
134.25,-11.98
135.55,-12.07
142.166667,-12.383333
142.1758729969,-12.3902938415
142.641,-12.4556
142.6418681957,-12.4542928463
142.6425348592,-12.4569594975
142.9258648823,-12.2402936399
143.0667,-12.25
143.07,-12.25
143.0758633042,-12.2569600157
130.733333,-12.5
130.77,-12.49
131.272222222,-12.960277777
132.8603,-12.8511
132.901189386,-12.481918603
132.9333,-12.7833
132.934341,-12.782044
132.934341,-12.782044
132.990729,-12.579823
133.0053,-12.8172
133.051191255,-12.615282221
135.2167,-12.6333
143.0091982767,-12.8902899687
143.0167,-12.8833
143.0167,-12.8833
143.2591953622,-12.7402904108
130.769167,-13.080833
131.2333,-13.1
132.4167,-13.4167
132.42,-13.42
132.6,-13.3
134.98,-13.02
134.9833,-13.0167
141.733333,-13.366667
141.7342,-13.3653
141.7342,-13.3653
141.73427,-13.365362
141.7425457475,-13.373622895
142.1994,-13.4447
142.6758687894,-13.0736228524
142.74,-13.2156
142.74,-13.2156
142.9411,-13.0925
142.951016517,-13.4636204075
142.9580277778,-13.4391388885
142.9965245184,-13.1836939701
143.0469444444,-13.1624999996
130.75,-13.6
141.69254672,-13.6236218079
143.2833,-13.7
143.2925299395,-13.7069519228
143.30108451,-13.71520722
143.3056555025,-13.7239965539
143.4167,-13.6667
143.4591948882,-13.7569513788
143.4833,-13.6667
143.4925277082,-13.6736184151
132.3833,-14.1
132.3833,-14.1
132.7167,-14.0167
135.72,-14.25
143.73305556,-14.30722222
125.15,-14.58
125.15,-14.58
125.666666666,-14.8333
125.66666667,-14.81666667
125.71732983,-14.82133974
125.7833,-14.4833
125.8,-14.6333333333333
125.8,-14.6333
125.884591028,-14.581949456
126.340278,-14.8625
128.06666667,-14.68333333
130.151223031,-14.565261699
130.8833,-14.6833
133.267869019,-14.965247676
143.289,-14.512
143.28946667,-14.51233056
143.85,-14.5333
143.85,-14.5333
143.85083333,-14.53638889
143.85919202,-14.5402800653
144.1258556678,-14.5069463759
144.5972232256,-14.5126909807
130.1667,-15.0833
130.817694,-15.465381
133.148,-15.412
143.7591941972,-15.0402778835
143.76694444,-15.0461111095
144.3172365301,-15.3316175431
129.5561,-15.5081
129.709047058,-15.585907216
129.81548239,-15.51652711
130.1814,-15.8367
131.140747,-15.576491
144.5258535657,-15.5902736791
125.0462,-16.4067
129.32,-16.25
130.1,-16.2167
130.1,-16.2167
130.1,-16.2
130.31,-16.4533
130.36790213,-16.16526646
130.801240899,-16.027175212
133.434534041,-16.165244523
145.05,-16.25
145.0667,-16.2833
145.0667,-16.2833
145.0667,-16.2833
145.0667,-16.2833
145.0667,-16.2833
145.0667,-16.2833
145.0667,-16.2833
145.0667,-16.2833
145.0667,-16.2833
145.067576,-16.282009
145.0758490216,-16.2902692251
145.0925154966,-16.2902691852
145.38,-15.98
127.59116667,-16.61947222
134.3833,-16.4833
144.15,-16.5167
144.15,-16.5167
144.15833333,-16.5249999995
144.1833,-16.8167
144.19166667,-16.8249999995
144.2667,-16.7333
144.2667,-16.7333
124.73,-17.25
124.7667,-17.2833
128.25,-17.188889
128.48903718,-17.26079003
135.6667,-17.3333
144.548,-17.194
144.55,-17.1833
144.55,-17.1833
144.55,-17.1833
144.55,-17.18
144.55,-17.1667
144.5591906789,-17.1736001445
144.66611111,-17.10972222
144.9591863591,-17.2652653767
145.1833,-17.2167
145.5577664727,-17.2473391951
145.5757267539,-17.3002789959
145.576,-17.3
144.5333,-18.1
144.5333,-18.1
144.8167,-18.1167
144.8167,-18.1167
144.8167,-18.1167
144.825,-18.1089
144.82585718,-18.1235958084
144.8297897074,-18.098967004
144.8333,-18.1167
144.8333,-18.0833
144.8333,-18.0833
144.9175226546,-18.0819290257
144.9621654064,-18.4120750203
145.3739,-18.2314
146.4147310918,-19.2605313568
146.414979062,-19.260385299
146.6258401547,-19.4069190599
146.7425047052,-19.206919416
146.8333,-19.1667
146.8583,-19.15
146.8667,-19.5167
146.8667,-19.5167
146.87,-19.52
146.8758375146,-19.523584518
146.625842766,-20.1235832963
146.7425081305,-20.1569161291
147.7758284573,-20.1069128677
148.4591529035,-20.0402442283
148.4591530837,-20.0902440406
146.9238962051,-20.5266365525
147.9124423531,-20.8334576427
148.8333,-21.7333
148.8333,-21.7333
148.8333,-21.7333
148.8395283308,-21.7472603311
150.1941336202,-22.4363422159
149.8591455938,-22.7735635016
150.4730744847,-23.5960304338
150.9758010285,-23.6402233524
151.08,-23.58
149.3403,-24.9275
149.3412825454,-24.9260035937
149.7583333333,-24.8083333326
149.9174867782,-24.5818920543
151.9248325892,-24.5004362139
149.7050778674,-25.041674893
150.01,-25.1764
150.0108219386,-25.1749460229
150.2539,-25.2853
150.2547080637,-25.2838336291
150.255,-25.2836
150.2699856123,-25.2796669016
150.4360015577,-25.2015587468
151.18,-25.25
151.1924726714,-25.2568851334
151.9174623876,-25.248548704
148.8936111111,-25.4883333333
152.5772781042,-25.8151273721
147.648251298,-26.3335807638
149.8424974152,-26.3402227225
150.82,-26.07
151.9157807279,-26.7930890759
151.9477527131,-26.8168027928
152.1978415274,-26.946699434
149.5841741607,-27.4152228769
151.8630310972,-27.4621560771
152.5091300298,-26.9902092824
152.0717210121,-27.7637503408
152.3091371974,-27.7068758382
152.6627777778,-28.1238888881
152.6833,-28.1167
152.6833,-28.1167
152.6833,-28.1167
153.465,-28.594
153.465,-28.594
