"longitude","latitude"
142.2833,-10.5833
142.2833,-10.5833
142.3167,-10.9667
142.317756175,-10.965225609
142.367752984,-10.915231642
142.4425350219,-10.8236357589
142.1676,-11.1319
142.167758753,-11.131886984
142.1758714443,-11.1403008046
142.351083041,-11.165222939
142.3592029048,-11.1736337526
142.3667,-11.1167
142.367752305,-11.115229571
142.3758693456,-11.1236340302
142.8,-11.4
142.801080028,-11.431882385
142.8091984646,-11.4402983763
132.9,-11.5833
142.006008047,-11.8803794033
142.0092072703,-11.8069638721
142.0258738739,-11.8902967309
142.1,-11.5
142.101092198,-11.498554605
142.1092058737,-11.5069654321
142.58441802,-11.73188226
142.592534434,-11.7402968809
133.3333,-12.3
133.9,-12.35
135.567833075,-12.031909275
136.82515,-12.38975
142.29257778,-12.2772694396
142.967752668,-11.981881705
142.9758640198,-11.9902949894
143.034411027,-12.248550503
143.0425303273,-12.2569600595
143.084413874,-12.065215979
143.0925295489,-12.0736277008
132.85,-12.85
142.0025,-12.6449999996
143.178448526,-12.7238971562
143.18,-12.72
143.1842,-12.7153
143.184412895,-12.73187002
143.184417635,-12.715215074
143.1925293879,-12.7236239319
143.292528543,-12.8736229678
143.3,-12.8667
143.301084047,-12.865212767
143.3091950264,-12.873622943
142.9,-13.12
142.9,-13.1167
142.9,-13.1167
142.901086014,-13.115214603
142.9091997204,-13.1236222251
142.9333,-13.45
142.9675,-13.1538888889
142.9961432261,-13.1169554529
143.01158333,-13.2677222196
143.017759422,-13.048542765
143.02586503,-13.0569557252
143.0333,-13.35
143.034418949,-13.348542752
143.0425320175,-13.3569541346
143.2167,-13.2833
143.2176,-13.2819
143.2176,-13.2819
143.217751221,-13.281870249
143.22,-13.28
143.2258632648,-13.2902875157
143.3875305556,-13.0346166667
136.784494945,-13.865238966
136.80223,-13.87461
136.8087,-13.8799
142.7927777778,-13.6591666667
143,-13.6
143.03,-13.6
143.0333,-13.6
143.0333,-13.6
143.034418765,-13.598538326
143.0425324559,-13.60695286
143.0833,-13.6667
143.09777778,-13.80916667
143.1,-13.5
143.1,-13.5
143.101091963,-13.515207659
143.1091982572,-13.5236198359
143.117754983,-13.765201806
143.1258651954,-13.7736185449
143.1397540049,-13.8111183332
143.1425317749,-13.8236182659
143.151092288,-13.798537202
143.15166667,-13.75194444
143.1536427761,-13.8277848954
143.45,-13.68
143.45,-13.68
143.4591947674,-13.6902850534
143.4922496647,-13.5211192057
126.7333,-14.0833
141.8167,-14.45
141.817778246,-14.448541799
141.82,-14.45
141.8258803351,-14.4569511517
141.9833,-14.2
141.984438421,-14.198540457
141.9925447431,-14.2069519207
143.48194444,-14.05916667
144.4175188961,-14.415279615
144.4176,-14.4153
144.4176,-14.4153
144.4425183705,-14.2902802097
144.4519444444,-14.3377777778
141.98138333,-14.78275
142.0719444444,-14.8316666662
142.1758773558,-14.7736157359
142.331,-14.771
142.33111111,-14.77111111
142.5,-14.8
142.534430994,-14.798536268
142.5425402129,-14.806948152
142.5925397873,-14.8569478312
142.95109833,-14.9485302
142.9592027386,-14.9569466126
143.2091994137,-14.6736140514
143.225866336,-14.8736130979
143.45,-14.62
143.45,-14.62
143.45,-14.6167
143.45,-14.6167
143.451090459,-14.615195626
143.4591965892,-14.6236137836
143.5333,-14.7667
143.57638889,-14.75111111
143.6833,-14.55
143.7216666667,-14.5025
143.9,-14.62
143.9,-14.6
143.9,-14.6
143.9,-14.6
143.901082978,-14.615193923
143.9091916432,-14.6236128911
143.9167,-14.6
143.9167,-14.6
143.917752205,-14.598530979
143.92,-14.6
143.925858091,-14.6069462727
144.4463888889,-14.5683333333
144.6886273204,-14.5941670793
144.767740971,-14.698522509
144.7758487851,-14.7069441095
144.434411358,-15.065195293
144.4352978614,-15.0799985064
144.8170162755,-15.3052743944
144.95805556,-15.26555556
145.001069527,-15.181847745
145.00833333,-15.3083333295
145.0083333333,-15.3083333328
145.0091804969,-15.1902745524
145.0091804969,-15.1902745524
145.051069113,-15.265186153
145.0591801104,-15.2736073707
145.0925130254,-15.2569407162
145.096895971,-15.256850724
145.117735794,-15.215186692
145.1258459033,-15.223607478
145.1667,-15.4333
145.1833,-15.4667
145.184239,-15.465346
145.184399972,-15.465181591
145.1916666667,-15.4583333328
145.1927777778,-15.4624999995
145.201069343,-15.281848863
145.20111111,-15.46666667
145.2091784289,-15.2902736404
145.2091787287,-15.4236063175
145.2333,-15.4333
145.2333,-15.4333
145.234238,-15.432012
145.234403708,-15.431841489
145.242511679,-15.4236062463
145.2425117169,-15.4402728314
145.2508448976,-15.4152729395
145.2508448976,-15.4152729362
145.251071286,-15.465184961
145.2591778917,-15.3069401195
145.2591782677,-15.473605966
145.3333,-15.2667
145.35,-15.28
145.35,-15.28
145.3591767036,-15.2902733264
145.2583333333,-15.4916666662
145.2583333333,-15.4916666662
145.3,-15.5833
145.7063984596,-16.7485989735
145.7063984596,-16.7485989735
145.9591232467,-16.7419650476
142.2844961677,-17.9786038632
142.3547744883,-18.3630469869
142.4175517673,-18.4152688654
145.9175109396,-18.0819261487
145.9925101788,-18.1235924377
145.5008505284,-18.4985924537
142.56722222,-19.06166667
