"longitude","latitude"
132.151198091,-11.381928296
132.16091077,-11.40692732
132.4937,-11.3963
130.2122,-11.5922
132.317868189,-12.398594267
132.351196857,-12.381919363
132.501193987,-12.46526287
132.617865852,-12.315255327
130.984540606,-12.481924955
131.251208348,-12.631925612
131.317876198,-12.64859539
132.417866686,-12.581919323
132.417867322,-12.665263003
132.484927155,-12.673422798
131.1,-13.05
131.101213974,-13.048592759
142.4258712964,-12.9902903398
142.7696666667,-13.0821027774
145.20972222,-15.74416667
145.23444444,-15.76472222
145.12280157,-16.56453086
145.232777778,-16.6352777778
145.23286111,-16.6353888895
145.5,-17.1
146.0758,-18.3836
146.07596099,-18.3834494994
146.7758380935,-19.3402521594
146.7889541667,-19.3529108327
146.8,-19.3
146.8091710779,-19.356918661
