"longitude","latitude"
132.215365112,-11.266937421
130.5336,-11.5114
130.667877832,-11.515273455
130.7833,-11.7
130.784537587,-11.698598785
132.75,-11.65
132.75,-11.65
132.75,-11.65
131.090364726,-12.455268952
132.617865852,-12.315255327
132.95,-12.43
133.05,-12.3
133.084518994,-12.331916742
133.3,-12.3
133.6667,-12.0833
133.667668,-12.082045
133.667857248,-12.081918418
130.984535075,-12.548598681
131.05,-12.5167
131.1667,-12.6
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.301203272,-12.565262727
131.7917,-12.6722
132.4167,-12.9167
132.417866686,-12.581919323
132.55,-12.8333
132.551192483,-12.831915682
132.5667,-12.9167
132.567864956,-12.915259016
132.75,-12.7667
132.8167,-12.8667
132.8167,-12.8667
132.834521036,-12.865255869
132.8833,-12.6667
132.88452284,-12.66525502
132.895453286,-12.663434858
132.950527791,-12.681940091
132.951195273,-12.481887483
132.95612,-12.53957
133.2,-12.7833
135.467839535,-12.881904238
130.144,-13.161
130.717887827,-13.031925281
130.75219,-13.24564
130.777324614,-13.151928467
130.801217675,-13.165265574
131.117878055,-13.265263155
131.822870667,-13.090248781
132.0833,-13.4
132.083333333,-13.4
132.4167,-13.4167
132.8,-13.1
132.8,-13.1
132.8,-13.1
134.834502224,-12.998576405
129.867898686,-13.948597563
130.467692,-13.632048
130.484549983,-13.631895416
131.351209321,-13.781925145
132.267871914,-13.548583999
132.467870121,-13.531918344
132.567184468,-13.57319111
132.4811,-14.2821
132.5569,-14.3563
134.1678,-14.1789
134.16795,-14.17892
134.3867,-14.1258
125.85,-14.82
129.981944444,-14.523055555
134.706267046,-15.112742779
129.17021,-15.62308
125.42361111,-16.73611111
