"longitude","latitude"
131.201760809,-11.288315416
132.053133573,-11.198872614
132.144494113,-11.154196277
132.144494113,-11.154196277
132.22044,-11.4635
132.586456358,-11.340534572
132.646990386,-11.210497803
132.853970288,-11.052484807
132.867856987,-11.148594081
133.398125902,-11.527200322
142.8591981054,-11.5902974401
132.317868189,-12.398594267
132.934521738,-12.365255659
134.851176177,-12.065246944
134.9167,-12.1
134.9178,-12.3692
134.917845594,-12.098580893
134.925571,-12.330666
135.566444614,-12.02692042
135.567833075,-12.031909275
136.151161678,-12.065249184
136.7385,-12.1783
136.7386,-12.1783
136.75,-12.3333
136.75115106,-12.33190058
142.760647412,-12.4142532464
142.761,-12.414
130.567880607,-12.565269461
130.9325,-12.4811
131.251208348,-12.631925612
131.301210517,-12.53192766
131.317876198,-12.64859539
131.317876198,-12.64859539
131.334540705,-12.648594387
131.617877757,-12.931920482
132.325370669,-12.538027078
132.417866686,-12.581919323
132.434900357,-12.707276216
133.267862839,-12.748584149
141.8667,-12.7333
141.875876641,-12.7402924585
141.99952995,-12.65302522
131.001213943,-13.148591585
131.017883882,-13.048596432
131.101213974,-13.048592759
131.134544122,-13.231922714
132.2678724,-13.3819143
136.084493827,-13.45968168
141.6631,-13.3511
141.750879069,-13.4152893528
143.1522222222,-13.2177777778
130.684543111,-13.748593043
130.751218378,-13.748598425
131.15822,-13.89433
131.401215676,-13.715260224
132.606767821,-13.586223363
132.606767821,-13.586223363
130.77464,-14.32952
130.991,-13.981
130.9914,-13.9808
130.99158,-13.98088
131.0775,-14.1521
132.14429,-14.39513
132.151212931,-14.415256755
132.567877293,-14.365252834
132.6562,-14.115
144.2508540917,-14.4152799301
125.78333333,-14.76666667
125.8,-14.7
126.4906,-14.7758
129.540389286,-14.546649056
132.0242,-14.7997
132.472600301,-14.577471236
133.122311512,-14.942741754
134.7433,-14.7599
144.0925228757,-14.5902793615
144.226111111,-14.9597222222
144.2261111111,-14.9597222222
144.5676,-14.5819
144.567739777,-14.581856803
144.57,-14.58
124.95138889,-15.05583333
130.607,-15.1139
130.970621,-14.990968
133.171002585,-15.015578719
135.698265194,-15.146453942
145.0136248733,-15.1813857003
145.1825,-15.4383333333
128.46666667,-15.88333333
128.5,-15.5
128.688,-15.688
128.7,-15.65
128.701247911,-15.648601274
128.71791174,-15.64860527
128.73333333,-15.76666667
128.73333333,-15.76666667
128.73333333,-15.76666667
128.73333333,-15.76666667
128.7505,-15.8006
128.75180333,-15.79911995
128.75249419,-15.85664467
129.748721451,-15.616141396
130.3156,-15.8633
130.31569,-15.86342
130.4436,-15.6244
131.167893461,-15.59859271
131.501221279,-15.498584352
135.4126,-15.7972
145.2258454324,-15.5236057944
145.2266666667,-15.7644444444
145.2266666667,-15.7644444444
145.2267,-15.7644
145.32416667,-15.59333333
145.342510948,-15.6069384699
124.97,-16.35
130.4208,-16.1136
130.4361,-16.1292
130.4361,-16.1292
131.967887483,-16.115256885
144.7091867244,-16.3569364812
145.03,-16.1317
145.0314046866,-16.132214487
145.0341824275,-16.1302700449
128.42,-16.73
129.151388889,-16.865555555
129.539848729,-16.509702941
135.7306,-16.7125
143.785,-16.54388889
143.9075,-16.5261111111
145.01438889,-16.4975555595
145.0144,-16.4975
145.0144,-16.4975
145.2281606636,-16.8750778481
145.23286111,-16.6353888895
145.316,-16.946
145.316366,-16.946089
145.3164,-16.9461
145.3425138359,-16.7569331783
125.14806,-17.05028
130.936944444,-17.310555556
135.784524788,-17.148559804
139.2583333333,-17.4186111111
141.7508884046,-17.2486076423
144.5049166667,-17.1229166667
144.5122222222,-17.1036111111
144.51805556,-17.16638889
145.4175138589,-17.0819315923
145.4425135442,-17.0735982294
145.4925130077,-17.0902646958
145.5,-17.1
145.5091794764,-17.0902646559
145.5091794764,-17.0902646559
145.5091794764,-17.0902646559
145.5177777778,-17.085
145.5358,-17.1061
145.5361,-17.10619
145.5361,-17.1061
122.20944444,-17.70555556
122.2111,-17.7047
122.2112,-17.7046
