"longitude","latitude"
132.592577519,-10.980267148
136.171965317,-12.369969536
136.75,-12.4667
136.867858465,-12.423566299
136.880422,-12.450928
136.880422,-12.450928
136.135325326,-13.45357179
133.790627037,-13.584413049
135.7894,-13.5858
135.792284785,-13.579134558
126.36666667,-14.20833333
126.65,-14.45
126.7,-14.1
135.71784862,-14.28189999
135.71784862,-14.28189999
143.7,-14.1667
143.7,-14.1667
143.7,-14.1667
144.2333,-14.1833
144.2333,-14.1833
144.3833,-14.2833
144.4167,-14.25
144.4167,-14.25
144.417745796,-14.265194512
132.15,-14.95
132.15121437,-14.94858254
133.184529847,-14.931911982
133.196288,-14.955375
133.19647372,-14.95525047
134.334335,-14.615373
133.237308733,-15.012189069
135.63701,-15.19033
145.01666667,-15.03333333
145.227740796,-15.444899882
145.25,-15.4667
145.25,-15.4667
131.08169,-15.78126
136.3333,-15.6167
136.35117221,-15.61523202
136.6167,-15.7333
136.617838741,-15.731884072
136.617840901,-15.848557391
136.641384331,-15.681098638
136.65288,-15.59667
136.6833,-15.7333
136.81783938,-15.56522577
136.861793212,-15.532923104
136.867651,-15.515365
136.867841541,-15.515223484
145.2167,-15.5167
145.25,-15.4833
145.251070707,-15.498513825
145.3,-15.5833
145.3,-15.5833
145.3,-15.5
130.584557598,-16.031918245
130.6833,-16.0333
130.684555612,-16.031924198
130.7353,-16.03
131.163724927,-16.365288811
137.767837376,-16.298554367
122.78333333,-16.58333333
128.66525576,-16.90134392
139.2333,-16.6667
145,-16.5
145.2167,-16.5667
145.4667,-16.4833
122.15,-17.37
123.633333333333,-17.3166666666667
124.7836,-17.3725
127.33666667,-17.35861111
128.35833333,-17.35833333
128.38333333,-17.38333333
129.051246742,-17.081928367
129.067916734,-17.098601217
145.2333,-17.1
145.4597,-17.4625
145.4597,-17.4625
145.46,-17.4625
145.5,-17.3833
122.1333,-17.4833
122.14805556,-17.56527778
122.155581,-17.505472
122.23333333,-17.96666667
130.901237128,-17.531916795
139.6833,-17.6
140.8833,-17.4833
145.48,-17.62
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.4833,-17.6167
145.48507,-17.61407
122.344444,-17.977222
145.5833,-18.1833
146.2,-18.95
146.2,-18.95
146.1,-19.0167
146.6,-19.0333
146.6,-19.0333
120.75,-19.75
120.9,-19.8167
123.35,-19.67
123.35,-19.67
123.35,-19.6667
146.867567,-19.515326
147.5,-19.5167
120,-20
120,-19.9833
143.6667,-20.1833
144.783,-20.395
144.8333,-20
148.2333,-20
148.7167,-20.2667
116.583,-20.475
116.61138889,-20.59472222
116.7,-20.8
116.76666667,-20.78333333
116.79821236,-20.63603918
116.8,-20.6333
116.8,-20.6
116.81666667,-20.63333333
116.83333333,-20.73333333
116.84,-20.51
117.06666667,-20.61666667
117.72138889,-20.63666667
117.72138889,-20.63666667
118.055,-20.52
118.06638889,-20.51638889
116.184158,-21.000731
116.185,-21.001
146.68563,-21.214766
149.2,-21.2
115.1,-21.6667
115.11138889,-21.63805556
115.11666667,-21.63333333
146.667577,-21.481987
146.8667,-21.6483
146.95,-21.7667
148.4667,-21.8667
148.5667,-21.6667
113.9,-22.3
114.51559,-22.09416
131.67,-22.35
149.53,-22.35
149.5333,-22.3333
114.47358851,-22.55940673
118.98444697,-22.74427257
119.005333,-22.73961
131.3542,-22.8481
132.4,-22.7833
132.4,-22.7833
132.401270448,-22.781913058
132.567934059,-22.898573332
132.6667,-22.9667
132.886322,-22.730381
135.4667,-22.9
135.46790527,-22.89855511
135.5667,-22.5667
135.5808,-22.5806
135.584563805,-22.498557152
135.784561659,-22.598555467
135.8,-22.6
146.5667,-22.7
147.6333,-22.8333
149.2667,-22.85
149.2833,-22.7
149.43,-22.85
149.55,-22.8833
149.8167,-22.7833
119.68972222,-23.18472222
131.917942575,-23.331913003
147.65,-23.4333
147.7,-23.4333333333333
148.15,-23.4333
150.7833,-23.1833
150.78413,-23.16523
150.8,-23.1833
150.8,-23.1833
150.8,-23.1833
150.8,-23.1833
150.96747,-23.21523
118.52916667,-23.88333333
130.85128665,-23.83192178
132.3167,-23.6667
132.7,-23.7
132.717946179,-23.915250386
132.7242,-23.633
132.734606424,-23.63190882
132.77,-23.95
132.901265076,-23.548572943
132.9107,-23.7432
132.95,-23.75
132.951271692,-23.74857624
132.9667,-23.75
132.9667,-23.75
132.96793635,-23.74857966
133.051271977,-23.68190849
133.084597474,-23.831900696
133.084599403,-23.481901123
133.101268178,-23.665247717
133.267932153,-23.66524144
133.3794,-23.7364
133.42,-23.75
133.45,-23.72
133.45,-23.72
133.45,-23.72
133.45,-23.72
133.45,-23.7
133.451261652,-23.715242372
133.451261652,-23.715242372
133.8667,-23.7
133.867930489,-23.698568617
133.9,-23.7
134.373308932,-23.529536426
150.3333,-23.75
150.6667,-23.6667
150.7167,-23.6667
150.816666666,-23.7333
150.8167,-23.7333
150.817537,-23.731966
150.95,-23.67
150.95,-23.6667
114.8424888,-24.3006602
114.8424888,-24.3006602
116.46666667,-24.11666667
116.47916667,-24.11527778
116.4792,-24.1153
116.48638889,-24.12083333
116.4864,-24.1208
131.566666666667,-24.25
132.0531,-24.2422
132.057222222,-24.164722221
132.6667,-24.0667
132.667941684,-24.06524536
132.67,-24.05
132.75,-24.07
132.75,-24.07
132.75,-24.0667
132.75,-24.0667
132.75,-24.0667
132.75,-24.0667
132.75,-24.0667
132.751272835,-24.065247602
132.751272835,-24.065247602
132.751272835,-24.065247602
132.751272835,-24.065247602
132.751272835,-24.065247602
132.751272835,-24.065247602
132.751272835,-24.065247602
132.751272835,-24.065247602
132.751277214,-24.081903412
132.817719,-24.065385
133,-24
133,-24
133,-24
133.1,-24.45
133.617935586,-24.365243636
133.63459824,-24.33190183
133.6411,-24.3325
149.067561,-24.081972
149.9,-24.3667
150.05,-24.03
150.55,-24.45
150.8167,-24.3333
150.8167,-24.3333
113.63,-24.78
113.63333333,-24.91666667
113.65805556,-24.87972222
113.6667,-24.8167
113.6667,-24.8167
149.0833,-24.9
149.0833,-24.9
149.911,-24.5911
151.325278,-24.890278
151.3253,-24.8903
151.3333,-24.7167
151.3333,-24.7167
151.334202,-24.715295
152.467521,-24.81529
131.75,-25.25
149.2494,-24.9839
149.249444,-24.983889
151.3667,-25.4167
151.88,-25.46
152.923073,-25.431953
128.38,-25.95
129.4961,-25.9256
148.91112,-25.57578
149.37,-25.67
150.3167,-25.55
151.334208,-25.881959
151.35,-25.97
118.3,-26.1
128.801306,-26.299139
129.035833,-26.266944
129.05,-26.15
129.05,-26.15
129.134423,-26.15708
131.25,-26.3333
131.471667,-26.218889
131.5,-26.25
131.5056,-26.31
131.506944,-26.302222
131.51,-26.31
131.743611,-26.318611
131.745797,-26.318454
131.745797,-26.318454
131.745797,-26.318454
131.745797,-26.318454
131.745797,-26.318454
131.745797,-26.318454
131.745797,-26.318454
131.7881,-26.3306
131.789131,-26.329288
131.814444,-26.281111
135.09,-26.274
135.394382,-26.451489
135.481604,-26.462878
135.481604,-26.462878
135.483333,-26.466667
135.484381,-26.465378
135.484381,-26.465378
135.5,-26.4
135.501944,-26.421389
135.504104,-26.422321
135.5167,-26.4667
135.522436,-26.407321
135.522715,-26.460932
135.522715,-26.460932
135.522715,-26.460932
135.522715,-26.460932
135.522715,-26.460932
135.522715,-26.460932
146.221,-26.4419
147.55,-26.45
149.4667,-26.1167
119.96511314,-26.58151303
132.0333,-26.7667
135.075497,-26.713992
135.440771,-26.510655
135.466605,-26.5126
135.4667,-26.5167
135.46767,-26.5153
135.467716,-26.515378
135.471881,-26.4751
135.484381,-26.515378
142.95,-26.62
143.7,-26.6
143.73,-26.6
150.6333,-26.75
150.6333,-26.75
150.8667,-26.85
150.8667,-26.85
151.8833,-26.5667
151.95,-26.8166666666667
140.2,-27.4
151.1,-27.4
151.1,-27.4
151.1,-27.2833
151.117554,-27.315293
152.5,-27.1
152.5333,-27.1
152.5333,-27.1
152.7,-27.2333
152.702778,-27.316667
152.7167,-27.25
152.72,-27.25
152.7833,-27.3667
153.01666667,-27.01666667
115.77605556,-27.66505556
116.9,-27.5
121.3,-27.9
134.146,-27.958
135.417724,-27.532048
135.446612,-27.545658
135.45,-27.55
138.667698,-27.915363
148.15,-27.9666666666667
150.1386,-27.505
150.1386,-27.505
152.8,-27.5
152.85,-27.65
152.85,-27.65
152.867532,-27.631949
152.9069,-27.615
153.3486,-27.7611
114.21527778,-28.10694444
114.96666667,-28.36666667
115.23111111,-28.44722222
115.57888889,-28.16083333
115.6875365,-28.1820762
116.036389,-27.986944
116.893778,-28.026083
136.150833,-28.418056
136.172778,-28.400278
136.208056,-27.996389
136.476887,-28.302878
138.661865,-28.016474
144,-28
144.2,-28.0833
144.8,-28
145.6833,-28.0667
145.6833,-28.0667
145.75,-28.4
145.9667,-28.1
148.58,-28.05
151.0875,-28.4583
151.176111111111,-28.2475
152,-28
152.183333333333,-28.0833333333333
152.3,-28.42
152.35,-28.37
152.4,-28.05
152.45,-28.1833
152.45,-28.18
152.6833,-28.1833
153.1333,-28.0833
153.2,-28.2167
153.2,-28.1333333333333
153.2661,-28.1106
114.94652121,-28.86073081
114.97,-28.85
150.724,-28.7969
152.7394,-28.8275
136.57,-29.15
136.572,-29.154
136.65,-29.23
136.65,-29.23
136.7922,-29.40094
136.7922,-29.40094
136.7922,-29.40094
136.7922,-29.31066
136.8,-29.4
136.8,-29.4
136.8,-29.4
136.8,-29.4
136.8,-29.4
136.8,-29.4
136.8127,-29.39982
136.818,-29.39855
137.7677,-29.38204
137.9,-29.0667
137.966,-29.44
138,-29.4167
138.2958,-29.40731
138.3833,-29.2167
138.3844,-29.28204
138.45,-29.01667
138.458,-29.01787
139.15,-29.05
141.8,-29.0667
141.92,-29.25
141.93,-29.25
141.93,-29.25
141.9333,-29.25
142.0333,-29.3667
142.0677,-29.46535
142.2677,-29.38201
142.47,-29.43
145.9667,-29.1833
145.97,-29.17
148.08,-29.42
149.75,-29.2
149.8,-29.2
149.8343,-29.4653
149.8343,-29.4653
150.223,-29.2065
150.9547,-29.13194
136.9177,-29.48204
137.0844,-29.4762
137.3177,-29.58204
137.4,-29.5
137.4,-29.5
137.4344,-29.58204
137.5386,-29.6243
137.705,-29.964
137.705,-29.964
137.7153,-29.65111
137.9679,-29.49854
138.0647,-29.57537
138.0667,-29.65
138.098,-29.64787
138.1003,-29.61333
138.13,-29.75
138.1708,-29.85704
139.0497,-29.58731
139.05,-29.58
139.4144,-29.57944
139.4211,-29.53139
139.55,-29.96667
139.571,-29.634
139.6179,-29.94853
139.6263,-29.95786
139.63,-29.95
139.6371,-29.95147
139.655,-29.799
139.6594,-29.84036
139.6738,-29.70064
139.75,-29.95
139.7505,-29.59675
139.7505,-29.85786
139.9566,-29.72564
141.7,-29.9
141.7,-29.9
141.78,-29.67
141.7843,-29.66535
141.7843,-29.66535
142.23,-29.48
142.2333,-29.4833
142.2343,-29.48201
142.9177,-29.96534
142.92,-29.97
143.52,-29.77
144.1167,-29.8333
144.12,-29.83
144.3333,-29.7333
144.3333,-29.7167
147.55,-29.95
149.7822,-29.91677
149.7833,-29.91667
150.9667,-29.7333
150.9667,-29.7333
150.9676,-29.73196
150.9676,-29.73196
150.97,-29.73
150.9833,-29.91667
151.1,-29.7667
151.1176,-29.78196
151.12,-29.77
152.25,-29.56667
131.58,-30.15
135.4844,-30.43206
137.17,-30.45
138.1303,-30.06722
138.2697,-30.06361
138.2844,-30.03204
138.3488,-30.28759
138.4166,-30.25648
138.6667,-30.0333
138.723,-30.28704
138.723,-30.28704
138.9758,-30.42509
139.0167,-30.4667
139.15,-30.08
139.2428,-30.18583
139.3333,-30.2333
139.3333,-30.33333
139.3333,-30.33333
139.3397,-30.3436
139.3416,-30.22731
139.3674,-30.17342
139.44,-30.18
139.44,-30.18
139.4422,-30.17611
139.4452,-30.22203
139.5139,-30.0125
139.676,-29.982
142.08,-30.05
142.8333,-30.05
142.8333,-30.05
144.5167,-30.3333
144.52,-30.32
144.5333,-30.3167
144.5333,-30.3167
144.5333,-30.3167
144.5333,-30.3167
