"longitude","latitude"
142.2,-10.9167
142.20916667,-10.6125
142.2167,-10.5667
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.3425357868,-10.5069711073
142.4167,-10.7667
142.4836,-10.7836
142.4836,-10.7836
130.151216842,-11.811097484
133.4,-11.5167
142.85,-11.6167
142.85,-11.6167
131.467871109,-12.348592882
132.867865551,-12.28192284
134.9833,-12.3167
136.730358784,-12.173568125
131.217881607,-12.581924367
131.317879558,-12.665267091
131.35121055,-12.66526366
131.617874071,-12.715261765
132.417866686,-12.581919323
132.801197441,-12.865258585
134.6167,-12.8167
134.6167,-12.8167
135.867835593,-12.648571669
141.8425435006,-12.64029302
141.865277778,-12.6366666666
143.35,-12.7833
143.35,-12.7833
143.35,-12.7833
143.3833,-12.65
143.3833,-12.65
143.3925271362,-12.6569573425
132.984523765,-13.01525666
136.201162537,-13.198573342
126,-14
126.65,-14.45
126.651248404,-14.44861454
126.7167,-14.15
132.6167,-14.0833
134.2333,-14.1481
134.23345,-14.14824
143.6619444444,-14.2275
143.7208333333,-14.4011111111
143.7325,-14.2855555556
143.7642518243,-14.3747978584
125.10194,-14.58444
125.12,-14.55
125.66666667,-14.81666667
125.75,-14.8833
125.755,-14.585
125.75833333,-14.89444444
125.83333333,-14.56666667
125.83333333,-14.56666667
126.05,-14.5333
127.0833,-14.7833
127.08333333,-14.78333333
130.183175138,-14.646098838
125.06666667,-15.28333333
125.0667,-15.2833
125.43530556,-15.21947222
126.15,-15.13
126.73,-15.05
126.91666667,-15.03333333
127.1,-15.1333
127.1,-15.1333
127.1,-15.1
127.1,-15.1
128.1,-15.4667
129.3383,-15.4689
129.339564214,-15.467485712
129.41916667,-15.41472222
129.41937,-15.41486
131.35,-15.15
131.35,-15.15
131.351223765,-15.148587909
145.24,-15.4599999995
145.2758447426,-15.4736059302
125.3,-15.8
127.82166667,-15.74694444
128.26305556,-15.71472222
128.7,-15.65
128.7333,-15.7833
128.733333,-15.766667
128.735,-15.762
128.735,-15.627
128.735,-15.627
128.735,-15.627
128.735,-15.627
128.8,-15.6
128.80615047,-15.54200532
128.856944,-15.822778
129.03333333,-15.78333333
129.034570046,-15.681927078
129.501451107,-15.581045025
129.54,-15.71
130.5167,-15.7667
130.517897555,-15.765262799
130.95,-15.5833
136.367845581,-15.648561988
136.400873695,-15.629029412
144,-15.6
144,-15.6
144.025859296,-15.6402745756
123.53333333,-16.03333333
126.00918746,-16.20530688
128.018639,-16.010861
128.018639,-16.010861
128.41514031,-16.04023336
128.78333333,-16.06666667
130.451231024,-16.015265198
130.684555612,-16.031924198
123.51794651,-16.48193251
123.76666667,-16.53333333
123.9833,-16.7667
123.98333333,-16.76638889
124.03194444,-16.79638889
125.48333333,-16.58305556
125.84333333,-16.80138889
125.16666667,-17.11666667
125.2833,-17.1667
125.28333333,-17.16666667
125.325,-16.983
127.61138889,-17.42833333
128.25,-17.1833
128.25,-17.18
128.251257222,-17.181931308
128.35,-17.37
128.35,-17.3667
128.35,-17.35
128.3611,-17.3583
128.36111111,-17.35833333
128.39666667,-17.35305556
128.57987,-17.266345
126.23341,-17.51152
126.1,-19.2167
