"longitude","latitude"
130.65120615,-11.59860109
130.701207785,-11.681929848
130.751202525,-11.681927437
130.83964,-11.66043
132.3,-12.4
132.3167,-12.4
132.32,-12.4
132.584523445,-12.23192355
133.066013796,-12.378216258
133.249901288,-12.379462701
134.91737,-12.36802
135.989770515,-12.141072053
136.267831628,-12.215242068
136.701159634,-12.365238066
136.701159634,-12.365238066
136.767822157,-12.365237893
132.3167,-12.5167
132.4167,-12.6
132.4667,-12.65
132.501195835,-12.498593562
132.65,-12.7667
132.651191843,-12.765258397
132.651198761,-12.815254057
132.7333,-12.7
133.8217,-12.5028
133.93106,-12.63652
132.051207925,-13.365289693
132.134533148,-13.748586424
132.21787584,-13.5985881
132.229867363,-13.594964211
132.25,-13.57
132.25,-13.5
132.2667,-13.5833
132.334535525,-13.531914852
132.454666505,-13.731070131
132.934527771,-13.531915681
130.446944444,-14.2652777778
130.447,-14.2654
130.54793,-14.21087
130.687777778,-14.181111111
