"longitude","latitude"
142.455,-11.6439
131.08333333,-12.16666667
143.2591592528,-12.7426487313
143.2591953622,-12.7402904108
143.28,-13.9
143.3925291646,-13.8736175714
143.85083333,-14.53638889
145.23,-15.12
145.2333,-15.4833
145.1667,-16.7167
145.1758490093,-16.7236004074
145.1807222222,-16.6808611106
144.7591917093,-18.2569288587
144.82585718,-18.1235958084
144.8258572334,-18.1402624183
144.8258572334,-18.140262415
144.8258572334,-18.140262415
144.8278015319,-18.103040317
144.8425235479,-18.0902625471
144.8758564962,-18.09026245
144.75,-19.25
146.6355944708,-19.3969090013
146.6425066219,-19.4069190039
146.7091726458,-19.4569186149
146.7091726458,-19.4569186149
146.7925046148,-19.3569187134
146.8333,-19.1333
146.87583607,-19.1069193722
146.8758361266,-19.1235859798
146.917502146,-19.0819193386
146.7091741467,-19.8735838441
146.7425071403,-19.8902503483
146.8417,-19.6958
147.66690876,-19.83217623
147.9591589391,-19.9569128134
146.45,-20.3
146.7591746557,-20.1735826856
148.0494444444,-19.9936111105
148.2258225366,-20.0402449827
148.233333333333,-20.05
148.2591553836,-20.0235782671
148.44666667,-20.0708333294
148.5758185624,-20.1735766852
148.9174805166,-20.081909266
148.9424808819,-20.2735751215
148.9758137244,-20.25690841
147.4093320815,-20.6601053974
147.564565276,-20.5819608276
147.7583333333,-20.5583333327
148.455833333,-21.2380555554
148.4591575333,-21.2569066387
148.9413665944,-21.336983716
148.1193857417,-21.6425856183
148.2258284224,-21.55690654
148.2374423733,-21.5496076467
148.58,-21.85
148.5924916291,-21.8569042923
148.7508231532,-21.9152368738
148.0879371256,-22.4603060165
148.453609747,-22.2063346689
150.192472575,-22.3402302441
150.21308931,-22.3851052093
148.2291675074,-22.8769029131
149.522954896,-22.7782702374
149.6083333333,-22.684166666
149.9036625997,-22.7560031497
149.9037,-22.7561
149.904,-22.756
150.1924747473,-22.8402287039
150.33,-22.8
150.3346897389,-22.8091254866
147.5722143907,-23.2425279462
149.7268763294,-23.2857977823
149.7508027843,-23.2212011111
149.7597233556,-23.2202369273
149.7721534697,-23.2073819629
149.8645191478,-23.3257619407
150.02,-23.1
150.0424779669,-23.1068951711
150.0671992962,-22.9838398727
150.2591416261,-23.0902277179
150.4591392181,-23.1568934151
150.87333333,-23.2411111093
150.8924663398,-23.090225285
149.0247166571,-23.7174532629
150.82,-23.73
150.8258035621,-23.7402236741
150.9924676238,-23.6735565265
151.0924668661,-23.8068890896
151.1091332954,-23.8068890233
147.8904688509,-24.3067342125
148.2331652332,-24.4357585344
149.7591534424,-24.1568936512
150.95,-24.42
151.218,-24.2933
151.9639139768,-24.3541817824
148.8258364927,-24.906896201
149.0650651585,-24.9291936281
149.6758238595,-24.6735595711
150.084152894,-24.9152239858
150.8924749623,-24.8902205569
150.8955959959,-24.6330747128
151.0008479035,-24.7821147805
151.0093184843,-24.8984925692
151.0841382335,-24.7485533964
151.4174660814,-24.5818857354
148.2508450497,-25.0818985159
148.583333333333,-25.2
148.95277778,-25.14416667
148.953,-25.144
148.9872248536,-25.2071727634
149.2254663799,-24.9810357852
149.9174893881,-25.0818910506
150.1177664177,-25.4543894795
151.3647222222,-25.4117777771
151.9,-25.4667
151.9,-25.4667
151.9,-25.4667
151.9,-25.4667
151.90578773,-25.28595406
151.9060555556,-25.4745277771
151.94675292,-25.25531618
148.9258390965,-25.6235613121
148.9591721673,-25.6568944413
149.923325352,-25.5835568036
150.4090555556,-25.6263055549
151.3619861222,-25.950848091
151.362,-25.951
151.87,-25.67
151.8924650607,-25.6902145071
151.9,-25.5
151.9,-25.5
151.909130426,-25.4902148649
151.9847222222,-25.6594444437
152.05321063,-25.56682503
152.0937544941,-25.6413571148
152.6553967092,-25.7105856632
152.6563908895,-25.7114910169
149.1422222222,-26.4319444436
151.8947577172,-26.0877434863
152.07,-26.17
152.1,-26.12
152.1091309588,-26.1235460005
152.32,-26.12
152.3231586386,-26.1157498847
152.4796688678,-26.2319757266
151.466666666667,-26.85
151.8,-26.7
151.87,-26.8
151.9652777778,-26.8791666667
152.90070126,-26.65305791
152.0758045627,-27.2568775609
152.4257988802,-27.1568760679
152.5155200001,-27.1929866987
152.5757973695,-27.2735418511
152.5757973695,-27.2735418511
152.6091307994,-27.3735415418
152.65,-27.25
152.65833333,-27.39377778
152.6591293797,-27.2568748171
151.709146336,-27.7735453386
152.2091397806,-27.8902094336
152.75,-27.52
152.7591294824,-27.5235406105
152.7591295816,-27.540207256
152.7891433703,-27.7919836771
152.8232966912,-27.7714566219
152.8392687149,-27.5293458033
152.8424616296,-27.5296513178
153.23,-27.8
151.6131944444,-28.0243888881
152.6833,-28.4167
152.7,-28.4166666666667
152.7,-28.4166666666667
152.72,-28.35
152.783333333333,-28.3666666666667
151.3439480778,-28.6683458151
151.58,-28.92
151.584155503,-28.915211684
151.75,-28.75
151.7578839511,-28.7550198779
152.87,-28.52
153.016666666667,-28.9
153.266666666667,-28.8166666666667
153.35,-28.7833333333333
150.9564,-29.13083
151.3523,-29.01307
151.85,-29.25
149.89,-30.34222
149.89,-30.3422
150.9289,-30.0325
152.6667,-30
152.6667,-30
150.9833,-30.55
150.95,-31.08333
150.95,-31.0833
150.9667,-31.08333
151.0097,-31.00694
151.9167,-31.81667
150.6,-32.32
150.97,-32.07
151.0167,-32.65
