"longitude","latitude"
142.25,-10.5833
142.85,-11.65
143.0667,-12.3
141.8506,-12.5192
136.368659258,-13.184118274
141.616666666667,-13.0833333333333
141.617773261,-13.081878337
141.951099111,-13.115214055
142.8583333333,-13.3083333329
131.83,-13.58
131.834534109,-13.581921274
131.834534109,-13.581921274
142.583611111,-13.618611111
143.217756919,-13.698538818
132.16131,-14.42623
134.1825,-14.3533
134.61361111,-14.19083333
143.2886,-14.2444
144.2333,-14.1833
133.0667,-14.9
133.083153245,-14.904967988
133.237860661,-14.96635541
142.8891388889,-14.8517777773
143.417761978,-14.581863609
143.441,-14.591
143.521,-14.83
144.05,-14.75
144.051082523,-14.74852941
144.08440803,-14.76519926
129.322909417,-15.445821985
130.23089,-15.18575
130.231933,-15.186008
143.651088604,-14.998527435
144.0061,-15.295
145.0167,-15.0333
145.167774347,-15.331811992
145.25,-15.4667
126.354166667,-15.886666667
127.3805555556,-15.8627777778
127.38055556,-15.86277778
127.3806,-15.8628
127.38083,-15.86298
128.101251358,-15.865278285
128.667916253,-15.931934255
128.7,-15.65
128.718611,-15.784722
129.53542,-15.63066
129.79166667,-15.58527778
129.7919,-15.5853
129.79251,-15.5853
131.070675752,-15.5919224
135.43686,-15.60971
136.38,-15.78
136.38450147,-15.78189018
136.7667,-15.6833
144.466666666667,-15.6166666666667
144.4667,-15.6167
144.4833,-15.6
144.5,-15.6
124.617946996,-16.431959211
126.49194444,-16.06444444
126.49216,-16.06471
127.05319414,-15.98305132
130.3342,-16.1597
130.335431923,-16.158296328
130.415948402,-16.11609339
131.140122596,-16.3394197
136.1167,-16.45
136.1167,-16.45
145.09666667,-16.34527778
145.1333,-16.45
125.485434623,-16.754733293
125.757,-16.904
125.7575,-16.9039
125.7575,-16.9039
125.7575,-16.9038888889
125.75754,-16.90397
130.30707,-16.97435
130.9829,-16.8995
130.9867,-16.9038
144.85,-16.9
145.308,-16.675
145.3083,-16.675
145.3083,-16.675
145.5458,-16.6306
138.2572222222,-16.9769444444
144.8931,-17.3828
144.9,-17.35
144.9,-17.35
144.9,-17.35
144.92,-17.47
145,-16.9833
145.0833,-17.1167
145.184989963,-17.246289879
145.197989593,-17.21318999
145.2,-17.4333
145.2,-17.42
145.2,-17.4167
145.2,-17.4167
145.2,-17.4
145.2,-17.4
145.201076769,-17.415170562
145.2067,-17.4306
145.2167,-17.4333
145.2167,-17.4167
145.2167,-17.3
145.2412,-17.4125
145.25,-17.3167
145.2833,-17.2167
145.3167,-17.3833
145.3167,-17.3833
145.3333,-17.3833
145.3333,-17.3833
145.3333,-17.3833
145.3341,-17.0153
145.334407245,-17.015171689
145.3425145683,-17.0235987001
145.35,-17.3833
145.3833,-17
145.4167,-17.4167
145.5,-17.0833
145.55,-17.1167
122.234626566,-17.958645273
137.53,-17.87
137.5333,-17.8667
137.534509215,-17.865220655
137.701174394,-17.765217306
138.3742,-17.4833
138.3742,-17.4833
138.375145,-17.482024
138.48694444,-17.85611111
139.85055556,-17.86055556
140.9130555556,-17.9302777778
141.0241666667,-17.7766666667
141.15277778,-17.64305556
144.8633,-17.9667
145.1,-17.6167
145.1167,-17.6833
145.1167,-17.6667
145.1167,-17.6667
145.2667,-17.5833
145.3008,-17.5964
145.3008,-17.5964
145.971,-17.638
129.742639426,-18.242755123
141.9672,-18.0297
143.46694444,-18.09083333
143.51666667,-18.41361111
143.83,-18.27
143.8333,-18.2667
143.98361111,-18.19388889
144.1519,-18.2067
144.1519,-18.2067
144.15194444,-18.20666667
144.151944444,-18.206666667
144.59388889,-18.4283333294
145.3167,-18.3833
146,-18.2833
140.6356,-18.5328
143.51916667,-18.86694444
143.52383333,-18.48666667
143.613,-18.579
143.8869444444,-18.5422222222
143.9247,-18.5492
143.9247,-18.5492
144.6891666667,-18.6941666667
145.0841895754,-18.7485928385
145.6297,-18.8497
143.6169444444,-19.065
144.947525368,-18.9980368734
145,-19
145.6333,-19.3667
146.0833,-19.1167
146.2789,-19.2606
146.3,-19.3833
146.3167,-19.3667
146.4,-19.4167
146.75,-19.3167
146.8,-19.2667
146.801069492,-19.248488308
144.75,-19.5
144.7667,-19.5
144.6278113716,-20.2094232565
144.857,-20.4356
144.86,-20.4378
145.5133,-20.3183
145.514423217,-20.316828398
146.875,-20.1333
147.1667,-20.3333
147.2925019741,-20.3235803957
147.7167,-20.1167
144.4258704726,-20.5069232198
144.8833,-20.6333
145.27083333,-20.65222222
147.8591624893,-20.5735776413
148.9333,-20.8667
145.8167,-21.2667
146.4717,-21.4319
146.472,-21.4319
146.472579,-21.430599
146.801082997,-21.431809809
147.9167,-21.0167
147.9258300748,-21.0235759361
148,-21.5
148.3833,-21.4833
148.392492679,-21.4902394783
147.630282849,-22.1169071757
148.5258284266,-22.4569028333
150.21411247,-22.4491115793
147.47,-22.85
150.3005555556,-22.8808333326
150.7,-22.5833
150.25,-23
150.43055556,-23.58277778
151.05,-23.9333
151.05,-23.9333
151.05,-23.93
151.051037441,-23.931764746
148.3258402786,-24.3735660064
148.3422222,-24.2325
148.3430615359,-24.2310661928
151.88,-24.17
151.8833,-24.1667
147.5122,-24.9247
151.7167,-24.65
148.2167,-25.0667
152.0667,-25.6833
151.8,-26.8333
151.8,-26.83
151.8,-26.8
151.8,-26.8
152.2206,-27.5164
152.484,-28.8492
152.4967,-29.65556
152.5167,-29.65
152.52,-29.65
152.77,-29.57
152.88,-29.82
